step,train_loss,bits_used,lr,elapsed_s
10,10.073956,16,9e-06,3.57
20,9.389064,16,1.9e-05,3.43
30,8.923767,16,2.9e-05,3.59
40,8.647387,16,3.9e-05,3.51
50,8.550665,16,4.9e-05,3.57
60,8.358992,16,5.9e-05,3.5
70,8.171746,16,6.9e-05,3.56
80,8.041715,16,7.9e-05,3.53
90,7.972403,16,8.9e-05,3.52
100,7.892906,16,9.9e-05,3.54
110,7.738017,16,0.000109,3.5
120,7.709544,16,0.000119,3.53
130,7.655585,16,0.000129,3.49
140,7.568128,16,0.000139,3.54
150,7.643426,16,0.000149,3.5
160,7.615209,16,0.000159,3.58
170,7.582646,16,0.000169,3.48
180,7.49897,16,0.000179,3.59
190,7.627585,16,0.000189,3.5
200,7.57808,16,0.000199,3.58
210,7.620453,16,0.000209,3.5
220,7.635052,16,0.000219,3.58
230,7.620827,16,0.000229,3.52
240,7.60171,16,0.000239,3.56
250,7.594153,16,0.000249,3.56
260,7.589068,16,0.000259,3.52
270,7.646684,16,0.000269,3.59
280,7.582908,16,0.000279,3.51
290,7.612171,16,0.000289,3.59
300,7.613511,16,0.000299,3.49
310,7.603873,16,0.00029999,3.6
320,7.660359,16,0.00029996,3.5
330,7.698742,16,0.00029991,3.55
340,7.596684,16,0.00029985,3.52
350,7.652696,16,0.00029976,3.56
360,7.53343,16,0.00029965,3.54
370,7.602208,16,0.00029952,3.53
380,7.628186,16,0.00029937,3.59
390,7.546329,16,0.0002992,3.48
400,7.642779,16,0.00029901,3.6
410,7.620269,16,0.0002988,3.5
420,7.563576,16,0.00029856,3.62
430,7.548089,16,0.00029831,3.52
440,7.609222,16,0.00029804,3.57
450,7.635801,16,0.00029775,3.55
460,7.620714,16,0.00029744,3.56
470,7.557582,16,0.00029711,3.59
480,7.602462,16,0.00029676,3.53
490,7.542651,16,0.00029639,3.59
500,7.587745,16,0.000296,3.51
510,7.602952,16,0.00029559,8.1
520,7.609298,16,0.00029516,3.57
530,7.574456,16,0.00029471,3.58
540,7.562945,16,0.00029424,3.54
550,7.62549,16,0.00029375,3.61
560,7.586202,16,0.00029324,3.58
570,7.641974,16,0.00029271,3.64
580,7.60579,16,0.00029217,3.58
590,7.604816,16,0.0002916,3.61
600,7.618181,16,0.00029101,3.66
610,7.564973,16,0.00029041,3.64
620,7.57347,16,0.00028979,3.63
630,7.572621,16,0.00028914,3.72
640,7.564904,16,0.00028848,3.83
650,7.616293,16,0.0002878,3.6
660,7.601667,16,0.0002871,3.86
670,7.591721,16,0.00028639,3.9
680,7.647673,16,0.00028565,3.85
690,7.537503,16,0.0002849,3.93
700,7.558093,16,0.00028412,3.87
710,7.540291,16,0.00028333,4.03
720,7.552712,16,0.00028252,3.87
730,7.597519,16,0.0002817,3.89
740,7.660212,16,0.00028085,4.09
750,7.571578,16,0.00027999,4.17
760,7.546976,16,0.00027911,4.08
770,7.539495,16,0.00027821,4.11
780,7.511502,16,0.0002773,4.12
790,7.534304,16,0.00027637,4.09
800,7.657022,16,0.00027542,4.11
810,7.497772,16,0.00027445,4.22
820,7.571641,16,0.00027347,3.96
830,7.633198,16,0.00027247,4.05
840,7.581515,16,0.00027146,4.28
850,7.589429,16,0.00027042,4.09
860,7.546291,16,0.00026937,4.01
870,7.647128,16,0.00026831,4.24
880,7.55727,16,0.00026723,4.04
890,7.594423,16,0.00026613,4.32
900,7.559945,16,0.00026502,4.64
910,7.544449,16,0.00026389,4.21
920,7.609109,16,0.00026275,4.15
930,7.513599,16,0.00026159,4.31
940,7.512472,16,0.00026041,4.16
950,7.528352,16,0.00025923,4.17
960,7.5656,16,0.00025802,4.24
970,7.50072,16,0.0002568,4.24
980,7.598174,16,0.00025557,4.1
990,7.579516,16,0.00025432,4.34
1000,7.521684,16,0.00025306,4.24
1010,7.499441,16,0.00025179,9.81
1020,7.558113,16,0.0002505,4.23
1030,7.572531,16,0.0002492,4.08
1040,7.56015,16,0.00024788,4.14
1050,7.572555,16,0.00024655,4.41
1060,7.58578,16,0.00024521,4.34
1070,7.542981,16,0.00024385,4.4
1080,7.54149,16,0.00024249,4.41
1090,7.534601,16,0.00024111,4.41
1100,7.53575,16,0.00023971,4.31
1110,7.570648,16,0.00023831,4.27
1120,7.56668,16,0.00023689,4.39
1130,7.602089,16,0.00023546,4.21
1140,7.574734,16,0.00023402,4.41
1150,7.52478,16,0.00023257,4.3
1160,7.47562,16,0.00023111,4.45
1170,7.564077,16,0.00022964,4.29
1180,7.520404,16,0.00022815,4.24
1190,7.548343,16,0.00022666,4.5
1200,7.513959,16,0.00022515,4.33
1210,7.559654,16,0.00022364,4.38
1220,7.551525,16,0.00022211,4.44
1230,7.590645,16,0.00022057,4.33
1240,7.562856,16,0.00021903,4.32
1250,7.56499,16,0.00021748,4.24
1260,7.500532,16,0.00021591,4.44
1270,7.563895,16,0.00021434,4.27
1280,7.46686,16,0.00021276,4.32
1290,7.521547,16,0.00021117,4.39
1300,7.527189,16,0.00020957,4.34
1310,7.559001,16,0.00020797,4.23
1320,7.569455,16,0.00020635,4.46
1330,7.57945,16,0.00020473,4.39
1340,7.534679,16,0.0002031,4.4
1350,7.53085,16,0.00020147,4.48
1360,7.519576,16,0.00019982,4.42
1370,7.534714,16,0.00019817,4.23
1380,7.499655,16,0.00019652,4.47
1390,7.494986,16,0.00019486,4.42
1400,7.575327,16,0.00019319,4.52
1410,7.516032,16,0.00019151,4.42
1420,7.56926,16,0.00018983,4.44
1430,7.540518,16,0.00018815,4.52
1440,7.515304,16,0.00018646,4.65
1450,7.5376,16,0.00018476,4.3
1460,7.512532,16,0.00018306,4.26
1470,7.543411,16,0.00018136,4.58
1480,7.578786,16,0.00017965,4.35
1490,7.50403,16,0.00017794,4.59
1500,7.573851,16,0.00017622,4.49
1510,7.558571,16,0.0001745,10.07
1520,7.45688,16,0.00017278,4.2
1530,7.495143,16,0.00017105,4.44
1540,7.456939,16,0.00016932,4.04
1550,7.555021,16,0.00016759,4.5
1560,7.54347,16,0.00016585,4.22
1570,7.55646,16,0.00016412,4.26
1580,7.448107,16,0.00016238,4.07
1590,7.556329,16,0.00016064,4.34
1600,7.506771,16,0.0001589,4.3
1610,7.523844,16,0.00015715,4.17
1620,7.561118,16,0.00015541,4.23
1630,7.609886,16,0.00015366,4.01
1640,7.511486,16,0.00015192,4.06
1650,7.498196,16,0.00015017,4.23
1660,7.541632,16,0.00014843,4.13
1670,7.473293,16,0.00014668,4.12
1680,7.501457,16,0.00014494,4.22
1690,7.51572,16,0.0001432,4.17
1700,7.518278,16,0.00014145,4.15
1710,7.514029,16,0.00013971,4.02
