step,train_loss,bits_used,lr,elapsed_s
10,10.016739,4,9e-06,6.06
20,9.435085,4,1.9e-05,5.78
30,8.923159,4,2.9e-05,5.95
40,8.732001,4,3.9e-05,5.93
50,8.556518,4,4.9e-05,5.94
60,8.416603,4,5.9e-05,6.05
70,8.2024,4,6.9e-05,6.03
80,8.145,4,7.9e-05,5.85
90,7.932975,4,8.9e-05,6.07
100,7.875237,4,9.9e-05,6.09
110,7.761739,4,0.000109,6.03
120,7.692392,4,0.000119,6.12
130,7.608598,4,0.000129,6.15
140,7.637375,4,0.000139,5.97
150,7.544411,4,0.000149,6.78
160,7.553033,4,0.000159,6.79
170,7.5648,4,0.000169,5.95
180,7.527029,4,0.000179,5.94
190,7.629683,4,0.000189,6.05
200,7.572826,4,0.000199,6.05
210,7.618596,4,0.000209,6.16
220,7.598128,4,0.000219,6.33
230,7.566568,4,0.000229,6.12
240,7.55361,4,0.000239,6.26
250,7.570787,4,0.000249,5.76
260,7.595995,4,0.000259,6.04
270,7.586386,4,0.000269,6.03
280,7.592643,4,0.000279,6.08
290,7.65744,4,0.000289,6.26
300,7.654854,4,0.000299,5.81
310,7.57697,4,0.00029999,6.1
320,7.588059,4,0.00029996,6.27
330,7.603712,4,0.00029991,6.22
340,7.670563,4,0.00029985,5.99
350,7.593624,4,0.00029976,6.08
360,7.648126,4,0.00029965,6.1
370,7.643329,4,0.00029952,6.04
380,7.61386,4,0.00029937,6.03
390,7.574977,4,0.0002992,6.11
400,7.610036,4,0.00029901,5.92
410,7.672656,4,0.0002988,6.03
420,7.600382,4,0.00029856,6.23
430,7.618341,4,0.00029831,5.96
440,7.523168,4,0.00029804,5.92
450,7.631333,4,0.00029775,6.0
460,7.573731,4,0.00029744,5.99
470,7.591728,4,0.00029711,6.01
480,7.64433,4,0.00029676,6.02
490,7.658029,4,0.00029639,6.0
500,7.591558,4,0.000296,5.85
510,7.585273,4,0.00029559,14.69
520,7.573633,4,0.00029516,5.7
530,7.576624,4,0.00029471,5.52
540,7.60858,4,0.00029424,5.99
550,7.522708,4,0.00029375,6.06
560,7.560458,4,0.00029324,5.74
570,7.513667,4,0.00029271,5.92
580,7.540577,4,0.00029217,5.91
590,7.622615,4,0.0002916,5.91
600,7.548621,4,0.00029101,5.78
610,7.560792,4,0.00029041,5.96
620,7.62631,4,0.00028979,5.65
630,7.584222,4,0.00028914,5.67
640,7.566536,4,0.00028848,6.02
650,7.55437,4,0.0002878,6.17
660,7.635009,4,0.0002871,5.69
670,7.605284,4,0.00028639,5.93
680,7.572934,4,0.00028565,5.95
690,7.621687,4,0.0002849,5.98
700,7.575747,4,0.00028412,6.02
710,7.590313,4,0.00028333,6.3
720,7.589011,4,0.00028252,6.49
730,7.582296,4,0.0002817,6.12
740,7.590148,4,0.00028085,6.1
750,7.597089,4,0.00027999,6.06
760,7.574792,4,0.00027911,6.08
770,7.529953,4,0.00027821,6.1
780,7.588619,4,0.0002773,6.06
790,7.588862,4,0.00027637,6.06
800,7.50341,4,0.00027542,6.08
810,7.513348,4,0.00027445,6.05
820,7.539356,4,0.00027347,5.89
830,7.567381,4,0.00027247,5.84
840,7.617236,4,0.00027146,6.03
850,7.604312,4,0.00027042,5.99
860,7.564143,4,0.00026937,6.01
870,7.587351,4,0.00026831,6.6
880,7.565386,4,0.00026723,6.49
890,7.576863,4,0.00026613,6.05
900,7.587861,4,0.00026502,6.15
910,7.501796,4,0.00026389,6.29
920,7.556394,4,0.00026275,5.85
930,7.545657,4,0.00026159,6.08
940,7.552165,4,0.00026041,5.92
950,7.50822,4,0.00025923,6.02
960,7.501936,4,0.00025802,5.97
970,7.54665,4,0.0002568,6.11
980,7.588538,4,0.00025557,5.99
990,7.584307,4,0.00025432,5.97
1000,7.527139,4,0.00025306,6.05
1010,7.492397,4,0.00025179,15.09
1020,7.521463,4,0.0002505,5.83
1030,7.557496,4,0.0002492,5.79
1040,7.605887,4,0.00024788,5.76
1050,7.541259,4,0.00024655,5.75
1060,7.518931,4,0.00024521,5.95
1070,7.491606,4,0.00024385,5.81
1080,7.599075,4,0.00024249,5.82
1090,7.539608,4,0.00024111,6.03
1100,7.532116,4,0.00023971,5.97
1110,7.464329,4,0.00023831,5.89
1120,7.538624,4,0.00023689,5.88
1130,7.502568,4,0.00023546,5.92
1140,7.481971,4,0.00023402,5.65
1150,7.514855,4,0.00023257,6.0
1160,7.499617,4,0.00023111,5.92
1170,7.528483,4,0.00022964,6.02
1180,7.50551,4,0.00022815,6.65
1190,7.496199,4,0.00022666,5.92
1200,7.556913,4,0.00022515,6.04
1210,7.547719,4,0.00022364,6.63
1220,7.60636,4,0.00022211,6.13
1230,7.51764,4,0.00022057,6.62
1240,7.506132,4,0.00021903,6.3
1250,7.53728,4,0.00021748,6.21
1260,7.549837,4,0.00021591,6.16
1270,7.516112,4,0.00021434,6.3
1280,7.542354,4,0.00021276,6.13
1290,7.530213,4,0.00021117,6.27
1300,7.534286,4,0.00020957,6.11
1310,7.484762,4,0.00020797,6.1
1320,7.50232,4,0.00020635,6.13
1330,7.56005,4,0.00020473,6.11
1340,7.527282,4,0.0002031,6.05
1350,7.559308,4,0.00020147,6.12
1360,7.584063,4,0.00019982,6.1
1370,7.521623,4,0.00019817,6.06
1380,7.502994,4,0.00019652,6.04
1390,7.488151,4,0.00019486,5.98
1400,7.502748,4,0.00019319,6.15
1410,7.441162,4,0.00019151,6.03
1420,7.471561,4,0.00018983,5.77
1430,7.609922,4,0.00018815,5.91
1440,7.502088,4,0.00018646,5.94
1450,7.527463,4,0.00018476,5.93
1460,7.550061,4,0.00018306,5.89
1470,7.535734,4,0.00018136,5.93
1480,7.436468,4,0.00017965,6.04
1490,7.483762,4,0.00017794,5.74
1500,7.572174,4,0.00017622,6.01
1510,7.535978,4,0.0001745,15.17
1520,7.504993,4,0.00017278,6.06
1530,7.555157,4,0.00017105,6.02
1540,7.505731,4,0.00016932,6.05
1550,7.476951,4,0.00016759,5.98
1560,7.548884,4,0.00016585,6.0
1570,7.528551,4,0.00016412,6.01
1580,7.525842,4,0.00016238,5.99
1590,7.521426,4,0.00016064,6.01
1600,7.523103,4,0.0001589,5.97
1610,7.568368,4,0.00015715,6.1
1620,7.482564,4,0.00015541,6.62
1630,7.548808,4,0.00015366,6.48
1640,7.486796,4,0.00015192,6.17
1650,7.498734,4,0.00015017,6.16
1660,7.534759,4,0.00014843,6.28
1670,7.491216,4,0.00014668,6.39
1680,7.554188,4,0.00014494,6.22
1690,7.510712,4,0.0001432,6.2
1700,7.536452,4,0.00014145,6.19
1710,7.568964,4,0.00013971,6.09
1720,7.503174,4,0.00013797,6.2
1730,7.586399,4,0.00013623,5.88
1740,7.483735,4,0.00013449,6.06
1750,7.536515,4,0.00013276,6.11
1760,7.541723,4,0.00013103,6.23
1770,7.498563,4,0.0001293,6.13
1780,7.616259,4,0.00012757,6.13
1790,7.507881,4,0.00012585,6.15
1800,7.450086,4,0.00012412,6.08
1810,7.487703,4,0.00012241,6.12
1820,7.512796,4,0.00012069,5.99
1830,7.552943,4,0.00011898,6.12
1840,7.496569,4,0.00011728,6.02
1850,7.541658,4,0.00011558,6.24
1860,7.526867,4,0.00011388,6.13
1870,7.43544,4,0.00011219,6.12
1880,7.536319,4,0.0001105,5.96
1890,7.547441,4,0.00010882,6.0
1900,7.5068,4,0.00010715,5.95
1910,7.53181,4,0.00010548,6.08
1920,7.502482,4,0.00010381,6.01
1930,7.5571,4,0.00010216,5.9
1940,7.602307,4,0.00010051,5.94
1950,7.501187,4,9.886e-05,6.03
1960,7.495806,4,9.722e-05,5.97
1970,7.593705,4,9.559e-05,6.17
1980,7.509385,4,9.397e-05,5.88
1990,7.527672,4,9.236e-05,5.87
2000,7.503028,4,9.075e-05,5.65
2010,7.503867,4,8.915e-05,14.67
2020,7.462285,4,8.756e-05,5.78
2030,7.54314,4,8.598e-05,5.78
2040,7.503076,4,8.44e-05,5.79
2050,7.478829,4,8.284e-05,5.86
2060,7.421863,4,8.128e-05,5.76
2070,7.471101,4,7.973e-05,5.81
2080,7.472322,4,7.82e-05,5.82
2090,7.414464,4,7.667e-05,5.82
2100,7.506524,4,7.515e-05,5.83
2110,7.548491,4,7.364e-05,5.82
2120,7.554904,4,7.215e-05,6.18
2130,7.488908,4,7.066e-05,6.35
2140,7.460229,4,6.918e-05,6.17
2150,7.456966,4,6.772e-05,6.29
2160,7.536416,4,6.627e-05,6.09
2170,7.487228,4,6.482e-05,6.12
2180,7.504973,4,6.339e-05,6.17
2190,7.509065,4,6.197e-05,6.07
2200,7.511926,4,6.057e-05,6.57
2210,7.549961,4,5.917e-05,6.06
2220,7.49004,4,5.779e-05,6.0
2230,7.553241,4,5.642e-05,5.96
2240,7.525192,4,5.506e-05,5.91
2250,7.468083,4,5.372e-05,5.94
2260,7.497972,4,5.238e-05,5.9
2270,7.50628,4,5.107e-05,5.84
2280,7.47051,4,4.976e-05,5.83
2290,7.47408,4,4.847e-05,5.83
2300,7.55637,4,4.719e-05,5.9
2310,7.505681,4,4.593e-05,5.95
2320,7.566686,4,4.468e-05,5.82
2330,7.473787,4,4.344e-05,6.04
2340,7.536303,4,4.222e-05,5.8
2350,7.499872,4,4.101e-05,6.02
2360,7.461689,4,3.982e-05,5.83
2370,7.532945,4,3.865e-05,5.79
2380,7.507394,4,3.748e-05,5.79
2390,7.544522,4,3.634e-05,5.78
2400,7.514582,4,3.521e-05,5.78
2410,7.518613,4,3.409e-05,5.78
2420,7.446047,4,3.299e-05,5.73
2430,7.536625,4,3.191e-05,5.85
2440,7.504601,4,3.084e-05,5.71
2450,7.535572,4,2.979e-05,5.78
2460,7.453785,4,2.875e-05,5.84
2470,7.512729,4,2.773e-05,5.81
2480,7.497857,4,2.673e-05,5.84
2490,7.474915,4,2.574e-05,5.87
2500,7.484463,4,2.477e-05,5.85
2510,7.51304,4,2.382e-05,14.97
2520,7.505077,4,2.289e-05,5.85
2530,7.481045,4,2.197e-05,5.83
2540,7.500171,4,2.107e-05,5.86
2550,7.480512,4,2.018e-05,5.89
2560,7.482994,4,1.932e-05,5.83
2570,7.464347,4,1.847e-05,5.84
2580,7.433909,4,1.764e-05,6.44
2590,7.552772,4,1.683e-05,6.28
2600,7.525433,4,1.603e-05,6.07
2610,7.523899,4,1.526e-05,5.99
2620,7.484765,4,1.45e-05,6.04
2630,7.488245,4,1.376e-05,6.08
2640,7.443961,4,1.304e-05,6.3
2650,7.465874,4,1.234e-05,6.05
2660,7.445045,4,1.165e-05,5.98
2670,7.497818,4,1.099e-05,5.99
2680,7.488864,4,1.034e-05,5.88
2690,7.54742,4,9.71e-06,5.88
2700,7.553428,4,9.11e-06,5.87
2710,7.495936,4,8.52e-06,5.8
2720,7.545847,4,7.95e-06,5.81
2730,7.456643,4,7.4e-06,5.77
2740,7.547982,4,6.86e-06,5.83
2750,7.508531,4,6.35e-06,5.78
2760,7.481911,4,5.86e-06,5.73
2770,7.5132,4,5.39e-06,5.77
2780,7.545968,4,4.93e-06,5.75
2790,7.471077,4,4.5e-06,5.75
2800,7.458919,4,4.08e-06,5.79
2810,7.453799,4,3.69e-06,5.76
2820,7.495892,4,3.31e-06,5.77
2830,7.496385,4,2.96e-06,5.8
2840,7.492859,4,2.62e-06,5.87
2850,7.483312,4,2.31e-06,6.01
2860,7.455231,4,2.01e-06,5.82
2870,7.495179,4,1.74e-06,5.83
2880,7.504749,4,1.48e-06,5.87
2890,7.479743,4,1.25e-06,5.84
2900,7.502024,4,1.03e-06,5.84
2910,7.552524,4,8.4e-07,5.84
2920,7.492668,4,6.7e-07,5.87
2930,7.455048,4,5.1e-07,5.92
2940,7.53572,4,3.8e-07,5.9
2950,7.380568,4,2.6e-07,5.92
2960,7.494425,4,1.7e-07,6.0
2970,7.454816,4,1e-07,5.78
2980,7.471152,4,4e-08,5.92
2990,7.474829,4,1e-08,5.86
3000,7.506344,4,0.0,5.89
