step,train_loss,bits_used,lr,elapsed_s
10,10.09127,1,9e-06,7.76
20,9.619171,1,1.9e-05,7.5
30,9.112031,1,2.9e-05,7.42
40,8.84946,2,3.9e-05,7.33
50,8.645021,1,4.9e-05,7.77
60,8.465814,2,5.9e-05,7.34
70,8.264421,2,6.9e-05,7.4
80,8.175513,1,7.9e-05,7.29
90,7.947317,2,8.9e-05,7.13
100,7.829138,1,9.9e-05,7.22
110,7.7097,1,0.000109,7.13
120,7.651281,2,0.000119,7.21
130,7.666983,1,0.000129,6.9
140,7.655307,1,0.000139,7.03
150,7.601024,1,0.000149,7.04
160,7.624556,1,0.000159,7.13
170,7.628148,2,0.000169,6.84
180,7.608761,1,0.000179,7.11
190,7.655274,1,0.000189,6.88
200,7.605967,2,0.000199,6.98
210,7.609677,1,0.000209,6.95
220,7.536197,1,0.000219,6.87
230,7.557806,1,0.000229,6.87
240,7.694608,1,0.000239,6.8
250,7.577309,1,0.000249,6.94
260,7.599638,2,0.000259,7.0
270,7.616483,1,0.000269,6.96
280,7.623185,1,0.000279,6.92
290,7.613364,1,0.000289,6.98
300,7.608329,1,0.000299,6.98
310,7.609027,1,0.00029999,7.04
320,7.585494,1,0.00029996,7.18
330,7.598173,1,0.00029991,7.02
340,7.601888,1,0.00029985,7.25
350,7.648083,1,0.00029976,7.23
360,7.614059,1,0.00029965,7.16
370,7.600042,1,0.00029952,7.16
380,7.614817,2,0.00029937,7.05
390,7.617203,2,0.0002992,7.08
400,7.521901,1,0.00029901,7.11
410,7.565176,1,0.0002988,7.14
420,7.610574,1,0.00029856,7.18
430,7.603611,1,0.00029831,7.18
440,7.506767,1,0.00029804,7.82
450,7.596316,2,0.00029775,7.43
460,7.580838,1,0.00029744,7.57
470,7.660142,1,0.00029711,7.35
480,7.543469,1,0.00029676,7.33
490,7.626497,1,0.00029639,7.44
500,7.550047,1,0.000296,7.29
510,7.564655,2,0.00029559,18.62
520,7.588481,1,0.00029516,7.44
530,7.61366,1,0.00029471,7.29
540,7.606872,1,0.00029424,7.07
550,7.577333,2,0.00029375,7.03
560,7.569128,1,0.00029324,7.06
570,7.600707,2,0.00029271,6.95
580,7.567302,1,0.00029217,6.98
590,7.599307,2,0.0002916,6.89
600,7.552351,1,0.00029101,6.75
610,7.665554,2,0.00029041,7.12
620,7.549471,2,0.00028979,6.98
630,7.542191,2,0.00028914,6.76
640,7.611312,1,0.00028848,6.92
650,7.61478,2,0.0002878,6.75
660,7.507905,2,0.0002871,6.89
670,7.555868,1,0.00028639,6.81
680,7.567375,1,0.00028565,6.87
690,7.516462,2,0.0002849,6.98
700,7.460351,1,0.00028412,6.92
710,7.525071,1,0.00028333,6.89
720,7.595678,1,0.00028252,7.03
730,7.577954,1,0.0002817,6.85
740,7.517739,1,0.00028085,6.91
750,7.565153,1,0.00027999,7.01
760,7.551623,2,0.00027911,6.99
770,7.551414,2,0.00027821,6.96
780,7.547371,1,0.0002773,7.04
790,7.509214,1,0.00027637,7.22
800,7.514491,1,0.00027542,7.51
810,7.508367,1,0.00027445,6.93
