experiment_name,variant,seed,avg_eff_bits,best_val_loss,final_val_loss,best_val_acc,final_val_acc,conv_step_7_50,training_seconds,steps_per_sec
abl_baseline_s7_full,baseline,7,16.0,7.44814,7.44814,0.044462,0.044462,2500,9159.9,1.091714975054313
abl_baseline_s42_full,baseline,42,16.0,7.419442,7.435617,0.047905,0.046398,2500,13724.7,0.7286133758843545
abl_baseline_s123_full,baseline,123,16.0,7.462691,7.472883,0.039417,0.037289,3000,8529.9,1.172346686362091
abl_const_1bit_s7_full,const_1bit,7,1.0,7.433141,7.433141,0.048047,0.046679,2500,9378.9,1.0662231178496413
abl_const_1bit_s42_full,const_1bit,42,1.0,7.458013,7.477719,0.039497,0.037345,2500,9312.6,1.0738139724674096
abl_const_1bit_s123_full,const_1bit,123,1.0,7.409514,7.410912,0.047712,0.045906,2000,9207.4,1.0860829332927864
abl_const_2bit_s7_full,const_2bit,7,2.0,7.467745,7.468079,0.041426,0.036318,2500,8202.7,1.2191107805966328
abl_const_2bit_s42_full,const_2bit,42,2.0,7.44565,7.458969,0.042673,0.041175,2500,9961.8,1.0038346483567226
abl_const_2bit_s123_full,const_2bit,123,2.0,7.462503,7.473033,0.039417,0.037289,3000,8646.6,1.1565239516110377
abl_const_4bit_s7_full,const_4bit,7,4.0,7.44571,7.44571,0.045212,0.043417,2500,12879.6,0.7764216280008696
abl_const_4bit_s42_full,const_4bit,42,4.0,7.426016,7.441531,0.046293,0.045301,2500,7471.4,1.3384372406777847
abl_const_4bit_s123_full,const_4bit,123,4.0,7.463445,7.473605,0.039417,0.037289,3000,10032.6,0.9967505930666029
abl_prog_1_2_4_s7_full,prog_1_2_4,7,2.0,7.461684,7.461684,0.044446,0.042976,2500,7809.0,1.2805736970162633
abl_prog_1_2_4_s42_full,prog_1_2_4,42,2.0,7.412376,7.428867,0.047496,0.045589,2500,12675.6,0.7889172899113257
abl_prog_1_2_4_s123_full,prog_1_2_4,123,2.0,7.454207,7.490064,0.043799,0.041702,3500,9972.0,1.0028078620136383
abl_prog_4_2_1_s7_full,prog_4_2_1,7,2.0,7.466833,7.466833,0.040836,0.036318,2500,8060.2,1.2406640033746061
abl_prog_4_2_1_s42_full,prog_4_2_1,42,2.0,7.445405,7.461251,0.043121,0.040429,2500,7932.5,1.2606366214938545
abl_prog_4_2_1_s123_full,prog_4_2_1,123,2.0,7.459054,7.466103,0.043628,0.04334,3000,8443.2,1.1843850672730718
