experiment_name,variant,seed,avg_eff_bits,best_val_loss,final_val_loss,best_val_acc,final_val_acc,conv_step_7_50,training_seconds,steps_per_sec
abl_baseline_s7_scr,baseline,7,16.0,7.487355,7.507175,0.039803,0.039195,2500,1793.1,1.6730801405387319
abl_baseline_s42_scr,baseline,42,16.0,7.493672,7.493672,0.037688,0.037688,3000,1314.9,2.2815423226100844
abl_baseline_s123_scr,baseline,123,16.0,7.485992,7.485992,0.037313,0.037313,3000,3175.0,0.9448818897637795
abl_const_1bit_s7_scr,const_1bit,7,1.0,7.485748,7.50417,0.039803,0.039195,2500,1439.6,2.0839121978327313
abl_const_1bit_s42_scr,const_1bit,42,1.0,7.491741,7.491741,0.037688,0.037688,2000,1235.5,2.4281667341157425
abl_const_1bit_s123_scr,const_1bit,123,1.0,7.485891,7.485891,0.037313,0.037313,3000,1365.1,2.1976411984470006
abl_const_2bit_s7_scr,const_2bit,7,2.0,7.489329,7.509361,0.039803,0.039195,2500,2029.6,1.4781237682301933
abl_const_2bit_s42_scr,const_2bit,42,2.0,7.493819,7.493819,0.037688,0.037688,3000,1700.6,1.7640832647300952
abl_const_2bit_s123_scr,const_2bit,123,2.0,7.485646,7.485646,0.037313,0.037313,2000,1933.6,1.551510136532892
abl_const_4bit_s7_scr,const_4bit,7,4.0,7.487613,7.507423,0.039803,0.039195,2500,1854.2,1.6179484413763348
abl_const_4bit_s42_scr,const_4bit,42,4.0,7.492949,7.492949,0.037688,0.037688,3000,2186.3,1.3721813108905456
abl_const_4bit_s123_scr,const_4bit,123,4.0,7.485985,7.485985,0.037313,0.037313,3000,1880.8,1.5950659293917482
abl_prog_1_2_4_s7_scr,prog_1_2_4,7,2.0,7.489784,7.509532,0.038271,0.037667,2500,1905.7,1.5742246943380385
abl_prog_1_2_4_s42_scr,prog_1_2_4,42,2.0,7.496411,7.496411,0.036738,0.036738,3000,1870.1,1.6041922891823968
abl_prog_1_2_4_s123_scr,prog_1_2_4,123,2.0,7.488473,7.488473,0.037313,0.037313,3000,1883.5,1.5927794000530926
abl_prog_4_2_1_s7_scr,prog_4_2_1,7,2.0,7.490355,7.509206,0.038751,0.038751,2500,1918.6,1.563640154279162
abl_prog_4_2_1_s42_scr,prog_4_2_1,42,2.0,7.490788,7.490788,0.037742,0.037742,2000,2192.0,1.3686131386861313
abl_prog_4_2_1_s123_scr,prog_4_2_1,123,2.0,7.48771,7.48771,0.037313,0.037313,3000,2192.4,1.3683634373289546
