step,train_loss,bits_used,lr,elapsed_s
10,10.062765,16,5.4e-06,9.0
20,9.620478,16,1.14e-05,8.73
30,9.093498,16,1.74e-05,8.96
40,8.86142,16,2.34e-05,8.79
50,8.698567,16,2.94e-05,8.84
60,8.581073,16,3.54e-05,9.19
70,8.405505,16,4.14e-05,8.78
80,8.396788,16,4.74e-05,8.93
90,8.215478,16,5.34e-05,8.73
100,8.147922,16,5.94e-05,8.84
110,8.012844,16,6.54e-05,8.73
120,7.91911,16,7.14e-05,8.7
130,7.778245,16,7.74e-05,8.91
140,7.754131,16,8.34e-05,8.95
150,7.628332,16,8.94e-05,8.65
160,7.602449,16,9.54e-05,8.81
170,7.578388,16,0.0001014,8.76
180,7.526895,16,0.0001074,8.66
190,7.609146,16,0.0001134,8.76
200,7.547612,16,0.0001194,8.74
210,7.593921,16,0.0001254,8.71
220,7.570907,16,0.0001314,8.68
230,7.541032,16,0.0001374,8.83
240,7.529576,16,0.0001434,8.81
250,7.545729,16,0.0001494,8.75
260,7.5765,16,0.0001554,8.72
270,7.562504,16,0.0001614,8.83
280,7.569952,16,0.0001674,8.66
290,7.633851,16,0.0001734,8.7
300,7.630624,16,0.0001794,8.72
310,7.552948,16,0.0001854,8.6
320,7.567427,16,0.0001914,8.76
330,7.580451,16,0.0001974,8.74
340,7.650993,16,0.0002034,8.91
350,7.576998,16,0.0002094,8.68
360,7.634387,16,0.0002154,8.8
370,7.631458,16,0.0002214,9.49
380,7.604273,16,0.0002274,9.12
390,7.568953,16,0.0002334,8.73
400,7.601785,16,0.0002394,8.83
410,7.664677,16,0.0002454,8.79
420,7.596388,16,0.0002514,8.04
430,7.61905,16,0.0002574,8.29
440,7.525312,16,0.0002634,8.49
450,7.633048,16,0.0002694,8.83
460,7.574313,16,0.0002754,8.82
470,7.597406,16,0.0002814,8.88
480,7.648134,16,0.0002874,8.74
490,7.665955,16,0.0002934,8.87
500,7.601598,16,0.0002994,8.74
510,7.551251,16,0.0003,33.62
520,7.553913,16,0.0003,9.1
530,7.615069,16,0.00029999,8.8
540,7.6058,16,0.00029999,8.7
550,7.564978,16,0.00029998,8.85
560,7.587789,16,0.00029997,8.83
570,7.493201,16,0.00029996,8.75
580,7.629273,16,0.00029995,8.85
590,7.607431,16,0.00029994,8.85
600,7.563304,16,0.00029992,8.8
610,7.63018,16,0.0002999,8.86
620,7.625121,16,0.00029988,8.74
630,7.598535,16,0.00029986,8.87
640,7.580939,16,0.00029984,8.66
650,7.599976,16,0.00029982,8.74
