step,train_loss,bits_used,lr,elapsed_s
10,10.108412,1,5.4e-06,8.97
20,9.722308,1,1.14e-05,8.72
30,9.236038,1,1.74e-05,8.77
40,8.961529,1,2.34e-05,8.81
50,8.766673,1,2.94e-05,8.74
60,8.612524,1,3.54e-05,8.67
70,8.451574,1,4.14e-05,8.74
80,8.407235,1,4.74e-05,8.9
90,8.203644,1,5.34e-05,8.65
100,8.09444,1,5.94e-05,8.76
110,7.985124,1,6.54e-05,8.89
120,7.862042,1,7.14e-05,8.7
130,7.81739,1,7.74e-05,8.67
140,7.773261,1,8.34e-05,8.75
150,7.658435,1,8.94e-05,8.76
160,7.654181,1,9.54e-05,8.63
170,7.633247,1,0.0001014,8.76
180,7.597857,1,0.0001074,8.64
190,7.634309,1,0.0001134,8.68
200,7.578947,1,0.0001194,8.81
210,7.584839,1,0.0001254,8.85
220,7.508058,1,0.0001314,8.7
230,7.528861,1,0.0001374,8.67
240,7.659331,1,0.0001434,9.0
250,7.545824,1,0.0001494,9.57
260,7.569508,1,0.0001554,8.53
270,7.581835,1,0.0001614,8.96
280,7.597359,1,0.0001674,8.63
290,7.588281,1,0.0001734,8.68
300,7.580394,1,0.0001794,8.64
310,7.583463,1,0.0001854,8.64
320,7.564299,1,0.0001914,8.64
330,7.577694,1,0.0001974,8.69
340,7.582827,1,0.0002034,8.92
350,7.635892,1,0.0002094,8.82
360,7.598405,1,0.0002154,8.73
370,7.588321,1,0.0002214,8.83
380,7.60614,1,0.0002274,8.71
390,7.61111,1,0.0002334,8.83
400,7.517612,1,0.0002394,8.7
410,7.565461,1,0.0002454,8.7
420,7.610169,1,0.0002514,8.33
430,7.608255,1,0.0002574,8.05
440,7.513131,1,0.0002634,7.96
450,7.60123,1,0.0002694,8.15
460,7.582028,1,0.0002754,8.75
470,7.665595,1,0.0002814,8.74
480,7.552318,1,0.0002874,9.54
490,7.6344,1,0.0002934,8.71
500,7.560504,1,0.0002994,8.77
510,7.600456,1,0.0003,37.15
