step,train_loss,bits_used,lr,elapsed_s
10,10.104739,1,5.4e-06,8.01
20,9.824265,2,1.14e-05,8.06
30,9.327258,1,1.74e-05,8.0
40,9.025846,2,2.34e-05,8.01
50,8.817405,1,2.94e-05,8.25
60,8.660766,1,3.54e-05,8.05
70,8.48174,2,4.14e-05,7.89
80,8.478963,1,4.74e-05,8.23
90,8.287804,2,5.34e-05,8.08
100,8.204965,1,5.94e-05,8.11
110,8.062412,1,6.54e-05,8.27
120,7.970589,1,7.14e-05,8.37
130,7.822465,1,7.74e-05,8.17
140,7.790567,1,8.34e-05,8.45
150,7.657094,2,8.94e-05,8.4
160,7.622784,2,9.54e-05,8.41
170,7.586154,1,0.0001014,8.38
180,7.536314,1,0.0001074,8.2
190,7.617481,1,0.0001134,8.01
200,7.547652,2,0.0001194,8.18
210,7.595438,1,0.0001254,7.92
220,7.572449,1,0.0001314,8.17
230,7.542086,2,0.0001374,8.23
240,7.531533,2,0.0001434,9.12
250,7.542322,1,0.0001494,8.15
260,7.576556,2,0.0001554,8.0
270,7.561548,1,0.0001614,8.0
280,7.572912,2,0.0001674,8.07
290,7.635612,2,0.0001734,8.08
300,7.637086,2,0.0001794,8.04
310,7.556368,2,0.0001854,8.08
320,7.569307,1,0.0001914,7.9
330,7.581939,1,0.0001974,8.0
340,7.659681,1,0.0002034,8.04
350,7.572803,2,0.0002094,8.03
360,7.636808,2,0.0002154,8.19
370,7.631843,2,0.0002214,7.9
380,7.605009,1,0.0002274,7.86
390,7.571951,1,0.0002334,7.96
400,7.603268,1,0.0002394,7.99
410,7.670685,2,0.0002454,8.14
420,7.595673,2,0.0002514,7.73
430,7.622137,1,0.0002574,7.27
440,7.52647,1,0.0002634,7.35
450,7.643005,1,0.0002694,7.51
460,7.573274,1,0.0002754,8.04
470,7.595861,1,0.0002814,8.14
480,7.649354,1,0.0002874,7.96
490,7.665706,1,0.0002934,8.18
500,7.602315,1,0.0002994,8.21
510,7.551163,2,0.0003,35.8
520,7.553778,1,0.0003,8.23
530,7.617773,1,0.00029999,8.29
540,7.607889,2,0.00029999,8.23
550,7.565799,1,0.00029998,8.06
560,7.590509,1,0.00029997,8.35
570,7.493827,2,0.00029996,8.02
580,7.628332,1,0.00029995,8.16
590,7.608911,1,0.00029994,8.03
600,7.567754,1,0.00029992,8.08
610,7.627476,2,0.0002999,8.1
620,7.623228,1,0.00029988,8.09
630,7.598877,1,0.00029986,8.08
640,7.581329,1,0.00029984,8.27
650,7.600261,1,0.00029982,8.15
660,7.620753,1,0.00029979,8.07
670,7.573704,1,0.00029977,8.17
680,7.571755,1,0.00029974,8.09
690,7.611226,1,0.00029971,8.2
700,7.553256,1,0.00029968,8.15
710,7.574134,1,0.00029964,8.38
720,7.581391,2,0.00029961,8.38
730,7.601697,1,0.00029957,8.45
740,7.63979,1,0.00029953,7.98
750,7.566295,1,0.00029949,8.04
760,7.575539,1,0.00029945,8.33
770,7.558679,1,0.00029941,8.31
780,7.552766,1,0.00029936,8.25
790,7.611222,1,0.00029932,8.4
800,7.576726,2,0.00029927,7.99
810,7.532846,1,0.00029922,8.42
820,7.58455,1,0.00029917,8.38
830,7.587361,1,0.00029911,8.22
840,7.619626,2,0.00029906,8.45
850,7.571156,1,0.000299,7.9
860,7.59315,1,0.00029894,8.5
870,7.631825,1,0.00029888,7.93
880,7.571132,1,0.00029882,8.14
890,7.603826,1,0.00029876,8.13
900,7.571771,2,0.0002987,8.36
910,7.551457,1,0.00029863,8.14
920,7.547725,2,0.00029856,8.03
930,7.528279,1,0.00029849,7.52
940,7.577497,1,0.00029842,7.38
950,7.521896,1,0.00029835,7.64
960,7.520644,1,0.00029828,8.38
970,7.551098,1,0.0002982,8.36
980,7.608614,1,0.00029812,8.17
990,7.57706,1,0.00029804,8.2
1000,7.551125,1,0.00029796,8.76
1010,7.487584,2,0.00029788,35.68
1020,7.599869,1,0.0002978,7.97
1030,7.610784,1,0.00029771,7.94
1040,7.579246,1,0.00029762,7.76
1050,7.547011,1,0.00029753,7.93
1060,7.586496,1,0.00029744,8.02
1070,7.535885,1,0.00029735,8.36
1080,7.545457,1,0.00029726,8.17
1090,7.584861,2,0.00029716,8.2
1100,7.582292,1,0.00029707,7.98
1110,7.535757,1,0.00029697,8.8
1120,7.503239,2,0.00029687,8.43
1130,7.529523,2,0.00029677,8.11
1140,7.531968,1,0.00029666,8.08
1150,7.555321,1,0.00029656,7.95
1160,7.496433,1,0.00029645,8.0
1170,7.567387,1,0.00029634,8.16
1180,7.509829,1,0.00029623,8.15
1190,7.519273,1,0.00029612,8.15
1200,7.501663,1,0.00029601,7.93
1210,7.575242,1,0.0002959,8.1
1220,7.595502,1,0.00029578,8.31
1230,7.512971,1,0.00029566,8.03
1240,7.550801,1,0.00029554,8.02
1250,7.50888,1,0.00029542,8.1
1260,7.530457,1,0.0002953,8.23
1270,7.541511,2,0.00029518,8.09
1280,7.530331,1,0.00029505,8.07
1290,7.559108,1,0.00029492,8.0
1300,7.564015,1,0.00029479,7.88
1310,7.512507,1,0.00029466,8.04
1320,7.542882,1,0.00029453,7.9
1330,7.599219,1,0.0002944,8.08
1340,7.571915,2,0.00029426,8.21
1350,7.54613,1,0.00029413,8.1
1360,7.606599,1,0.00029399,7.99
1370,7.536748,1,0.00029385,7.99
1380,7.532863,1,0.00029371,8.1
1390,7.552533,2,0.00029356,7.87
1400,7.529266,1,0.00029342,7.99
1410,7.486184,1,0.00029327,8.04
1420,7.525279,1,0.00029313,7.56
1430,7.624073,2,0.00029298,7.3
1440,7.509026,2,0.00029283,7.49
1450,7.555636,1,0.00029267,7.31
1460,7.547755,2,0.00029252,8.06
1470,7.481129,2,0.00029236,8.33
1480,7.485204,1,0.00029221,8.02
1490,7.508824,2,0.00029205,7.93
1500,7.570602,1,0.00029189,7.94
1510,7.51423,2,0.00029173,35.18
1520,7.507434,2,0.00029156,8.06
1530,7.551684,2,0.0002914,8.04
1540,7.543677,2,0.00029123,8.01
1550,7.520987,1,0.00029106,8.01
1560,7.603999,2,0.0002909,8.19
1570,7.508472,2,0.00029072,7.97
1580,7.545285,1,0.00029055,7.96
1590,7.506885,2,0.00029038,8.0
1600,7.546543,1,0.0002902,8.02
1610,7.593898,1,0.00029003,8.07
1620,7.520758,1,0.00028985,7.91
1630,7.576753,1,0.00028967,7.88
1640,7.526702,1,0.00028948,7.92
1650,7.515271,1,0.0002893,8.02
1660,7.544886,1,0.00028912,7.9
1670,7.514328,1,0.00028893,7.93
1680,7.569282,2,0.00028874,7.75
1690,7.505917,1,0.00028855,7.82
1700,7.580714,1,0.00028836,7.92
1710,7.556558,1,0.00028817,7.82
1720,7.503219,2,0.00028798,8.09
1730,7.581171,1,0.00028778,7.6
1740,7.464814,1,0.00028758,7.79
1750,7.59819,2,0.00028739,7.87
1760,7.541515,2,0.00028719,7.86
1770,7.501483,1,0.00028698,8.19
1780,7.627425,2,0.00028678,7.95
1790,7.558812,2,0.00028658,7.83
1800,7.465795,2,0.00028637,7.93
1810,7.524651,1,0.00028616,8.05
1820,7.535211,2,0.00028596,8.03
1830,7.556834,1,0.00028575,8.18
1840,7.53745,1,0.00028553,8.02
1850,7.531603,1,0.00028532,7.91
1860,7.535901,1,0.00028511,8.13
1870,7.471182,1,0.00028489,7.9
1880,7.555567,1,0.00028467,8.13
1890,7.553337,2,0.00028445,8.06
1900,7.515173,1,0.00028423,8.02
1910,7.569254,1,0.00028401,8.02
1920,7.516289,1,0.00028379,7.46
1930,7.486557,1,0.00028356,7.26
1940,7.597112,1,0.00028333,7.42
1950,7.492281,2,0.00028311,7.53
1960,7.552789,2,0.00028288,8.0
1970,7.612131,2,0.00028265,7.86
1980,7.487347,2,0.00028241,7.87
1990,7.495148,1,0.00028218,7.89
2000,7.512287,1,0.00028194,7.97
2010,7.570671,1,0.00028171,35.06
2020,7.46916,1,0.00028147,7.93
2030,7.562585,1,0.00028123,8.01
2040,7.497355,2,0.00028099,7.98
2050,7.485647,1,0.00028075,8.12
2060,7.446295,1,0.0002805,7.84
2070,7.54796,1,0.00028026,8.03
2080,7.455537,2,0.00028001,7.98
2090,7.47261,1,0.00027976,8.06
2100,7.589983,1,0.00027951,8.1
2110,7.540705,1,0.00027926,7.87
2120,7.548985,1,0.00027901,8.11
2130,7.556041,1,0.00027876,7.96
2140,7.459665,1,0.0002785,7.94
2150,7.542423,1,0.00027824,7.97
2160,7.541047,2,0.00027799,8.07
2170,7.523181,1,0.00027773,8.09
2180,7.512472,2,0.00027747,8.05
2190,7.550366,1,0.0002772,7.9
2200,7.547552,2,0.00027694,7.95
2210,7.542425,1,0.00027668,8.02
2220,7.49301,1,0.00027641,8.02
2230,7.576123,1,0.00027614,7.9
2240,7.558504,1,0.00027587,7.92
2250,7.492277,1,0.0002756,8.04
2260,7.534477,1,0.00027533,8.07
2270,7.49821,1,0.00027506,7.88
2280,7.466552,1,0.00027478,8.05
2290,7.478295,1,0.00027451,7.98
2300,7.54287,1,0.00027423,8.14
2310,7.514987,1,0.00027395,8.02
2320,7.568224,1,0.00027367,7.96
2330,7.481714,1,0.00027339,8.16
2340,7.528201,1,0.00027311,8.01
2350,7.519673,1,0.00027282,7.77
2360,7.477014,2,0.00027254,8.05
2370,7.554247,2,0.00027225,8.08
2380,7.512192,1,0.00027196,7.89
2390,7.563799,2,0.00027167,7.97
2400,7.551378,1,0.00027138,8.0
2410,7.544764,1,0.00027109,8.12
2420,7.475724,1,0.0002708,7.37
2430,7.549561,2,0.0002705,7.35
2440,7.507753,2,0.00027021,7.46
2450,7.542803,1,0.00026991,7.67
2460,7.462664,1,0.00026961,7.99
2470,7.501124,2,0.00026931,8.08
2480,7.495018,1,0.00026901,7.88
2490,7.476323,1,0.00026871,8.07
2500,7.459613,2,0.0002684,7.9
2510,7.483521,2,0.0002681,34.51
2520,7.476918,2,0.00026779,8.07
2530,7.49657,1,0.00026748,7.91
2540,7.503381,1,0.00026717,7.96
2550,7.541094,1,0.00026686,7.86
2560,7.530719,1,0.00026655,7.94
2570,7.455234,2,0.00026624,7.87
2580,7.479407,1,0.00026592,7.85
2590,7.56411,1,0.00026561,7.74
2600,7.517962,1,0.00026529,7.85
2610,7.542406,1,0.00026497,7.81
2620,7.49758,1,0.00026465,7.72
