step,train_loss,bits_used,lr,elapsed_s
10,10.123614,16,5.4e-06,3.61
20,9.589957,16,1.14e-05,3.5
30,9.098112,16,1.74e-05,3.53
40,8.787482,16,2.34e-05,3.53
50,8.687536,16,2.94e-05,3.51
60,8.525145,16,3.54e-05,3.58
70,8.382084,16,4.14e-05,3.5
80,8.287338,16,4.74e-05,3.58
90,8.234932,16,5.34e-05,3.46
100,8.147871,16,5.94e-05,3.57
110,7.974571,16,6.54e-05,3.48
120,7.914004,16,7.14e-05,3.56
130,7.804862,16,7.74e-05,3.48
140,7.690592,16,8.34e-05,3.57
150,7.721337,16,8.94e-05,3.47
160,7.656403,16,9.54e-05,3.58
170,7.6003,16,0.0001014,3.49
180,7.507995,16,0.0001074,3.54
190,7.610448,16,0.0001134,3.49
200,7.559287,16,0.0001194,3.54
210,7.597017,16,0.0001254,3.51
220,7.609178,16,0.0001314,3.53
230,7.593291,16,0.0001374,3.52
240,7.574805,16,0.0001434,3.5
250,7.568958,16,0.0001494,3.55
260,7.565224,16,0.0001554,3.5
270,7.614286,16,0.0001614,3.56
280,7.559031,16,0.0001674,3.49
290,7.589559,16,0.0001734,3.59
300,7.585632,16,0.0001794,3.5
310,7.579584,16,0.0001854,3.61
320,7.640619,16,0.0001914,3.5
330,7.676705,16,0.0001974,3.57
340,7.576241,16,0.0002034,3.49
350,7.640074,16,0.0002094,3.56
360,7.51662,16,0.0002154,3.54
370,7.591787,16,0.0002214,3.52
380,7.617993,16,0.0002274,3.51
390,7.542315,16,0.0002334,3.52
400,7.637303,16,0.0002394,3.53
410,7.618361,16,0.0002454,3.5
420,7.565584,16,0.0002514,3.55
430,7.550371,16,0.0002574,3.5
440,7.609537,16,0.0002634,3.62
450,7.63851,16,0.0002694,3.55
460,7.622734,16,0.0002754,3.76
470,7.563931,16,0.0002814,3.73
480,7.610023,16,0.0002874,3.71
490,7.55253,16,0.0002934,3.91
500,7.597218,16,0.0002994,3.81
510,7.603063,16,0.0003,14.84
520,7.623339,16,0.0003,4.12
530,7.560252,16,0.00029999,4.14
540,7.621043,16,0.00029999,4.21
550,7.653068,16,0.00029998,4.11
560,7.563575,16,0.00029997,4.42
570,7.589883,16,0.00029996,4.45
580,7.622425,16,0.00029995,4.38
590,7.60792,16,0.00029994,4.28
600,7.610112,16,0.00029992,4.74
610,7.588483,16,0.0002999,4.51
620,7.590943,16,0.00029988,4.53
630,7.604463,16,0.00029986,4.38
640,7.581067,16,0.00029984,4.35
650,7.551438,16,0.00029982,4.42
660,7.596925,16,0.00029979,4.53
670,7.557561,16,0.00029977,4.36
680,7.590065,16,0.00029974,4.43
690,7.520576,16,0.00029971,4.35
700,7.559456,16,0.00029968,4.21
710,7.610201,16,0.00029964,4.33
720,7.566515,16,0.00029961,4.5
730,7.563975,16,0.00029957,4.23
740,7.644442,16,0.00029953,4.52
750,7.624054,16,0.00029949,4.33
760,7.584268,16,0.00029945,4.11
770,7.565649,16,0.00029941,4.31
780,7.585626,16,0.00029936,4.32
790,7.592015,16,0.00029932,4.32
800,7.644293,16,0.00029927,4.38
810,7.559834,16,0.00029922,4.58
820,7.560194,16,0.00029917,4.07
830,7.589899,16,0.00029911,4.23
840,7.571888,16,0.00029906,4.44
850,7.63135,16,0.000299,4.24
860,7.559155,16,0.00029894,4.19
870,7.615959,16,0.00029888,4.46
880,7.58817,16,0.00029882,4.47
890,7.569099,16,0.00029876,4.16
900,7.579027,16,0.0002987,4.49
910,7.547505,16,0.00029863,4.29
920,7.591657,16,0.00029856,4.26
930,7.54524,16,0.00029849,4.65
940,7.554716,16,0.00029842,4.35
950,7.482884,16,0.00029835,4.17
960,7.570912,16,0.00029828,4.47
970,7.540824,16,0.0002982,4.25
980,7.609212,16,0.00029812,4.3
990,7.606055,16,0.00029804,4.32
1000,7.481169,16,0.00029796,4.46
1010,7.539153,16,0.00029788,16.84
1020,7.516094,16,0.0002978,4.24
1030,7.608384,16,0.00029771,4.72
1040,7.526642,16,0.00029762,4.37
1050,7.543948,16,0.00029753,4.54
1060,7.594476,16,0.00029744,4.72
1070,7.55138,16,0.00029735,4.43
1080,7.516965,16,0.00029726,4.42
1090,7.557178,16,0.00029716,4.62
1100,7.511132,16,0.00029707,4.66
1110,7.530698,16,0.00029697,5.2
1120,7.556841,16,0.00029687,4.52
1130,7.59048,16,0.00029677,4.46
1140,7.550852,16,0.00029666,4.44
1150,7.573852,16,0.00029656,4.62
1160,7.560272,16,0.00029645,4.53
1170,7.612183,16,0.00029634,4.48
1180,7.521902,16,0.00029623,4.66
1190,7.561485,16,0.00029612,4.41
1200,7.540842,16,0.00029601,4.42
1210,7.542282,16,0.0002959,4.54
1220,7.563201,16,0.00029578,4.41
1230,7.583356,16,0.00029566,4.63
1240,7.554255,16,0.00029554,4.53
1250,7.582073,16,0.00029542,4.7
1260,7.54504,16,0.0002953,4.71
1270,7.590759,16,0.00029518,4.63
1280,7.458717,16,0.00029505,4.37
1290,7.526151,16,0.00029492,4.59
1300,7.496326,16,0.00029479,4.49
1310,7.579077,16,0.00029466,4.42
1320,7.573215,16,0.00029453,4.63
1330,7.60774,16,0.0002944,4.44
1340,7.569031,16,0.00029426,4.42
1350,7.567921,16,0.00029413,4.49
