step,train_loss,bits_used,lr,elapsed_s
10,10.095299,2,5.4e-06,3.84
20,9.756789,2,1.14e-05,3.83
30,9.256982,2,1.74e-05,5.57
40,8.930212,2,2.34e-05,5.86
50,8.772898,2,2.94e-05,5.59
60,8.627987,2,3.54e-05,5.79
70,8.444211,2,4.14e-05,5.67
80,8.36456,2,4.74e-05,5.28
90,8.279254,1,5.34e-05,5.66
100,8.190839,2,5.94e-05,5.8
110,8.025623,2,6.54e-05,5.66
120,7.946561,2,7.14e-05,5.6
130,7.840856,1,7.74e-05,5.44
140,7.714371,2,8.34e-05,5.73
150,7.745163,1,8.94e-05,5.76
160,7.669836,2,9.54e-05,5.52
170,7.610859,2,0.0001014,5.83
180,7.510861,2,0.0001074,5.4
190,7.61055,2,0.0001134,5.7
200,7.561365,2,0.0001194,5.55
210,7.601762,1,0.0001254,5.48
220,7.609683,2,0.0001314,5.57
230,7.598832,2,0.0001374,5.28
240,7.578544,1,0.0001434,5.65
250,7.57354,1,0.0001494,5.13
260,7.564566,2,0.0001554,5.36
270,7.610301,1,0.0001614,5.61
280,7.562602,2,0.0001674,5.58
290,7.58771,2,0.0001734,5.38
300,7.580775,2,0.0001794,5.16
310,7.584225,2,0.0001854,5.3
320,7.646503,2,0.0001914,5.39
330,7.682803,1,0.0001974,5.24
340,7.578324,2,0.0002034,5.59
350,7.634933,2,0.0002094,5.42
360,7.520113,1,0.0002154,5.24
370,7.596935,2,0.0002214,5.46
380,7.617254,1,0.0002274,5.16
390,7.54066,2,0.0002334,5.7
400,7.638921,2,0.0002394,5.17
410,7.618612,2,0.0002454,5.32
420,7.563317,2,0.0002514,5.55
430,7.551595,2,0.0002574,5.56
440,7.613437,2,0.0002634,5.67
450,7.640614,2,0.0002694,5.17
460,7.626791,2,0.0002754,5.67
470,7.568782,2,0.0002814,5.09
480,7.614027,1,0.0002874,5.3
490,7.551907,2,0.0002934,5.57
500,7.597443,2,0.0002994,5.5
510,7.609164,1,0.0003,23.05
520,7.623403,2,0.0003,5.61
530,7.563187,2,0.00029999,5.38
540,7.620788,2,0.00029999,5.7
550,7.650083,1,0.00029998,5.68
560,7.567338,1,0.00029997,5.61
570,7.595553,2,0.00029996,5.8
580,7.622289,2,0.00029995,5.92
590,7.608495,1,0.00029994,5.65
600,7.611261,2,0.00029992,5.55
610,7.589216,2,0.0002999,5.8
620,7.592855,1,0.00029988,5.46
630,7.606771,1,0.00029986,5.48
640,7.586145,2,0.00029984,5.37
650,7.559854,1,0.00029982,5.71
660,7.601422,1,0.00029979,5.19
670,7.559366,1,0.00029977,5.67
680,7.593207,2,0.00029974,5.38
690,7.522941,2,0.00029971,5.69
700,7.561484,2,0.00029968,5.7
710,7.61043,2,0.00029964,5.45
720,7.568078,2,0.00029961,5.79
730,7.565912,2,0.00029957,5.09
740,7.647276,2,0.00029953,5.65
750,7.627165,2,0.00029949,5.42
760,7.587242,1,0.00029945,5.34
770,7.570863,1,0.00029941,5.43
780,7.588745,2,0.00029936,5.38
790,7.592764,2,0.00029932,5.19
800,7.645899,1,0.00029927,5.69
810,7.564051,2,0.00029922,5.7
820,7.56515,2,0.00029917,5.95
830,7.593449,2,0.00029911,5.51
840,7.572766,1,0.00029906,5.75
850,7.633744,2,0.000299,5.67
860,7.561702,2,0.00029894,5.17
870,7.617931,1,0.00029888,5.36
880,7.591152,2,0.00029882,5.97
890,7.571959,1,0.00029876,5.64
900,7.582903,1,0.0002987,5.72
910,7.550494,2,0.00029863,5.57
920,7.597297,2,0.00029856,5.61
930,7.548908,1,0.00029849,5.48
940,7.558203,1,0.00029842,5.62
950,7.488061,2,0.00029835,5.6
960,7.576594,2,0.00029828,5.35
970,7.544449,1,0.0002982,5.52
980,7.612104,2,0.00029812,5.39
990,7.609406,1,0.00029804,5.36
1000,7.486231,1,0.00029796,5.45
1010,7.541928,2,0.00029788,23.94
1020,7.51823,1,0.0002978,5.39
1030,7.61071,1,0.00029771,5.57
1040,7.530528,2,0.00029762,5.17
1050,7.545696,2,0.00029753,5.33
1060,7.597633,2,0.00029744,5.76
1070,7.55324,2,0.00029735,5.78
1080,7.518457,2,0.00029726,5.91
1090,7.560437,2,0.00029716,5.68
1100,7.51662,2,0.00029707,5.21
1110,7.533827,2,0.00029697,5.76
1120,7.559057,2,0.00029687,5.52
1130,7.590655,2,0.00029677,5.55
1140,7.554674,2,0.00029666,5.33
1150,7.575713,2,0.00029656,5.26
1160,7.562113,1,0.00029645,5.72
1170,7.614343,2,0.00029634,5.35
1180,7.525676,2,0.00029623,5.48
1190,7.563259,2,0.00029612,5.53
1200,7.542423,2,0.00029601,5.46
1210,7.541977,1,0.0002959,5.6
1220,7.563967,1,0.00029578,5.14
1230,7.585655,2,0.00029566,5.64
1240,7.553822,2,0.00029554,5.24
1250,7.583119,2,0.00029542,5.54
1260,7.547235,2,0.0002953,5.54
1270,7.592328,2,0.00029518,5.17
1280,7.460247,2,0.00029505,5.41
1290,7.525927,2,0.00029492,5.58
1300,7.4966,1,0.00029479,5.24
1310,7.580428,1,0.00029466,5.6
1320,7.573237,2,0.00029453,5.07
1330,7.608713,1,0.0002944,5.47
1340,7.569815,2,0.00029426,5.5
1350,7.570311,1,0.00029413,5.09
1360,7.47507,2,0.00029399,5.69
1370,7.531603,2,0.00029385,5.2
1380,7.482794,1,0.00029371,5.34
1390,7.524612,2,0.00029356,5.38
1400,7.586931,1,0.00029342,5.33
1410,7.470669,1,0.00029327,5.45
1420,7.522887,2,0.00029313,5.62
1430,7.525784,2,0.00029298,5.29
1440,7.542048,2,0.00029283,5.5
1450,7.54079,2,0.00029267,5.47
1460,7.556732,2,0.00029252,5.58
1470,7.514621,1,0.00029236,5.39
1480,7.598592,2,0.00029221,5.51
1490,7.498272,2,0.00029205,5.3
1500,7.497838,2,0.00029189,5.43
1510,7.614825,2,0.00029173,22.83
1520,7.439841,2,0.00029156,5.33
1530,7.518175,2,0.0002914,5.61
1540,7.472691,2,0.00029123,5.44
1550,7.582927,2,0.00029106,6.1
1560,7.538057,2,0.0002909,5.51
1570,7.63455,2,0.00029072,5.33
1580,7.480679,2,0.00029055,5.66
1590,7.514839,2,0.00029038,4.95
1600,7.517941,1,0.0002902,5.53
1610,7.580643,1,0.00029003,5.34
1620,7.580797,2,0.00028985,5.57
1630,7.582876,1,0.00028967,5.3
1640,7.54976,2,0.00028948,5.41
1650,7.526017,1,0.0002893,5.49
1660,7.628684,1,0.00028912,5.14
1670,7.569379,2,0.00028893,5.18
1680,7.503655,1,0.00028874,5.45
1690,7.538149,2,0.00028855,5.17
1700,7.511796,2,0.00028836,5.4
1710,7.505132,2,0.00028817,5.29
1720,7.510701,2,0.00028798,5.53
1730,7.53913,2,0.00028778,5.97
1740,7.531512,2,0.00028758,5.14
1750,7.468202,2,0.00028739,5.56
1760,7.571234,2,0.00028719,5.28
1770,7.537818,2,0.00028698,5.41
1780,7.569402,1,0.00028678,5.34
1790,7.57326,2,0.00028658,5.29
1800,7.528225,2,0.00028637,5.34
1810,7.501601,2,0.00028616,5.51
1820,7.539014,2,0.00028596,5.17
1830,7.531012,2,0.00028575,5.5
1840,7.610703,2,0.00028553,5.15
1850,7.484267,2,0.00028532,5.12
1860,7.52099,1,0.00028511,5.33
1870,7.567555,1,0.00028489,5.07
1880,7.61125,2,0.00028467,5.47
1890,7.519719,1,0.00028445,5.04
1900,7.570322,2,0.00028423,5.1
1910,7.539303,2,0.00028401,5.38
1920,7.480306,2,0.00028379,5.58
1930,7.520454,2,0.00028356,5.17
1940,7.545075,2,0.00028333,5.52
1950,7.538435,2,0.00028311,5.04
1960,7.469928,2,0.00028288,5.24
1970,7.500868,2,0.00028265,5.44
1980,7.494331,1,0.00028241,5.35
1990,7.50388,2,0.00028218,5.49
2000,7.522742,2,0.00028194,5.09
2010,7.51788,2,0.00028171,22.48
2020,7.519201,2,0.00028147,5.76
2030,7.518351,2,0.00028123,5.57
