step,train_loss,bits_used,lr,elapsed_s
10,10.028822,3,5.4e-06,5.35
20,9.523194,3,1.14e-05,4.95
30,9.032446,3,1.74e-05,4.95
40,8.811798,3,2.34e-05,4.94
50,8.651474,3,2.94e-05,4.99
60,8.513011,3,3.54e-05,4.97
70,8.393307,3,4.14e-05,4.98
80,8.331775,3,4.74e-05,4.99
90,8.144207,3,5.34e-05,4.96
100,8.05487,3,5.94e-05,4.93
110,7.991529,3,6.54e-05,4.98
120,7.885768,3,7.14e-05,4.9
130,7.817388,3,7.74e-05,4.98
140,7.732357,3,8.34e-05,4.96
150,7.653797,3,8.94e-05,5.0
160,7.639933,3,9.54e-05,4.93
170,7.627705,3,0.0001014,5.0
180,7.55416,3,0.0001074,5.02
190,7.554224,3,0.0001134,5.01
200,7.507735,3,0.0001194,4.96
210,7.564374,3,0.0001254,5.03
220,7.53977,3,0.0001314,4.95
230,7.545392,3,0.0001374,5.02
240,7.604414,3,0.0001434,4.92
250,7.577781,3,0.0001494,5.01
260,7.572021,3,0.0001554,4.95
270,7.574037,3,0.0001614,5.07
280,7.668445,3,0.0001674,4.98
290,7.547497,3,0.0001734,5.0
300,7.594693,3,0.0001794,5.0
310,7.529962,3,0.0001854,4.99
320,7.582503,3,0.0001914,4.98
330,7.573572,3,0.0001974,5.17
340,7.580703,3,0.0002034,4.94
350,7.605551,3,0.0002094,4.98
360,7.609367,3,0.0002154,4.94
370,7.622232,3,0.0002214,5.01
380,7.61588,3,0.0002274,4.93
390,7.565915,3,0.0002334,4.99
400,7.634832,3,0.0002394,4.97
410,7.611456,3,0.0002454,5.07
420,7.6446,3,0.0002514,4.98
430,7.674351,3,0.0002574,4.97
440,7.594564,3,0.0002634,4.95
450,7.614828,3,0.0002694,5.0
460,7.641615,3,0.0002754,4.93
470,7.657826,3,0.0002814,4.99
480,7.657012,3,0.0002874,4.91
490,7.634477,3,0.0002934,5.01
500,7.505658,3,0.0002994,4.95
510,7.650006,3,0.0003,21.5
520,7.598828,3,0.0003,4.96
530,7.603326,3,0.00029999,4.98
540,7.600769,3,0.00029999,4.92
550,7.599327,3,0.00029998,4.94
560,7.625333,3,0.00029997,4.92
570,7.63066,3,0.00029996,4.93
580,7.55328,3,0.00029995,4.94
590,7.541671,3,0.00029994,4.92
600,7.595651,3,0.00029992,4.97
610,7.50396,3,0.0002999,4.92
620,7.567844,3,0.00029988,4.94
630,7.664224,3,0.00029986,4.97
640,7.538267,3,0.00029984,5.01
650,7.545717,3,0.00029982,4.95
660,7.547147,3,0.00029979,4.94
670,7.58732,3,0.00029977,4.93
680,7.579051,3,0.00029974,4.95
690,7.601974,3,0.00029971,4.93
700,7.593241,3,0.00029968,4.96
710,7.589127,3,0.00029964,4.92
720,7.543088,3,0.00029961,4.98
730,7.588268,3,0.00029957,4.93
740,7.558281,3,0.00029953,4.98
750,7.564657,3,0.00029949,5.03
760,7.609964,3,0.00029945,5.07
770,7.604004,3,0.00029941,4.96
780,7.539162,3,0.00029936,5.06
790,7.607203,3,0.00029932,4.93
800,7.542769,3,0.00029927,5.05
810,7.522372,3,0.00029922,4.94
820,7.547733,3,0.00029917,4.97
830,7.570599,3,0.00029911,4.94
840,7.592165,3,0.00029906,5.02
850,7.600463,3,0.000299,4.95
860,7.515499,3,0.00029894,4.97
870,7.608793,3,0.00029888,4.95
880,7.55408,3,0.00029882,4.98
890,7.603845,3,0.00029876,4.96
900,7.565403,3,0.0002987,5.16
910,7.507073,3,0.00029863,4.95
920,7.539214,3,0.00029856,5.03
930,7.494824,3,0.00029849,4.97
940,7.585166,3,0.00029842,5.02
950,7.5861,3,0.00029835,4.97
960,7.562434,3,0.00029828,5.02
970,7.540134,3,0.0002982,4.94
980,7.480689,3,0.00029812,5.03
990,7.578629,3,0.00029804,4.97
