step,train_loss,bits_used,lr,elapsed_s
10,10.010387,0,5.4e-06,4.99
20,9.565544,0,1.14e-05,4.72
30,9.098221,0,1.74e-05,4.67
40,8.850456,0,2.34e-05,4.72
50,8.678773,0,2.94e-05,4.67
60,8.532462,0,3.54e-05,4.7
70,8.409261,0,4.14e-05,4.67
80,8.343219,0,4.74e-05,4.78
90,8.160008,0,5.34e-05,4.69
100,8.073107,0,5.94e-05,4.76
110,8.00043,0,6.54e-05,4.65
120,7.898634,0,7.14e-05,4.68
130,7.828234,0,7.74e-05,4.65
140,7.737749,0,8.34e-05,4.72
150,7.658325,0,8.94e-05,4.67
160,7.639884,0,9.54e-05,4.66
170,7.626916,0,0.0001014,4.66
180,7.55274,0,0.0001074,4.67
190,7.554489,0,0.0001134,4.7
200,7.508337,0,0.0001194,4.66
210,7.564754,0,0.0001254,4.69
220,7.540311,0,0.0001314,4.72
230,7.545987,0,0.0001374,4.83
240,7.604289,0,0.0001434,4.69
250,7.576037,0,0.0001494,4.76
260,7.570033,0,0.0001554,4.64
270,7.572433,0,0.0001614,4.72
280,7.667842,0,0.0001674,4.68
290,7.545563,0,0.0001734,4.69
300,7.594626,0,0.0001794,4.68
310,7.528952,0,0.0001854,4.68
320,7.582994,0,0.0001914,4.66
330,7.570582,0,0.0001974,4.71
340,7.578925,0,0.0002034,4.68
350,7.60528,0,0.0002094,4.78
360,7.607287,0,0.0002154,4.77
370,7.619683,0,0.0002214,4.69
380,7.615203,0,0.0002274,4.75
390,7.56376,0,0.0002334,4.68
400,7.633485,0,0.0002394,4.72
410,7.608886,0,0.0002454,4.66
420,7.640268,0,0.0002514,4.73
430,7.671507,0,0.0002574,4.65
440,7.592447,0,0.0002634,4.71
450,7.613812,0,0.0002694,4.7
460,7.637739,0,0.0002754,4.75
470,7.656217,0,0.0002814,4.71
480,7.654,0,0.0002874,4.74
490,7.632455,0,0.0002934,4.71
500,7.504866,0,0.0002994,4.74
510,7.650939,0,0.0003,18.74
520,7.597383,0,0.0003,4.77
530,7.600053,0,0.00029999,4.68
540,7.598079,0,0.00029999,4.73
550,7.598915,0,0.00029998,4.65
560,7.624856,0,0.00029997,4.72
570,7.629381,0,0.00029996,4.68
