step,train_loss,bits_used,lr,elapsed_s
10,10.11125,16,5.4e-06,4.59
20,9.585567,16,1.14e-05,4.42
30,9.087868,16,1.74e-05,4.45
40,8.855007,16,2.34e-05,4.45
50,8.685979,16,2.94e-05,4.4
60,8.561225,16,3.54e-05,4.45
70,8.430592,16,4.14e-05,4.39
80,8.388443,16,4.74e-05,4.46
90,8.191566,16,5.34e-05,4.43
100,8.078778,16,5.94e-05,4.42
110,7.97169,16,6.54e-05,4.41
120,7.843443,16,7.14e-05,4.46
130,7.812461,16,7.74e-05,4.48
140,7.764913,16,8.34e-05,4.4
150,7.655133,16,8.94e-05,4.49
160,7.653758,16,9.54e-05,4.47
170,7.633977,16,0.0001014,4.46
180,7.600331,16,0.0001074,4.42
190,7.633144,16,0.0001134,4.46
200,7.579293,16,0.0001194,4.41
210,7.58798,16,0.0001254,4.39
220,7.510518,16,0.0001314,4.42
230,7.528283,16,0.0001374,4.39
240,7.656206,16,0.0001434,4.48
250,7.54589,16,0.0001494,4.41
260,7.570038,16,0.0001554,4.43
270,7.585139,16,0.0001614,4.46
280,7.597401,16,0.0001674,4.47
290,7.586318,16,0.0001734,4.39
300,7.581346,16,0.0001794,4.44
310,7.579929,16,0.0001854,4.44
320,7.56206,16,0.0001914,4.39
330,7.573437,16,0.0001974,4.45
340,7.578602,16,0.0002034,4.39
350,7.632566,16,0.0002094,4.43
360,7.597618,16,0.0002154,4.43
370,7.586342,16,0.0002214,4.48
380,7.60305,16,0.0002274,4.42
390,7.609341,16,0.0002334,4.4
400,7.513565,16,0.0002394,4.5
410,7.559248,16,0.0002454,4.4
420,7.604692,16,0.0002514,4.62
430,7.60191,16,0.0002574,4.46
440,7.507974,16,0.0002634,4.48
450,7.59559,16,0.0002694,4.46
460,7.579792,16,0.0002754,4.47
470,7.665168,16,0.0002814,4.44
480,7.545857,16,0.0002874,4.44
490,7.628556,16,0.0002934,4.46
500,7.554402,16,0.0002994,4.42
510,7.594475,16,0.0003,16.39
520,7.591401,16,0.0003,4.45
530,7.612195,16,0.00029999,4.48
540,7.604084,16,0.00029999,4.42
550,7.572881,16,0.00029998,4.49
560,7.595008,16,0.00029997,4.4
570,7.582006,16,0.00029996,4.46
580,7.561021,16,0.00029995,4.46
590,7.572978,16,0.00029994,4.44
600,7.524608,16,0.00029992,4.4
610,7.671186,16,0.0002999,4.39
620,7.58606,16,0.00029988,4.47
630,7.563681,16,0.00029986,4.39
640,7.557984,16,0.00029984,4.52
650,7.586073,16,0.00029982,4.4
660,7.530163,16,0.00029979,4.48
670,7.602773,16,0.00029977,4.42
680,7.554409,16,0.00029974,4.46
690,7.565387,16,0.00029971,4.43
700,7.497337,16,0.00029968,4.41
710,7.552919,16,0.00029964,4.44
720,7.545182,16,0.00029961,4.41
730,7.628504,16,0.00029957,4.48
740,7.548229,16,0.00029953,4.41
750,7.593486,16,0.00029949,4.48
760,7.584694,16,0.00029945,4.39
770,7.586649,16,0.00029941,4.43
780,7.623477,16,0.00029936,4.46
790,7.553802,16,0.00029932,4.42
800,7.539364,16,0.00029927,4.47
810,7.513159,16,0.00029922,4.41
820,7.541984,16,0.00029917,4.53
830,7.539418,16,0.00029911,4.4
840,7.505974,16,0.00029906,4.49
850,7.557045,16,0.000299,4.42
860,7.572352,16,0.00029894,4.46
870,7.491053,16,0.00029888,4.43
880,7.589248,16,0.00029882,4.41
890,7.525547,16,0.00029876,4.48
900,7.58172,16,0.0002987,4.39
910,7.580347,16,0.00029863,4.46
920,7.539015,16,0.00029856,4.4
930,7.514272,16,0.00029849,4.5
940,7.551196,16,0.00029842,4.46
950,7.606447,16,0.00029835,4.45
960,7.548091,16,0.00029828,4.47
970,7.491422,16,0.0002982,4.44
980,7.60061,16,0.00029812,4.56
990,7.578334,16,0.00029804,4.39
1000,7.574353,16,0.00029796,4.47
1010,7.564568,16,0.00029788,15.85
1020,7.596084,16,0.0002978,4.49
1030,7.497448,16,0.00029771,4.39
1040,7.542165,16,0.00029762,4.52
1050,7.572765,16,0.00029753,4.43
1060,7.549078,16,0.00029744,4.48
1070,7.560569,16,0.00029735,4.46
1080,7.531377,16,0.00029726,4.43
