timestamp_utc,campaign_status,memory_free_pct,swapusage,processes_json
2026-07-18T20:20:17.885503+00:00,running,18,vm.swapusage: total = 3072.00M  used = 2635.12M  free = 436.88M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6928"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""9.4"",""rss_kib"":""33104"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
2026-07-18T20:21:17.950080+00:00,running,20,vm.swapusage: total = 3072.00M  used = 2618.25M  free = 453.75M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6928"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""10.1"",""rss_kib"":""33776"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
2026-07-18T20:22:18.179191+00:00,running,22,vm.swapusage: total = 3072.00M  used = 2683.50M  free = 388.50M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6928"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""22.4"",""rss_kib"":""379120"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
2026-07-18T20:23:18.362085+00:00,running,20,vm.swapusage: total = 3072.00M  used = 2624.94M  free = 447.06M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6848"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""16.3"",""rss_kib"":""366384"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
2026-07-18T20:24:18.470578+00:00,running,19,vm.swapusage: total = 3072.00M  used = 2604.75M  free = 467.25M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6864"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""22.4"",""rss_kib"":""366816"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
2026-07-18T20:25:18.679928+00:00,running,20,vm.swapusage: total = 3072.00M  used = 2619.38M  free = 452.62M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6864"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""18.9"",""rss_kib"":""366816"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
2026-07-18T20:26:18.895627+00:00,running,21,vm.swapusage: total = 3072.00M  used = 2659.88M  free = 412.12M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6864"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""14.8"",""rss_kib"":""365664"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
2026-07-18T20:27:19.043803+00:00,running,21,vm.swapusage: total = 3072.00M  used = 2603.88M  free = 468.12M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6864"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""15.0"",""rss_kib"":""369344"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
2026-07-18T20:28:19.268156+00:00,running,20,vm.swapusage: total = 3072.00M  used = 2599.12M  free = 472.88M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6864"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""21.2"",""rss_kib"":""369200"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
2026-07-18T20:29:19.344440+00:00,running,20,vm.swapusage: total = 3072.00M  used = 2601.62M  free = 470.38M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6864"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""19.6"",""rss_kib"":""368496"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
