step,train_loss,gradient_norm,q1_residual_rms,injected_noise_rms,bits_used,lr,elapsed_s
10,10.155275,8.264087,0.01710295,0.0,16,5.4e-06,4.85
20,9.556574,6.803095,0.017103,0.0,16,1.14e-05,4.8
30,9.11201,4.262587,0.01710316,0.0,16,1.74e-05,4.73
40,8.837799,4.255971,0.0171034,0.0,16,2.34e-05,4.77
50,8.701392,2.983032,0.01710364,0.0,16,2.94e-05,4.72
60,8.514654,2.859761,0.01710389,0.0,16,3.54e-05,4.8
70,8.41129,2.835865,0.01710408,0.0,16,4.14e-05,4.74
80,8.320847,2.229976,0.01710425,0.0,16,4.74e-05,4.79
90,8.194138,2.118288,0.01710441,0.0,16,5.34e-05,4.81
100,8.158161,2.156323,0.01710463,0.0,16,5.94e-05,5.1
110,8.032379,1.895111,0.01710488,0.0,16,6.54e-05,4.84
120,7.914852,1.866472,0.01710518,0.0,16,7.14e-05,4.87
130,7.799136,1.503585,0.01710559,0.0,16,7.74e-05,4.75
140,7.712116,1.434573,0.01710601,0.0,16,8.34e-05,4.79
150,7.648312,1.339135,0.01710648,0.0,16,8.94e-05,4.8
160,7.636648,1.320334,0.01710703,0.0,16,9.54e-05,4.83
170,7.605788,1.173189,0.01710769,0.0,16,0.0001014,4.77
180,7.53719,1.198012,0.0171084,0.0,16,0.0001074,4.8
190,7.600449,1.165719,0.01710922,0.0,16,0.0001134,4.76
200,7.55779,1.244259,0.01711004,0.0,16,0.0001194,4.8
210,7.558309,1.223692,0.01711094,0.0,16,0.0001254,4.75
220,7.517442,1.192046,0.01711192,0.0,16,0.0001314,4.83
230,7.644346,1.095524,0.01711305,0.0,16,0.0001374,4.79
240,7.57468,1.170864,0.01711428,0.0,16,0.0001434,4.76
250,7.568732,1.194173,0.01711553,0.0,16,0.0001494,4.79
260,7.650728,1.154808,0.01711704,0.0,16,0.0001554,4.77
270,7.545265,1.177223,0.01711853,0.0,16,0.0001614,4.79
280,7.610106,1.14753,0.01712023,0.0,16,0.0001674,4.73
290,7.590803,1.091963,0.01712222,0.0,16,0.0001734,4.82
300,7.576117,1.068723,0.01712438,0.0,16,0.0001794,4.73
310,7.580386,1.020827,0.01712654,0.0,16,0.0001854,4.81
320,7.615717,1.188342,0.0171289,0.0,16,0.0001914,4.78
330,7.646051,1.019581,0.0171312,0.0,16,0.0001974,4.92
340,7.578734,0.991486,0.01713381,0.0,16,0.0002034,4.73
350,7.595263,1.156731,0.01713688,0.0,16,0.0002094,4.82
360,7.547507,1.112511,0.01714017,0.0,16,0.0002154,4.74
370,7.615209,1.074309,0.01714362,0.0,16,0.0002214,4.85
380,7.602274,1.0601,0.01714696,0.0,16,0.0002274,4.81
390,7.595078,1.038909,0.01715056,0.0,16,0.0002334,4.8
400,7.533829,0.96016,0.01715422,0.0,16,0.0002394,4.74
410,7.648399,1.147588,0.01715857,0.0,16,0.0002454,4.75
420,7.639912,0.992683,0.0171634,0.0,16,0.0002514,4.74
430,7.624376,1.043099,0.01716841,0.0,16,0.0002574,4.77
440,7.628084,1.007388,0.01717332,0.0,16,0.0002634,4.75
450,7.58744,1.071869,0.01717844,0.0,16,0.0002694,4.75
460,7.585306,0.999477,0.01718372,0.0,16,0.0002754,4.78
470,7.580556,0.99497,0.01718945,0.0,16,0.0002814,4.76
480,7.62354,1.012463,0.01719556,0.0,16,0.0002874,4.81
490,7.581935,1.012328,0.01720212,0.0,16,0.0002934,4.8
500,7.644551,1.21915,0.01720859,0.0,16,0.0002994,4.83
510,7.543307,1.025606,0.01721511,0.0,16,0.0003,16.18
520,7.590731,1.085277,0.01722154,0.0,16,0.0003,4.78
530,7.585041,0.952431,0.01722738,0.0,16,0.00029999,4.73
540,7.630286,1.082281,0.01723294,0.0,16,0.00029999,4.79
550,7.56376,1.091007,0.01723911,0.0,16,0.00029998,4.73
560,7.586156,0.913853,0.01724586,0.0,16,0.00029997,4.82
570,7.653028,0.899611,0.01725339,0.0,16,0.00029996,4.8
580,7.626054,1.147773,0.01726045,0.0,16,0.00029995,4.82
590,7.565544,1.047055,0.01726784,0.0,16,0.00029994,4.76
600,7.581754,1.020422,0.01727462,0.0,16,0.00029992,4.83
610,7.645586,1.020328,0.01728229,0.0,16,0.0002999,4.76
620,7.557801,0.925462,0.01729006,0.0,16,0.00029988,4.93
