step,train_loss,gradient_norm,q1_residual_rms,injected_noise_rms,bits_used,lr,elapsed_s
10,10.235204,8.868774,0.01709996,0.0,1,5.4e-06,5.22
20,9.84524,8.208638,0.0171,0.0,1,1.14e-05,5.02
30,9.348688,5.809343,0.01710017,0.0,1,1.74e-05,5.01
40,9.031571,4.984354,0.01710052,0.0,1,2.34e-05,5.05
50,8.758167,3.799563,0.01710099,0.0,1,2.94e-05,5.06
60,8.624266,4.314307,0.0171015,0.0,1,3.54e-05,5.07
70,8.543382,3.811862,0.01710192,0.0,1,4.14e-05,5.04
80,8.408855,3.385159,0.01710229,0.0,1,4.74e-05,5.03
90,8.287129,2.994135,0.01710266,0.0,1,5.34e-05,5.14
100,8.151093,2.676364,0.01710305,0.0,1,5.94e-05,5.09
110,8.028243,2.412189,0.01710353,0.0,1,6.54e-05,5.09
120,7.864489,1.975833,0.01710405,0.0,1,7.14e-05,5.1
130,7.816571,2.050107,0.0171046,0.0,1,7.74e-05,5.1
140,7.771303,1.891292,0.01710524,0.0,1,8.34e-05,5.13
150,7.70515,1.661988,0.01710603,0.0,1,8.94e-05,5.03
160,7.590309,1.784583,0.0171068,0.0,1,9.54e-05,5.06
170,7.647499,1.777413,0.0171077,0.0,1,0.0001014,5.05
180,7.634336,1.610608,0.01710862,0.0,1,0.0001074,5.12
190,7.591722,1.518049,0.01710965,0.0,1,0.0001134,5.07
200,7.529346,1.438006,0.01711076,0.0,1,0.0001194,5.07
210,7.60367,1.353931,0.01711199,0.0,1,0.0001254,5.06
220,7.6478,1.352447,0.01711341,0.0,1,0.0001314,5.11
230,7.567506,1.260374,0.01711496,0.0,1,0.0001374,5.02
240,7.602582,1.223659,0.0171167,0.0,1,0.0001434,5.08
250,7.641532,1.402672,0.01711843,0.0,1,0.0001494,5.03
260,7.608437,1.162532,0.01712034,0.0,1,0.0001554,5.11
270,7.545131,1.229936,0.01712248,0.0,1,0.0001614,5.04
280,7.569408,1.332443,0.01712488,0.0,1,0.0001674,5.12
290,7.512542,1.257825,0.01712751,0.0,1,0.0001734,5.04
300,7.605396,1.231147,0.01713025,0.0,1,0.0001794,5.12
310,7.646394,1.215408,0.01713331,0.0,1,0.0001854,5.03
320,7.550031,1.238811,0.01713663,0.0,1,0.0001914,5.2
330,7.609931,1.263624,0.01713995,0.0,1,0.0001974,5.2
340,7.592085,1.090406,0.01714326,0.0,1,0.0002034,5.12
350,7.600782,1.163019,0.01714704,0.0,1,0.0002094,5.02
360,7.593855,1.265726,0.01715126,0.0,1,0.0002154,5.11
370,7.631517,1.148258,0.01715556,0.0,1,0.0002214,5.01
380,7.569918,1.087273,0.01716018,0.0,1,0.0002274,5.21
390,7.621881,1.072616,0.01716507,0.0,1,0.0002334,4.99
400,7.621697,1.141486,0.01717023,0.0,1,0.0002394,5.1
410,7.606114,0.951733,0.01717527,0.0,1,0.0002454,5.02
420,7.581662,1.151774,0.01718063,0.0,1,0.0002514,5.13
430,7.601124,1.062667,0.01718654,0.0,1,0.0002574,4.99
440,7.627425,1.016308,0.01719253,0.0,1,0.0002634,5.23
450,7.644614,1.167286,0.01719867,0.0,1,0.0002694,5.06
460,7.574277,1.029164,0.01720502,0.0,1,0.0002754,5.15
470,7.606904,0.97791,0.01721144,0.0,1,0.0002814,5.05
480,7.622522,1.054391,0.01721804,0.0,1,0.0002874,5.13
490,7.612794,0.996866,0.01722528,0.0,1,0.0002934,5.04
500,7.619856,1.023165,0.01723291,0.0,1,0.0002994,5.13
510,7.561532,0.944936,0.01724087,0.0,1,0.0003,19.11
520,7.573635,1.040011,0.01724882,0.0,1,0.0003,5.02
530,7.532187,1.007649,0.01725665,0.0,1,0.00029999,5.14
540,7.622005,1.008007,0.01726503,0.0,1,0.00029999,5.04
550,7.560157,0.957855,0.01727337,0.0,1,0.00029998,5.13
560,7.57725,0.884792,0.01728137,0.0,1,0.00029997,5.04
570,7.610867,1.07938,0.01728904,0.0,1,0.00029996,5.11
580,7.503968,0.948949,0.01729721,0.0,1,0.00029995,5.04
590,7.6186,1.061699,0.01730605,0.0,1,0.00029994,5.07
600,7.579338,1.012593,0.01731485,0.0,1,0.00029992,5.02
610,7.558674,0.961927,0.01732279,0.0,1,0.0002999,5.05
620,7.677499,1.043594,0.0173309,0.0,1,0.00029988,5.0
630,7.541515,0.961248,0.01733864,0.0,1,0.00029986,5.06
640,7.58827,1.011838,0.01734752,0.0,1,0.00029984,5.03
650,7.633399,0.927833,0.01735566,0.0,1,0.00029982,5.17
660,7.543091,0.958429,0.01736382,0.0,1,0.00029979,5.06
670,7.597531,0.892496,0.01737222,0.0,1,0.00029977,5.17
680,7.570313,0.910546,0.01738041,0.0,1,0.00029974,5.08
690,7.538052,0.987867,0.01738828,0.0,1,0.00029971,5.14
700,7.62161,0.995917,0.0173968,0.0,1,0.00029968,5.05
710,7.540271,0.951614,0.01740429,0.0,1,0.00029964,5.1
720,7.590592,0.930812,0.01741196,0.0,1,0.00029961,5.1
730,7.546398,0.957726,0.01742049,0.0,1,0.00029957,5.05
740,7.617528,0.933503,0.0174291,0.0,1,0.00029953,5.07
750,7.564598,0.882864,0.01743672,0.0,1,0.00029949,5.09
760,7.546574,1.001376,0.01744456,0.0,1,0.00029945,5.04
770,7.588468,0.90878,0.01745177,0.0,1,0.00029941,5.11
780,7.526318,0.903248,0.01745837,0.0,1,0.00029936,5.17
790,7.599466,0.922467,0.01746509,0.0,1,0.00029932,5.07
800,7.642727,0.939922,0.01747147,0.0,1,0.00029927,5.13
810,7.546737,0.951138,0.01747855,0.0,1,0.00029922,5.12
820,7.591128,1.006176,0.01748558,0.0,1,0.00029917,5.25
830,7.59318,0.922608,0.01749211,0.0,1,0.00029911,5.09
840,7.575115,1.040928,0.01749857,0.0,1,0.00029906,5.11
850,7.623725,0.97928,0.01750512,0.0,1,0.000299,5.07
860,7.535266,0.885753,0.01751145,0.0,1,0.00029894,5.33
870,7.609209,0.917777,0.0175186,0.0,1,0.00029888,5.1
880,7.51668,0.889131,0.01752503,0.0,1,0.00029882,5.27
890,7.599335,0.838972,0.01753308,0.0,1,0.00029876,5.13
900,7.5388,0.857519,0.01754054,0.0,1,0.0002987,5.26
910,7.55237,0.810404,0.01754593,0.0,1,0.00029863,5.03
920,7.528071,0.825691,0.01755121,0.0,1,0.00029856,5.14
930,7.563292,0.866443,0.01755778,0.0,1,0.00029849,5.09
940,7.530015,0.815829,0.01756432,0.0,1,0.00029842,5.11
950,7.589018,0.741684,0.01757161,0.0,1,0.00029835,5.05
960,7.553438,0.887393,0.01757798,0.0,1,0.00029828,5.11
970,7.497766,0.893802,0.01758301,0.0,1,0.0002982,5.02
980,7.491559,0.906642,0.0175892,0.0,1,0.00029812,5.07
990,7.526454,0.90309,0.0175962,0.0,1,0.00029804,5.02
1000,7.604713,0.949482,0.01760316,0.0,1,0.00029796,5.11
1010,7.568598,0.915044,0.01760924,0.0,1,0.00029788,19.18
1020,7.518096,0.91046,0.01761612,0.0,1,0.0002978,5.04
1030,7.566608,0.86086,0.01762241,0.0,1,0.00029771,5.21
1040,7.583455,0.840935,0.01762969,0.0,1,0.00029762,5.03
1050,7.607373,0.826437,0.01763582,0.0,1,0.00029753,5.1
1060,7.53286,0.937555,0.01764255,0.0,1,0.00029744,5.01
1070,7.464819,0.824747,0.01764767,0.0,1,0.00029735,5.09
1080,7.500645,0.780209,0.01765196,0.0,1,0.00029726,5.01
1090,7.534234,0.945859,0.01765719,0.0,1,0.00029716,5.14
1100,7.653971,0.924525,0.01766408,0.0,1,0.00029707,5.04
1110,7.536277,0.819028,0.01767069,0.0,1,0.00029697,5.14
1120,7.61692,0.867352,0.01767736,0.0,1,0.00029687,5.0
1130,7.561889,0.836502,0.01768394,0.0,1,0.00029677,5.05
1140,7.501161,0.939734,0.01769155,0.0,1,0.00029666,5.01
1150,7.506293,0.818951,0.01769939,0.0,1,0.00029656,5.17
1160,7.583421,0.797954,0.0177062,0.0,1,0.00029645,5.05
1170,7.558761,0.831736,0.0177127,0.0,1,0.00029634,5.11
1180,7.528067,0.802226,0.01771963,0.0,1,0.00029623,5.01
1190,7.59948,0.843592,0.01772623,0.0,1,0.00029612,5.11
1200,7.550597,0.81453,0.0177326,0.0,1,0.00029601,5.01
