step,train_loss,gradient_norm,q1_residual_rms,injected_noise_rms,bits_used,lr,elapsed_s
10,10.255684,8.396264,0.01710295,0.01710237,16,5.4e-06,5.62
20,10.013912,8.200625,0.01710296,0.01710386,16,1.14e-05,5.41
30,9.717644,7.078405,0.01710301,0.01710244,16,1.74e-05,5.44
40,9.341819,5.63939,0.01710314,0.0171048,16,2.34e-05,5.45
50,9.132605,4.540196,0.01710339,0.01710325,16,2.94e-05,5.4
60,8.889042,3.30839,0.01710373,0.01710444,16,3.54e-05,5.42
70,8.725885,2.770534,0.01710417,0.0171034,16,4.14e-05,5.45
80,8.60306,2.389474,0.0171047,0.0171045,16,4.74e-05,5.47
90,8.439027,2.105552,0.01710532,0.01710415,16,5.34e-05,5.4
100,8.380065,2.039533,0.01710598,0.01710527,16,5.94e-05,5.47
110,8.24613,1.998983,0.0171067,0.01710749,16,6.54e-05,5.38
120,8.076574,1.605998,0.01710755,0.01711006,16,7.14e-05,5.42
130,7.948126,1.478738,0.01710844,0.01710957,16,7.74e-05,5.47
140,7.832532,1.431457,0.01710943,0.01710945,16,8.34e-05,5.39
150,7.740185,1.365261,0.01711047,0.01711145,16,8.94e-05,5.4
160,7.687433,1.245471,0.01711156,0.01711239,16,9.54e-05,5.38
170,7.648379,1.235999,0.01711274,0.01711227,16,0.0001014,5.46
180,7.561527,1.172339,0.01711395,0.01711302,16,0.0001074,5.38
190,7.611206,1.099737,0.0171152,0.0171144,16,0.0001134,5.41
200,7.561994,1.161732,0.01711648,0.01711563,16,0.0001194,5.37
210,7.568439,1.251492,0.01711786,0.01711963,16,0.0001254,5.47
220,7.521515,1.234433,0.01711937,0.01711898,16,0.0001314,5.36
230,7.651197,1.140639,0.017121,0.01712153,16,0.0001374,5.39
240,7.566195,1.121179,0.0171228,0.017123,16,0.0001434,5.37
250,7.564405,1.200217,0.01712463,0.01712331,16,0.0001494,5.41
260,7.654837,1.203336,0.01712667,0.01712652,16,0.0001554,5.39
270,7.544194,1.226999,0.01712887,0.01712863,16,0.0001614,5.39
280,7.608746,1.175314,0.01713129,0.01713127,16,0.0001674,5.42
290,7.585897,1.03805,0.01713384,0.01713243,16,0.0001734,5.47
300,7.57474,1.055923,0.01713665,0.01713587,16,0.0001794,5.41
310,7.583078,1.034673,0.01713966,0.01714087,16,0.0001854,5.41
320,7.615429,1.212899,0.01714283,0.01714369,16,0.0001914,5.57
330,7.644605,1.055818,0.017146,0.01714488,16,0.0001974,5.47
340,7.580788,0.985763,0.01714934,0.01714921,16,0.0002034,5.48
350,7.5932,1.166502,0.01715297,0.01715354,16,0.0002094,6.12
360,7.544209,1.111867,0.01715679,0.01715698,16,0.0002154,5.61
370,7.615598,1.09472,0.01716081,0.01716087,16,0.0002214,5.42
380,7.601054,1.056628,0.01716499,0.01716365,16,0.0002274,5.39
390,7.593114,1.02492,0.01716927,0.0171696,16,0.0002334,5.41
400,7.536772,0.971945,0.01717355,0.01717361,16,0.0002394,5.39
410,7.649484,1.187366,0.01717854,0.01717722,16,0.0002454,5.49
420,7.638333,1.005503,0.01718386,0.01718312,16,0.0002514,5.44
430,7.625607,1.048705,0.01718953,0.01718929,16,0.0002574,5.66
440,7.630771,1.011355,0.01719526,0.01719453,16,0.0002634,5.39
450,7.586869,1.058178,0.01720115,0.01719987,16,0.0002694,5.45
460,7.589078,0.994209,0.01720732,0.01720799,16,0.0002754,5.39
470,7.584235,1.006238,0.01721389,0.01721205,16,0.0002814,5.39
480,7.624331,1.006536,0.01722085,0.01721845,16,0.0002874,5.4
490,7.585682,1.015427,0.01722798,0.01722737,16,0.0002934,5.39
500,7.649178,1.240198,0.0172354,0.01723363,16,0.0002994,5.41
510,7.545396,1.019468,0.01724287,0.01724129,16,0.0003,16.78
520,7.597011,1.102471,0.01725021,0.01724821,16,0.0003,5.41
530,7.589791,0.966318,0.01725743,0.01725613,16,0.00029999,5.34
540,7.633084,1.097775,0.01726467,0.01726464,16,0.00029999,5.45
550,7.566631,1.089117,0.01727207,0.01727055,16,0.00029998,5.36
560,7.59107,0.930302,0.01727962,0.01727813,16,0.00029997,5.38
570,7.657365,0.899958,0.01728766,0.01728636,16,0.00029996,5.37
580,7.629212,1.151879,0.01729548,0.01729412,16,0.00029995,5.35
590,7.56855,1.036175,0.01730329,0.01730053,16,0.00029994,5.39
600,7.585425,1.044845,0.01731096,0.01731179,16,0.00029992,5.44
610,7.650932,1.038558,0.01731916,0.01731875,16,0.0002999,5.49
620,7.562867,0.942684,0.01732684,0.01732425,16,0.00029988,5.38
630,7.609949,0.934787,0.0173347,0.01733374,16,0.00029986,5.52
640,7.623421,1.030776,0.01734288,0.01734303,16,0.00029984,5.4
650,7.621671,0.954995,0.0173506,0.01734867,16,0.00029982,5.37
660,7.634162,0.964854,0.01735797,0.01735808,16,0.00029979,5.4
670,7.60765,1.062433,0.01736552,0.01736574,16,0.00029977,5.44
680,7.6302,0.926261,0.01737339,0.01737156,16,0.00029974,5.4
690,7.613894,0.83388,0.01738161,0.01738143,16,0.00029971,5.38
700,7.581613,0.947722,0.01738915,0.01738906,16,0.00029968,5.45
710,7.552717,0.911709,0.01739668,0.01739604,16,0.00029964,5.43
720,7.571452,0.89928,0.01740441,0.01740418,16,0.00029961,5.43
730,7.576937,0.832623,0.01741211,0.01741217,16,0.00029957,5.39
740,7.565378,0.992917,0.01741969,0.01741773,16,0.00029953,5.45
750,7.578754,0.979819,0.01742682,0.01742428,16,0.00029949,5.42
760,7.631584,0.871603,0.01743438,0.01743347,16,0.00029945,5.47
770,7.674338,0.842465,0.01744195,0.01744208,16,0.00029941,5.4
780,7.609428,0.938562,0.01744943,0.01744869,16,0.00029936,5.45
790,7.614951,1.021332,0.01745719,0.01745731,16,0.00029932,5.47
800,7.550232,0.941676,0.01746517,0.01746568,16,0.00029927,5.45
810,7.565527,0.924121,0.01747319,0.01747138,16,0.00029922,5.46
820,7.581303,0.901277,0.01748035,0.01747842,16,0.00029917,5.41
830,7.574052,0.938138,0.01748763,0.01748628,16,0.00029911,5.4
840,7.536625,0.902286,0.01749483,0.01749577,16,0.00029906,5.38
850,7.535255,0.852553,0.01750176,0.01750083,16,0.000299,5.46
860,7.592579,1.002793,0.01750902,0.01750775,16,0.00029894,5.33
870,7.555652,0.788376,0.01751636,0.01751481,16,0.00029888,5.51
880,7.582189,0.835464,0.01752312,0.01752219,16,0.00029882,5.47
890,7.5551,0.856475,0.01753001,0.0175317,16,0.00029876,5.47
900,7.593682,0.838367,0.01753714,0.01753562,16,0.0002987,5.62
910,7.580068,0.840364,0.01754437,0.01754514,16,0.00029863,5.46
920,7.555931,0.887199,0.01755197,0.01755283,16,0.00029856,5.41
930,7.53415,0.794712,0.01755913,0.0175583,16,0.00029849,5.38
940,7.527219,0.825061,0.01756529,0.01756498,16,0.00029842,5.4
950,7.4957,0.864301,0.01757154,0.01757043,16,0.00029835,5.48
960,7.566344,0.963597,0.01757824,0.01757733,16,0.00029828,5.64
970,7.526852,0.90622,0.01758542,0.01758601,16,0.0002982,5.36
980,7.582787,0.878834,0.01759275,0.01759303,16,0.00029812,5.45
990,7.600383,0.800439,0.01759994,0.01759837,16,0.00029804,5.4
1000,7.468128,0.823374,0.0176066,0.01760672,16,0.00029796,5.44
1010,7.553579,0.854291,0.01761336,0.01761211,16,0.00029788,16.73
1020,7.500424,0.963059,0.01762006,0.01761982,16,0.0002978,5.43
1030,7.478266,0.88556,0.01762676,0.01762673,16,0.00029771,5.39
1040,7.666828,0.871231,0.01763391,0.01763161,16,0.00029762,5.39
1050,7.652132,0.866821,0.01764157,0.01764083,16,0.00029753,5.46
1060,7.563018,0.835802,0.01764893,0.01764743,16,0.00029744,5.35
1070,7.543725,0.839884,0.01765619,0.01765581,16,0.00029735,5.4
1080,7.596196,0.765569,0.01766295,0.0176622,16,0.00029726,5.37
1090,7.565118,0.836876,0.01766903,0.01766743,16,0.00029716,5.41
1100,7.545642,0.753968,0.01767521,0.01767402,16,0.00029707,5.35
1110,7.617587,0.935128,0.01768155,0.01767937,16,0.00029697,5.37
1120,7.496994,0.820756,0.01768826,0.01768645,16,0.00029687,5.4
1130,7.473932,0.853883,0.01769543,0.01769406,16,0.00029677,5.45
1140,7.526705,0.818094,0.01770218,0.0177019,16,0.00029666,5.48
1150,7.61174,0.838885,0.01770896,0.01770903,16,0.00029656,5.44
1160,7.513606,0.792245,0.01771545,0.01771616,16,0.00029645,5.48
1170,7.523603,0.808044,0.01772228,0.01772166,16,0.00029634,5.34
1180,7.498145,0.863463,0.01772879,0.01772985,16,0.00029623,5.47
1190,7.54872,0.769208,0.01773553,0.01773555,16,0.00029612,5.34
1200,7.563157,0.778007,0.01774217,0.01774163,16,0.00029601,5.45
1210,7.538522,0.809952,0.01774834,0.01774617,16,0.0002959,5.41
1220,7.586247,0.793113,0.01775472,0.0177551,16,0.00029578,5.44
1230,7.564281,0.806731,0.01776126,0.01775863,16,0.00029566,5.41
1240,7.518485,0.792905,0.01776764,0.01776777,16,0.00029554,5.44
1250,7.568916,0.827183,0.01777452,0.01777364,16,0.00029542,5.39
1260,7.567474,0.736976,0.01778057,0.01778086,16,0.0002953,5.49
1270,7.465572,0.790114,0.01778665,0.01778525,16,0.00029518,5.5
1280,7.580828,0.791421,0.01779324,0.01779214,16,0.00029505,5.38
1290,7.569284,0.773467,0.01780008,0.01779925,16,0.00029492,5.53
1300,7.587561,0.78817,0.01780698,0.01780602,16,0.00029479,5.35
1310,7.553828,0.765828,0.01781357,0.01781143,16,0.00029466,5.51
1320,7.488495,0.774816,0.01782009,0.01781963,16,0.00029453,5.39
1330,7.563099,0.762317,0.01782614,0.0178253,16,0.0002944,5.49
1340,7.607166,0.81746,0.01783224,0.01783159,16,0.00029426,5.5
1350,7.610921,0.726226,0.01783814,0.01783812,16,0.00029413,5.43
1360,7.563479,0.794629,0.01784437,0.01784325,16,0.00029399,5.42
1370,7.578641,0.718833,0.01785067,0.01785047,16,0.00029385,5.4
1380,7.504232,0.715687,0.01785685,0.01785545,16,0.00029371,5.49
1390,7.518703,0.813287,0.01786334,0.01786311,16,0.00029356,5.33
1400,7.489128,0.754757,0.01786957,0.01787002,16,0.00029342,5.47
1410,7.492755,0.680304,0.01787543,0.01787449,16,0.00029327,5.42
1420,7.548198,0.72136,0.01788081,0.01788069,16,0.00029313,5.53
1430,7.498033,0.699695,0.01788699,0.01788669,16,0.00029298,5.37
1440,7.500776,0.712561,0.01789328,0.01789275,16,0.00029283,5.49
1450,7.509398,0.753214,0.01789913,0.01789902,16,0.00029267,5.48
1460,7.501135,0.872311,0.01790576,0.01790543,16,0.00029252,5.44
1470,7.552373,0.6716,0.01791227,0.01790984,16,0.00029236,5.41
1480,7.587777,0.729696,0.01791807,0.01791594,16,0.00029221,5.41
1490,7.559101,0.728442,0.01792457,0.01792457,16,0.00029205,5.56
1500,7.566312,0.67243,0.01793138,0.01793095,16,0.00029189,5.43
1510,7.498663,0.704779,0.0179379,0.01793625,16,0.00029173,16.68
1520,7.442725,0.723801,0.01794427,0.01794346,16,0.00029156,5.34
1530,7.541186,0.703265,0.01795059,0.01795166,16,0.0002914,5.39
1540,7.502518,0.669056,0.01795668,0.01795664,16,0.00029123,5.39
1550,7.481091,0.68392,0.01796261,0.01796177,16,0.00029106,5.44
1560,7.541844,0.712131,0.01796857,0.01796752,16,0.0002909,5.42
1570,7.49567,0.716823,0.01797367,0.01797409,16,0.00029072,5.36
