step,train_loss,gradient_norm,q1_residual_rms,injected_noise_rms,bits_used,lr,elapsed_s
10,10.247968,8.394977,0.01710295,0.01710259,16,5.4e-06,5.67
20,10.011138,8.33801,0.01710296,0.01710367,16,1.14e-05,5.29
30,9.720222,7.113531,0.01710302,0.01710294,16,1.74e-05,5.37
40,9.335908,5.573851,0.01710315,0.01710461,16,2.34e-05,5.26
50,9.127936,4.558029,0.01710339,0.01710331,16,2.94e-05,5.35
60,8.891793,3.392288,0.01710373,0.01710433,16,3.54e-05,5.29
70,8.729253,2.859839,0.01710417,0.01710316,16,4.14e-05,5.34
80,8.603595,2.345502,0.01710471,0.01710407,16,4.74e-05,5.3
90,8.440521,2.089657,0.01710533,0.01710487,16,5.34e-05,5.36
100,8.379215,2.02854,0.01710599,0.0171058,16,5.94e-05,5.42
110,8.244847,2.042159,0.01710672,0.01710721,16,6.54e-05,5.37
120,8.072366,1.579424,0.01710758,0.01710871,16,7.14e-05,5.34
130,7.948155,1.478701,0.01710847,0.01710916,16,7.74e-05,5.33
140,7.830487,1.410365,0.01710946,0.01710958,16,8.34e-05,5.37
150,7.736788,1.330964,0.01711051,0.01711133,16,8.94e-05,5.32
160,7.686864,1.260652,0.01711161,0.01711192,16,9.54e-05,5.41
170,7.647413,1.222337,0.01711279,0.017112,16,0.0001014,5.3
180,7.561112,1.180542,0.017114,0.01711349,16,0.0001074,5.34
190,7.610813,1.093264,0.01711526,0.01711466,16,0.0001134,5.34
200,7.560604,1.149515,0.01711655,0.01711582,16,0.0001194,5.33
210,7.567028,1.221478,0.01711791,0.01711886,16,0.0001254,5.34
220,7.520198,1.206402,0.01711942,0.01711911,16,0.0001314,5.43
230,7.650415,1.120351,0.01712106,0.01712181,16,0.0001374,5.32
240,7.565472,1.110722,0.01712285,0.01712356,16,0.0001434,5.36
250,7.564496,1.195593,0.01712466,0.01712373,16,0.0001494,5.38
260,7.655612,1.203905,0.01712669,0.01712656,16,0.0001554,5.37
270,7.544101,1.210379,0.01712892,0.01712885,16,0.0001614,5.39
280,7.607733,1.166081,0.01713133,0.01713041,16,0.0001674,5.33
290,7.586709,1.041499,0.01713387,0.01713327,16,0.0001734,5.53
300,7.574101,1.055368,0.01713667,0.01713607,16,0.0001794,5.3
310,7.583137,1.03801,0.01713968,0.01714075,16,0.0001854,5.43
320,7.6148,1.202987,0.01714284,0.01714337,16,0.0001914,5.34
330,7.644391,1.052476,0.01714599,0.01714484,16,0.0001974,5.43
340,7.58048,0.982121,0.01714932,0.01714875,16,0.0002034,5.36
350,7.59312,1.172316,0.01715297,0.01715278,16,0.0002094,5.43
360,7.544309,1.115744,0.01715681,0.01715675,16,0.0002154,5.34
370,7.614951,1.092854,0.01716085,0.01716062,16,0.0002214,5.34
380,7.600566,1.052664,0.01716505,0.01716454,16,0.0002274,5.35
390,7.593423,1.025948,0.01716933,0.01716969,16,0.0002334,5.33
400,7.537302,0.973759,0.01717362,0.01717276,16,0.0002394,5.36
410,7.649235,1.183177,0.01717859,0.017178,16,0.0002454,5.33
420,7.638856,1.007297,0.0171839,0.01718273,16,0.0002514,5.45
430,7.625937,1.051675,0.01718953,0.01718896,16,0.0002574,5.33
440,7.631414,1.017674,0.01719523,0.01719482,16,0.0002634,5.41
450,7.587032,1.059607,0.01720113,0.01720053,16,0.0002694,5.26
460,7.588718,0.991068,0.01720731,0.01720771,16,0.0002754,5.41
470,7.584146,1.006582,0.01721391,0.01721255,16,0.0002814,5.36
480,7.624616,1.005747,0.01722085,0.01721897,16,0.0002874,5.49
490,7.586754,1.018555,0.017228,0.01722756,16,0.0002934,5.37
500,7.649417,1.233641,0.0172354,0.01723411,16,0.0002994,5.41
510,7.546114,1.019162,0.01724285,0.01724161,16,0.0003,16.75
520,7.597273,1.100573,0.01725024,0.01724867,16,0.0003,5.36
530,7.589749,0.963667,0.01725746,0.01725632,16,0.00029999,5.48
540,7.633138,1.09402,0.01726471,0.01726432,16,0.00029999,5.32
550,7.566789,1.0897,0.01727212,0.01727118,16,0.00029998,5.37
560,7.591397,0.930358,0.01727968,0.01727811,16,0.00029997,5.32
570,7.657648,0.903169,0.01728775,0.01728669,16,0.00029996,5.43
580,7.629581,1.154087,0.01729556,0.01729453,16,0.00029995,5.3
590,7.568493,1.037887,0.01730343,0.01730119,16,0.00029994,5.41
600,7.58601,1.046909,0.01731109,0.0173112,16,0.00029992,5.34
610,7.651676,1.046216,0.01731937,0.01731904,16,0.0002999,5.36
620,7.563076,0.946061,0.01732714,0.01732578,16,0.00029988,5.36
630,7.609834,0.933225,0.01733504,0.01733432,16,0.00029986,5.42
640,7.622761,1.028332,0.01734324,0.01734249,16,0.00029984,5.44
650,7.621566,0.957592,0.01735092,0.01734958,16,0.00029982,5.33
660,7.634247,0.966567,0.01735825,0.01735802,16,0.00029979,5.41
670,7.607448,1.063823,0.0173658,0.01736597,16,0.00029977,5.35
680,7.629531,0.924413,0.01737369,0.0173723,16,0.00029974,5.44
690,7.61369,0.831935,0.01738192,0.01738174,16,0.00029971,5.35
700,7.581497,0.949494,0.01738943,0.01738917,16,0.00029968,5.41
710,7.552539,0.914785,0.01739698,0.01739611,16,0.00029964,5.33
720,7.570896,0.896062,0.01740474,0.01740363,16,0.00029961,5.41
730,7.576749,0.834143,0.01741246,0.01741189,16,0.00029957,5.35
740,7.564768,0.993139,0.01742008,0.01741884,16,0.00029953,5.43
750,7.578503,0.980146,0.01742729,0.0174252,16,0.00029949,5.39
760,7.631315,0.870235,0.01743491,0.01743477,16,0.00029945,5.38
770,7.673865,0.842853,0.01744241,0.01744207,16,0.00029941,5.41
780,7.608522,0.934864,0.01744987,0.01744939,16,0.00029936,5.35
790,7.613896,1.016623,0.0174577,0.01745783,16,0.00029932,5.39
800,7.549621,0.939831,0.01746579,0.01746538,16,0.00029927,5.3
810,7.565247,0.922648,0.01747392,0.01747278,16,0.00029922,5.46
820,7.581354,0.904858,0.01748116,0.01747996,16,0.00029917,5.36
830,7.57393,0.938766,0.01748859,0.01748757,16,0.00029911,5.42
840,7.53633,0.902669,0.01749589,0.01749559,16,0.00029906,5.41
850,7.534631,0.852105,0.01750297,0.01750281,16,0.000299,5.47
860,7.592003,1.001588,0.01751035,0.01750921,16,0.00029894,5.38
870,7.555484,0.789261,0.01751773,0.01751645,16,0.00029888,5.42
880,7.58234,0.838327,0.01752458,0.01752335,16,0.00029882,5.35
890,7.554945,0.857193,0.01753167,0.01753224,16,0.00029876,5.35
900,7.593891,0.838388,0.01753902,0.01753794,16,0.0002987,5.41
910,7.580067,0.839455,0.01754645,0.0175468,16,0.00029863,5.29
920,7.556066,0.887841,0.01755415,0.01755437,16,0.00029856,5.42
