timestamp_utc,campaign_status,memory_free_percent,swap_used_mb
2026-07-19T06:07:45.384504+00:00,running,19,2257.44
2026-07-19T06:08:45.495792+00:00,running,19,2310.19
2026-07-19T06:09:45.614560+00:00,running,22,2343.56
2026-07-19T06:10:45.739276+00:00,running,22,2335.56
2026-07-19T06:11:45.939471+00:00,running,20,2449.62
2026-07-19T06:12:46.002975+00:00,running,20,2433.62
2026-07-19T06:13:46.158100+00:00,running,23,2409.62
2026-07-19T06:14:46.328551+00:00,running,22,2393.62
2026-07-19T06:15:46.386372+00:00,running,21,2377.62
2026-07-19T06:16:46.564199+00:00,running,21,2369.62
2026-07-19T06:17:46.744684+00:00,running,22,2374.56
2026-07-19T06:18:46.809661+00:00,running,21,2366.56
2026-07-19T06:19:46.869232+00:00,running,21,2350.56
2026-07-19T06:20:46.911077+00:00,running,21,2342.56
2026-07-19T06:21:46.935497+00:00,running,20,2342.56
2026-07-19T06:22:47.107076+00:00,running,20,2317.56
2026-07-19T06:23:47.182613+00:00,running,20,2317.56
2026-07-19T06:24:47.264200+00:00,running,20,2316.38
2026-07-19T06:25:47.411232+00:00,running,20,2316.38
2026-07-19T06:26:47.516557+00:00,running,21,2337.06
2026-07-19T06:27:47.686223+00:00,running,21,2329.06
2026-07-19T06:28:47.827575+00:00,running,20,2341.69
2026-07-19T06:29:47.922317+00:00,running,21,2333.69
2026-07-19T06:30:48.067918+00:00,running,20,2342.06
2026-07-19T06:31:48.117421+00:00,running,19,2302.06
2026-07-19T06:32:48.223120+00:00,running,20,2337.81
2026-07-19T06:33:48.262764+00:00,running,19,2321.81
2026-07-19T06:34:48.321431+00:00,running,21,2370.88
2026-07-19T06:35:48.507929+00:00,running,19,2333.56
2026-07-19T06:36:48.626368+00:00,running,19,2285.56
2026-07-19T06:37:48.820219+00:00,running,19,2277.94
2026-07-19T06:38:48.993966+00:00,running,20,2268.62
2026-07-19T06:39:49.158471+00:00,running,19,2244.62
2026-07-19T06:40:49.355233+00:00,running,18,2238.69
2026-07-19T06:41:49.411975+00:00,running,18,2250.56
2026-07-19T06:42:49.558899+00:00,running,22,2278.19
2026-07-19T06:43:49.736601+00:00,running,20,2262.19
2026-07-19T06:44:49.916967+00:00,running,19,2238.19
2026-07-19T06:45:50.013324+00:00,running,18,2244.88
2026-07-19T06:46:50.183347+00:00,running,20,2258.56
2026-07-19T06:47:50.238390+00:00,running,20,2276.12
2026-07-19T06:48:50.415913+00:00,running,19,2268.12
2026-07-19T06:49:50.529381+00:00,running,19,2259.0
2026-07-19T06:50:50.581126+00:00,running,20,2292.06
2026-07-19T06:51:50.682761+00:00,running,21,2284.06
2026-07-19T06:52:50.861088+00:00,running,21,2276.06
2026-07-19T06:53:51.041005+00:00,running,18,2295.88
2026-07-19T06:54:51.203800+00:00,running,18,2285.38
2026-07-19T06:55:51.425486+00:00,running,19,2269.62
2026-07-19T06:56:51.498057+00:00,running,17,2290.75
2026-07-19T06:57:51.675597+00:00,running,19,2259.06
2026-07-19T06:58:51.770581+00:00,running,19,2288.81
2026-07-19T06:59:51.922729+00:00,running,21,2268.25
2026-07-19T07:00:52.063333+00:00,running,19,2216.69
2026-07-19T07:01:52.200323+00:00,running,20,2239.56
2026-07-19T07:02:52.232326+00:00,running,18,2240.69
2026-07-19T07:03:52.480207+00:00,running,22,2281.5
2026-07-19T07:04:52.513446+00:00,running,21,2288.12
2026-07-19T07:05:52.619886+00:00,running,20,2327.25
2026-07-19T07:06:52.867713+00:00,running,19,2333.06
2026-07-19T07:07:52.942717+00:00,running,19,2475.31
2026-07-19T07:08:53.114064+00:00,running,20,2419.56
2026-07-19T07:09:53.272742+00:00,running,21,2379.56
2026-07-19T07:10:53.464736+00:00,running,21,2355.56
