step,train_loss,gradient_norm,q1_residual_rms,injected_noise_rms,bits_used,lr,elapsed_s
10,10.153801,8.250159,0.01710138,0.0,16,5.4e-06,5.13
20,9.614021,6.666481,0.01710142,0.0,16,1.14e-05,4.91
30,9.044913,4.411848,0.01710158,0.0,16,1.74e-05,4.81
40,8.738192,3.711225,0.01710184,0.0,16,2.34e-05,4.88
50,8.580093,3.190018,0.01710213,0.0,16,2.94e-05,4.89
60,8.502129,2.801306,0.0171024,0.0,16,3.54e-05,4.84
70,8.395073,2.743746,0.01710263,0.0,16,4.14e-05,4.82
80,8.282839,2.281283,0.01710279,0.0,16,4.74e-05,4.89
90,8.186646,2.119629,0.01710296,0.0,16,5.34e-05,5.16
100,8.040514,1.927634,0.01710314,0.0,16,5.94e-05,4.87
110,8.010058,1.895798,0.01710336,0.0,16,6.54e-05,4.85
120,7.869041,1.6233,0.01710365,0.0,16,7.14e-05,4.89
130,7.776266,1.545167,0.01710396,0.0,16,7.74e-05,4.92
140,7.685497,1.603407,0.01710433,0.0,16,8.34e-05,5.16
150,7.658996,1.41428,0.01710473,0.0,16,8.94e-05,4.96
160,7.583546,1.402336,0.01710524,0.0,16,9.54e-05,4.89
170,7.570505,1.272295,0.01710583,0.0,16,0.0001014,4.84
180,7.575463,1.240395,0.01710651,0.0,16,0.0001074,4.86
190,7.561928,1.239848,0.01710724,0.0,16,0.0001134,4.96
200,7.616169,1.243687,0.0171081,0.0,16,0.0001194,4.9
210,7.564027,1.190959,0.01710913,0.0,16,0.0001254,4.86
220,7.626522,1.095814,0.01711031,0.0,16,0.0001314,4.9
230,7.541295,1.061147,0.01711147,0.0,16,0.0001374,4.82
240,7.608083,1.149815,0.01711267,0.0,16,0.0001434,4.9
250,7.579985,1.100651,0.01711392,0.0,16,0.0001494,4.84
260,7.649569,1.102931,0.01711535,0.0,16,0.0001554,4.91
270,7.618074,1.173088,0.01711695,0.0,16,0.0001614,4.78
280,7.548623,1.089704,0.01711874,0.0,16,0.0001674,4.83
290,7.594965,1.037603,0.01712047,0.0,16,0.0001734,4.78
