step,train_loss,gradient_norm,q1_residual_rms,injected_noise_rms,bits_used,lr,elapsed_s
10,10.174112,9.138636,0.01710457,0.0,1,5.4e-06,5.25
20,9.766674,7.744278,0.01710462,0.0,1,1.14e-05,5.12
30,9.250386,5.296159,0.01710483,0.0,1,1.74e-05,5.12
40,8.882506,4.053697,0.01710525,0.0,1,2.34e-05,5.09
50,8.706106,3.613877,0.01710577,0.0,1,2.94e-05,5.24
60,8.522433,3.253866,0.01710633,0.0,1,3.54e-05,5.12
70,8.345955,3.160362,0.01710686,0.0,1,4.14e-05,5.13
80,8.302543,3.22519,0.01710732,0.0,1,4.74e-05,5.05
90,8.186652,3.028484,0.01710773,0.0,1,5.34e-05,5.17
100,8.114426,2.563256,0.01710816,0.0,1,5.94e-05,5.06
110,7.94334,2.534568,0.01710859,0.0,1,6.54e-05,5.15
120,7.882843,2.160139,0.01710909,0.0,1,7.14e-05,5.06
130,7.828268,1.83002,0.01710969,0.0,1,7.74e-05,5.41
140,7.765697,1.975568,0.01711035,0.0,1,8.34e-05,5.07
150,7.66864,1.730791,0.01711115,0.0,1,8.94e-05,5.25
160,7.649557,1.429016,0.01711203,0.0,1,9.54e-05,5.06
170,7.599292,1.560142,0.01711292,0.0,1,0.0001014,5.2
180,7.604336,1.881455,0.01711384,0.0,1,0.0001074,5.09
190,7.549024,1.431145,0.01711482,0.0,1,0.0001134,5.1
200,7.531283,1.378178,0.01711594,0.0,1,0.0001194,5.08
210,7.577503,1.36502,0.01711722,0.0,1,0.0001254,5.14
220,7.65079,1.364421,0.01711863,0.0,1,0.0001314,5.08
230,7.647312,1.496626,0.01712015,0.0,1,0.0001374,5.11
240,7.559541,1.361624,0.01712184,0.0,1,0.0001434,5.08
250,7.587229,1.263648,0.01712357,0.0,1,0.0001494,5.21
260,7.559001,1.272868,0.01712549,0.0,1,0.0001554,5.11
270,7.561199,1.171622,0.01712738,0.0,1,0.0001614,5.19
280,7.594845,1.133062,0.01712942,0.0,1,0.0001674,5.13
290,7.617247,1.214156,0.01713197,0.0,1,0.0001734,5.19
300,7.577993,1.10945,0.0171348,0.0,1,0.0001794,5.17
310,7.54465,1.183282,0.01713756,0.0,1,0.0001854,5.13
320,7.575273,1.255662,0.01714057,0.0,1,0.0001914,5.15
330,7.579079,1.133849,0.01714357,0.0,1,0.0001974,5.06
340,7.587957,1.197084,0.01714693,0.0,1,0.0002034,5.09
350,7.665718,1.109398,0.01715089,0.0,1,0.0002094,5.1
360,7.621923,1.099048,0.0171552,0.0,1,0.0002154,5.11
370,7.625175,1.064845,0.01715964,0.0,1,0.0002214,5.15
380,7.60097,1.076817,0.01716402,0.0,1,0.0002274,5.18
390,7.66022,1.16698,0.01716849,0.0,1,0.0002334,5.1
400,7.607752,1.105923,0.01717317,0.0,1,0.0002394,5.13
410,7.560296,1.130337,0.01717847,0.0,1,0.0002454,5.1
420,7.589353,1.035262,0.01718353,0.0,1,0.0002514,5.14
430,7.634447,1.137704,0.01718907,0.0,1,0.0002574,5.15
440,7.590385,1.064467,0.01719482,0.0,1,0.0002634,5.14
450,7.56871,1.013203,0.01720057,0.0,1,0.0002694,5.1
460,7.679702,1.155628,0.01720693,0.0,1,0.0002754,5.33
470,7.557358,1.072866,0.01721331,0.0,1,0.0002814,5.11
480,7.646322,1.052213,0.0172205,0.0,1,0.0002874,5.27
490,7.591679,1.052548,0.01722828,0.0,1,0.0002934,5.04
500,7.605701,1.044716,0.01723655,0.0,1,0.0002994,5.19
510,7.678458,0.991315,0.01724434,0.0,1,0.0003,19.34
520,7.608759,1.056627,0.01725176,0.0,1,0.0003,5.08
530,7.648358,1.011684,0.0172592,0.0,1,0.00029999,5.26
540,7.563624,1.133291,0.01726652,0.0,1,0.00029999,5.11
550,7.592267,0.968047,0.01727356,0.0,1,0.00029998,5.16
560,7.627407,1.053269,0.0172811,0.0,1,0.00029997,5.07
570,7.594476,0.97663,0.01728845,0.0,1,0.00029996,5.19
580,7.619543,0.925537,0.01729585,0.0,1,0.00029995,5.08
590,7.610831,0.936897,0.01730281,0.0,1,0.00029994,5.21
600,7.586483,1.029041,0.01731019,0.0,1,0.00029992,5.06
610,7.598426,0.986904,0.01731755,0.0,1,0.0002999,5.22
620,7.553081,0.978904,0.0173241,0.0,1,0.00029988,5.11
630,7.629852,0.975118,0.01733101,0.0,1,0.00029986,5.12
640,7.600191,0.93247,0.01733855,0.0,1,0.00029984,5.1
650,7.574411,0.936324,0.01734628,0.0,1,0.00029982,5.15
660,7.603264,0.917991,0.01735361,0.0,1,0.00029979,5.15
670,7.552571,0.988394,0.01736155,0.0,1,0.00029977,5.16
680,7.545675,0.884706,0.01736934,0.0,1,0.00029974,5.09
690,7.593879,0.959444,0.01737625,0.0,1,0.00029971,5.34
700,7.570303,1.000338,0.01738347,0.0,1,0.00029968,5.14
710,7.56154,0.922382,0.0173906,0.0,1,0.00029964,5.12
720,7.633461,0.985055,0.01739802,0.0,1,0.00029961,5.17
730,7.575392,0.91756,0.01740562,0.0,1,0.00029957,5.12
740,7.500508,0.849218,0.01741213,0.0,1,0.00029953,5.1
750,7.568676,0.882628,0.01741839,0.0,1,0.00029949,5.11
760,7.562954,0.827825,0.01742569,0.0,1,0.00029945,5.13
770,7.553116,0.921104,0.01743291,0.0,1,0.00029941,5.09
780,7.559151,1.017868,0.01743905,0.0,1,0.00029936,5.19
790,7.591367,0.83903,0.01744495,0.0,1,0.00029932,5.13
800,7.527301,0.861668,0.01745101,0.0,1,0.00029927,5.23
810,7.610641,0.90737,0.01745766,0.0,1,0.00029922,5.18
820,7.638378,1.025392,0.01746425,0.0,1,0.00029917,5.17
830,7.49617,0.890626,0.01747094,0.0,1,0.00029911,5.15
840,7.601468,0.874636,0.017478,0.0,1,0.00029906,5.19
850,7.546566,0.849988,0.01748631,0.0,1,0.000299,5.08
860,7.560408,0.910755,0.0174938,0.0,1,0.00029894,5.22
870,7.603111,0.894652,0.01750103,0.0,1,0.00029888,5.08
880,7.532189,0.85791,0.01750722,0.0,1,0.00029882,5.2
