step,train_loss,gradient_norm,q1_residual_rms,injected_noise_rms,bits_used,lr,elapsed_s
10,10.130826,8.342655,0.01710138,0.01710308,16,5.4e-06,5.61
20,9.960538,8.321364,0.0171014,0.017103,16,1.14e-05,5.46
30,9.666181,7.113945,0.01710146,0.01710121,16,1.74e-05,5.49
40,9.267627,5.230406,0.01710161,0.01710181,16,2.34e-05,5.42
50,9.006242,3.907337,0.01710187,0.01710336,16,2.94e-05,5.41
60,8.841835,3.32146,0.01710224,0.01710182,16,3.54e-05,5.44
70,8.667834,2.544685,0.0171027,0.01710259,16,4.14e-05,5.4
80,8.51364,2.095043,0.01710324,0.017102,16,4.74e-05,5.46
90,8.396508,1.904039,0.01710387,0.01710341,16,5.34e-05,5.43
100,8.226328,1.755543,0.01710456,0.01710589,16,5.94e-05,5.52
110,8.172973,1.776776,0.01710532,0.01710593,16,6.54e-05,5.47
120,7.997044,1.434503,0.01710612,0.017106,16,7.14e-05,5.49
130,7.8934,1.414362,0.01710698,0.01710743,16,7.74e-05,5.45
140,7.787571,1.48823,0.01710794,0.01710706,16,8.34e-05,5.58
150,7.735105,1.271323,0.01710893,0.01710856,16,8.94e-05,5.42
160,7.631057,1.299463,0.01711001,0.01710957,16,9.54e-05,5.47
170,7.607528,1.13627,0.01711116,0.01711226,16,0.0001014,5.42
180,7.593831,1.170991,0.01711236,0.01710996,16,0.0001074,5.44
190,7.579227,1.30807,0.01711361,0.01711361,16,0.0001134,5.49
200,7.624654,1.322875,0.01711491,0.01711591,16,0.0001194,5.45
210,7.571859,1.18973,0.01711641,0.01711685,16,0.0001254,5.48
220,7.628867,1.341346,0.01711807,0.01711762,16,0.0001314,5.55
230,7.546367,1.100968,0.01711979,0.01712025,16,0.0001374,5.59
240,7.600253,1.141323,0.01712161,0.01712191,16,0.0001434,5.83
250,7.570338,1.038604,0.01712352,0.01712385,16,0.0001494,5.54
260,7.644107,1.108384,0.01712555,0.01712568,16,0.0001554,5.5
270,7.611097,1.116653,0.01712773,0.01712803,16,0.0001614,5.45
280,7.542878,1.039367,0.01713003,0.01712963,16,0.0001674,5.52
290,7.592481,1.019782,0.01713238,0.01713206,16,0.0001734,5.44
300,7.594379,1.197241,0.01713499,0.01713517,16,0.0001794,5.53
310,7.585957,1.079346,0.01713789,0.01713738,16,0.0001854,5.45
320,7.567193,1.179477,0.01714096,0.01714046,16,0.0001914,5.52
330,7.613705,1.000274,0.01714422,0.01714332,16,0.0001974,5.44
340,7.581149,1.030465,0.01714782,0.01714711,16,0.0002034,5.59
350,7.620949,1.002078,0.01715166,0.01715227,16,0.0002094,5.46
360,7.62622,0.981379,0.01715562,0.01715491,16,0.0002154,5.53
370,7.680491,1.030244,0.01715974,0.01715757,16,0.0002214,5.47
380,7.589538,1.016924,0.01716417,0.01716303,16,0.0002274,5.45
390,7.576564,0.997566,0.01716876,0.01716818,16,0.0002334,5.48
400,7.536737,1.070728,0.0171737,0.01717196,16,0.0002394,5.46
410,7.517191,1.079474,0.01717868,0.01717739,16,0.0002454,5.52
420,7.544065,1.040025,0.01718413,0.01718277,16,0.0002514,5.41
430,7.621597,1.06987,0.01718966,0.01718894,16,0.0002574,5.52
440,7.599205,1.043004,0.01719549,0.01719375,16,0.0002634,5.43
450,7.587121,1.038822,0.01720174,0.01720046,16,0.0002694,5.56
460,7.56605,1.08128,0.01720819,0.0172076,16,0.0002754,5.5
470,7.625013,1.163316,0.01721491,0.01721382,16,0.0002814,5.5
480,7.60632,1.036629,0.01722196,0.01721986,16,0.0002874,5.44
490,7.613549,1.136348,0.01722896,0.01722925,16,0.0002934,5.4
500,7.629009,0.991183,0.0172364,0.01723625,16,0.0002994,5.48
510,7.582896,1.00051,0.01724423,0.01724163,16,0.0003,16.77
