step,train_loss,gradient_norm,q1_residual_rms,injected_noise_rms,bits_used,lr,elapsed_s
10,10.137473,8.310633,0.01710138,0.01710224,16,5.4e-06,5.5
20,9.960514,8.241392,0.01710139,0.01710222,16,1.14e-05,5.39
30,9.660968,7.097021,0.01710146,0.01710153,16,1.74e-05,5.41
40,9.265595,5.282217,0.01710162,0.0171019,16,2.34e-05,5.43
50,9.005251,3.902937,0.01710188,0.01710281,16,2.94e-05,5.42
60,8.840421,3.300973,0.01710224,0.0171017,16,3.54e-05,5.41
70,8.668548,2.511378,0.0171027,0.01710237,16,4.14e-05,5.47
80,8.5156,2.108759,0.01710325,0.01710266,16,4.74e-05,5.34
90,8.397324,1.910622,0.01710388,0.01710341,16,5.34e-05,5.41
100,8.224752,1.747919,0.01710457,0.01710519,16,5.94e-05,5.38
110,8.17674,1.786349,0.01710533,0.01710553,16,6.54e-05,5.47
120,7.996047,1.425836,0.01710613,0.01710647,16,7.14e-05,5.45
130,7.892698,1.400786,0.01710698,0.01710769,16,7.74e-05,5.48
140,7.790996,1.529846,0.01710792,0.01710762,16,8.34e-05,5.46
150,7.736936,1.281871,0.0171089,0.01710875,16,8.94e-05,5.43
160,7.630738,1.292768,0.01710999,0.01710967,16,9.54e-05,5.65
170,7.607617,1.131563,0.01711115,0.01711112,16,0.0001014,5.45
180,7.5949,1.17719,0.01711237,0.01711118,16,0.0001074,5.48
190,7.58017,1.315533,0.01711364,0.01711363,16,0.0001134,5.38
200,7.624792,1.319883,0.01711493,0.01711569,16,0.0001194,5.51
210,7.571183,1.179554,0.01711641,0.01711696,16,0.0001254,5.4
220,7.629099,1.326529,0.01711808,0.01711755,16,0.0001314,5.43
230,7.546454,1.10506,0.01711982,0.01711948,16,0.0001374,5.4
240,7.600143,1.142589,0.01712162,0.01712122,16,0.0001434,5.47
250,7.569891,1.034122,0.01712354,0.01712342,16,0.0001494,5.44
260,7.644205,1.11237,0.01712558,0.0171258,16,0.0001554,5.48
270,7.610901,1.106387,0.01712778,0.01712827,16,0.0001614,5.51
280,7.542889,1.038263,0.01713006,0.01712984,16,0.0001674,5.41
290,7.591906,1.020357,0.0171324,0.01713172,16,0.0001734,5.51
300,7.594462,1.195392,0.01713503,0.01713507,16,0.0001794,5.41
310,7.58611,1.076802,0.01713794,0.01713718,16,0.0001854,5.47
320,7.566758,1.175252,0.01714102,0.01714041,16,0.0001914,5.47
330,7.613432,0.999664,0.01714427,0.01714395,16,0.0001974,5.45
340,7.581591,1.036902,0.01714787,0.01714747,16,0.0002034,5.39
350,7.621058,0.999711,0.01715171,0.01715223,16,0.0002094,5.52
360,7.626019,0.982,0.0171557,0.01715537,16,0.0002154,5.44
370,7.680266,1.024387,0.01715985,0.01715838,16,0.0002214,5.45
380,7.589527,1.020578,0.01716426,0.01716369,16,0.0002274,5.48
390,7.576495,0.994657,0.01716885,0.01716806,16,0.0002334,5.53
400,7.536259,1.063133,0.01717377,0.01717229,16,0.0002394,5.67
410,7.517573,1.082653,0.01717872,0.01717792,16,0.0002454,5.37
420,7.543785,1.040649,0.01718415,0.01718306,16,0.0002514,5.49
430,7.621715,1.07006,0.01718965,0.01718892,16,0.0002574,5.38
440,7.598959,1.041648,0.01719552,0.01719456,16,0.0002634,5.47
450,7.587109,1.037348,0.01720173,0.01720012,16,0.0002694,5.36
460,7.565594,1.079096,0.01720815,0.01720773,16,0.0002754,5.43
470,7.624998,1.156793,0.0172149,0.01721376,16,0.0002814,5.39
480,7.606068,1.029349,0.017222,0.01722034,16,0.0002874,5.45
490,7.613528,1.134441,0.01722903,0.01722906,16,0.0002934,5.44
500,7.628879,0.987981,0.01723647,0.01723608,16,0.0002994,5.39
510,7.582561,1.000587,0.01724429,0.01724295,16,0.0003,16.81
520,7.619968,0.982074,0.01725207,0.01725173,16,0.0003,5.43
530,7.575092,0.925905,0.01725982,0.01725796,16,0.00029999,5.49
540,7.551536,0.944458,0.01726757,0.01726751,16,0.00029999,5.42
