step,train_loss,gradient_norm,q1_residual_rms,injected_noise_rms,bits_used,lr,elapsed_s
10,10.082643,8.238309,0.01710154,0.0,16,5.4e-06,4.87
20,9.523346,6.760771,0.01710159,0.0,16,1.14e-05,4.55
30,9.023015,3.982417,0.01710176,0.0,16,1.74e-05,4.64
40,8.785888,3.45118,0.01710201,0.0,16,2.34e-05,4.6
50,8.660222,3.422495,0.01710227,0.0,16,2.94e-05,4.67
60,8.506544,2.786136,0.0171025,0.0,16,3.54e-05,4.66
70,8.406952,2.475154,0.01710268,0.0,16,4.14e-05,4.57
80,8.361015,2.393952,0.01710286,0.0,16,4.74e-05,4.64
90,8.220254,2.092532,0.01710304,0.0,16,5.34e-05,4.56
100,8.09935,1.852034,0.01710325,0.0,16,5.94e-05,4.99
110,7.965225,1.759716,0.01710349,0.0,16,6.54e-05,4.82
120,7.849188,1.475414,0.01710376,0.0,16,7.14e-05,5.04
130,7.79341,1.64421,0.01710407,0.0,16,7.74e-05,4.75
140,7.704914,1.495778,0.01710444,0.0,16,8.34e-05,4.81
150,7.659847,1.23658,0.01710484,0.0,16,8.94e-05,4.74
160,7.579144,1.251642,0.01710532,0.0,16,9.54e-05,4.92
170,7.558202,1.244698,0.01710587,0.0,16,0.0001014,4.71
180,7.582778,1.253185,0.01710658,0.0,16,0.0001074,4.88
190,7.554564,1.210378,0.01710741,0.0,16,0.0001134,4.64
200,7.598686,1.153959,0.01710826,0.0,16,0.0001194,4.71
210,7.613676,1.285558,0.01710917,0.0,16,0.0001254,4.69
220,7.561806,1.307426,0.0171101,0.0,16,0.0001314,4.62
230,7.564946,1.202599,0.0171111,0.0,16,0.0001374,4.63
240,7.576628,1.394616,0.01711217,0.0,16,0.0001434,4.64
250,7.581441,1.17922,0.01711352,0.0,16,0.0001494,4.61
260,7.585359,1.061543,0.01711494,0.0,16,0.0001554,4.56
270,7.516748,1.136916,0.01711645,0.0,16,0.0001614,4.72
280,7.627331,1.089449,0.01711837,0.0,16,0.0001674,4.68
290,7.550702,1.061237,0.01712046,0.0,16,0.0001734,4.68
300,7.542186,1.133821,0.01712284,0.0,16,0.0001794,4.56
310,7.577434,1.11624,0.01712528,0.0,16,0.0001854,5.03
320,7.597975,1.084414,0.01712769,0.0,16,0.0001914,4.61
330,7.574202,0.993789,0.01713026,0.0,16,0.0001974,4.85
340,7.542726,1.147764,0.01713316,0.0,16,0.0002034,4.57
350,7.560433,1.008863,0.01713638,0.0,16,0.0002094,4.68
360,7.604403,1.038419,0.01713947,0.0,16,0.0002154,5.21
370,7.606336,1.144709,0.01714285,0.0,16,0.0002214,4.83
380,7.546814,1.24527,0.01714648,0.0,16,0.0002274,4.61
390,7.582691,1.050344,0.01715055,0.0,16,0.0002334,4.65
400,7.540471,1.051418,0.01715494,0.0,16,0.0002394,4.64
410,7.595323,1.04325,0.01715914,0.0,16,0.0002454,4.69
420,7.593909,1.179568,0.01716363,0.0,16,0.0002514,4.66
430,7.673575,1.051638,0.01716847,0.0,16,0.0002574,4.65
440,7.624611,1.182224,0.01717361,0.0,16,0.0002634,4.66
450,7.547154,1.007772,0.01717911,0.0,16,0.0002694,4.71
460,7.594821,1.08753,0.01718455,0.0,16,0.0002754,4.71
470,7.619812,0.977246,0.01719051,0.0,16,0.0002814,4.59
480,7.583122,1.015773,0.01719622,0.0,16,0.0002874,4.64
