step,train_loss,gradient_norm,q1_residual_rms,injected_noise_rms,bits_used,lr,elapsed_s
10,10.165942,8.330928,0.01710558,0.0,1,5.4e-06,5.09
20,9.822432,7.162792,0.01710561,0.0,1,1.14e-05,4.87
30,9.29547,5.130301,0.01710578,0.0,1,1.74e-05,4.95
40,8.947803,4.10157,0.01710619,0.0,1,2.34e-05,4.95
50,8.730459,4.034482,0.01710676,0.0,1,2.94e-05,4.87
60,8.633764,3.470531,0.01710731,0.0,1,3.54e-05,4.83
70,8.489474,3.653098,0.01710777,0.0,1,4.14e-05,4.98
80,8.386164,3.11787,0.01710817,0.0,1,4.74e-05,4.87
90,8.252821,2.798072,0.01710856,0.0,1,5.34e-05,4.9
100,8.128697,2.539118,0.01710894,0.0,1,5.94e-05,4.91
110,8.006064,2.447965,0.01710942,0.0,1,6.54e-05,4.94
120,7.840831,2.183901,0.01710995,0.0,1,7.14e-05,4.87
130,7.805642,2.134892,0.01711057,0.0,1,7.74e-05,4.89
140,7.706585,2.098623,0.01711129,0.0,1,8.34e-05,4.85
150,7.711734,1.95811,0.01711206,0.0,1,8.94e-05,4.98
160,7.645644,1.593121,0.01711291,0.0,1,9.54e-05,4.82
170,7.6435,1.528973,0.01711383,0.0,1,0.0001014,4.95
180,7.597011,1.320199,0.01711477,0.0,1,0.0001074,4.84
190,7.587551,1.385973,0.0171158,0.0,1,0.0001134,4.9
200,7.559145,1.364345,0.01711693,0.0,1,0.0001194,4.85
210,7.511572,1.19021,0.01711811,0.0,1,0.0001254,4.9
220,7.563607,1.39486,0.01711941,0.0,1,0.0001314,4.82
230,7.527445,1.345836,0.01712092,0.0,1,0.0001374,4.93
240,7.582375,1.284769,0.01712251,0.0,1,0.0001434,4.86
250,7.607652,1.263639,0.01712422,0.0,1,0.0001494,4.98
260,7.572683,1.188238,0.01712614,0.0,1,0.0001554,4.85
270,7.646252,1.155083,0.01712836,0.0,1,0.0001614,4.94
280,7.615093,1.123468,0.01713062,0.0,1,0.0001674,4.83
290,7.622799,1.124077,0.01713303,0.0,1,0.0001734,5.42
300,7.612361,1.028291,0.01713538,0.0,1,0.0001794,5.18
310,7.55113,1.184841,0.01713813,0.0,1,0.0001854,5.27
320,7.600939,1.28177,0.01714144,0.0,1,0.0001914,4.99
330,7.588073,1.251284,0.01714501,0.0,1,0.0001974,5.03
340,7.554668,1.073557,0.01714873,0.0,1,0.0002034,4.85
350,7.61876,1.070418,0.0171525,0.0,1,0.0002094,4.97
360,7.582036,1.096019,0.0171561,0.0,1,0.0002154,4.88
370,7.609956,1.166918,0.01715969,0.0,1,0.0002214,5.23
380,7.62786,1.187937,0.01716386,0.0,1,0.0002274,4.92
390,7.614235,1.091053,0.01716806,0.0,1,0.0002334,5.17
400,7.632215,1.096481,0.01717283,0.0,1,0.0002394,4.86
410,7.588633,0.979407,0.01717802,0.0,1,0.0002454,5.1
420,7.607182,1.110326,0.01718286,0.0,1,0.0002514,4.81
430,7.601162,1.038465,0.01718812,0.0,1,0.0002574,4.93
440,7.605918,1.138123,0.01719363,0.0,1,0.0002634,4.86
450,7.627758,1.130122,0.01719962,0.0,1,0.0002694,4.93
460,7.583132,1.024113,0.01720572,0.0,1,0.0002754,4.86
470,7.608107,1.035445,0.01721191,0.0,1,0.0002814,4.94
480,7.617872,1.112319,0.01721864,0.0,1,0.0002874,4.81
490,7.616612,0.995713,0.01722647,0.0,1,0.0002934,4.91
500,7.601762,0.943216,0.01723431,0.0,1,0.0002994,4.86
510,7.533704,1.144746,0.01724264,0.0,1,0.0003,18.47
520,7.538798,1.079059,0.01725072,0.0,1,0.0003,4.88
530,7.575039,1.092366,0.01725864,0.0,1,0.00029999,4.92
540,7.560543,1.014467,0.01726609,0.0,1,0.00029999,4.9
