step,train_loss,gradient_norm,q1_residual_rms,injected_noise_rms,bits_used,lr,elapsed_s
10,10.1124,8.278566,0.01710154,0.0,2,5.4e-06,5.27
20,9.625089,7.384627,0.01710159,0.0,2,1.14e-05,5.08
30,9.096587,4.19635,0.01710174,0.0,2,1.74e-05,5.07
40,8.831143,3.361638,0.01710198,0.0,4,2.34e-05,5.07
50,8.704765,3.340918,0.01710226,0.0,4,2.94e-05,5.0
60,8.528219,2.603703,0.01710253,0.0,2,3.54e-05,5.06
70,8.429368,2.412587,0.01710278,0.0,4,4.14e-05,5.07
80,8.375519,2.214967,0.01710302,0.0,2,4.74e-05,5.08
90,8.239944,2.013988,0.01710327,0.0,4,5.34e-05,5.06
100,8.11326,1.809046,0.01710356,0.0,4,5.94e-05,5.17
110,7.983347,1.784932,0.01710388,0.0,2,6.54e-05,5.04
120,7.859146,1.431522,0.01710422,0.0,4,7.14e-05,5.04
130,7.80537,1.668923,0.01710456,0.0,2,7.74e-05,5.12
140,7.717886,1.536588,0.017105,0.0,2,8.34e-05,5.01
150,7.666417,1.197831,0.01710548,0.0,2,8.94e-05,5.09
160,7.58236,1.233149,0.01710602,0.0,4,9.54e-05,5.04
170,7.560127,1.22947,0.01710661,0.0,4,0.0001014,5.05
180,7.586366,1.258251,0.01710732,0.0,4,0.0001074,5.05
190,7.555163,1.226601,0.01710815,0.0,2,0.0001134,5.08
200,7.597382,1.140959,0.01710906,0.0,2,0.0001194,5.14
210,7.612433,1.281973,0.01711002,0.0,2,0.0001254,5.09
220,7.557859,1.261039,0.01711102,0.0,4,0.0001314,5.05
230,7.564597,1.184079,0.01711207,0.0,2,0.0001374,5.22
240,7.57607,1.355104,0.01711318,0.0,2,0.0001434,5.06
250,7.581529,1.161265,0.0171145,0.0,4,0.0001494,5.18
260,7.582348,1.034403,0.01711587,0.0,4,0.0001554,5.05
270,7.517028,1.155675,0.01711741,0.0,4,0.0001614,5.2
280,7.628126,1.091098,0.01711927,0.0,2,0.0001674,5.0
290,7.553625,1.081926,0.0171214,0.0,2,0.0001734,5.1
300,7.541063,1.142265,0.01712376,0.0,4,0.0001794,5.02
310,7.576736,1.147394,0.01712614,0.0,4,0.0001854,5.21
320,7.598184,1.087037,0.01712854,0.0,4,0.0001914,5.05
330,7.573722,0.992724,0.01713117,0.0,4,0.0001974,5.09
340,7.540908,1.151628,0.01713394,0.0,4,0.0002034,5.02
350,7.561983,1.022904,0.01713708,0.0,2,0.0002094,5.12
360,7.604857,1.060667,0.0171403,0.0,2,0.0002154,5.06
370,7.610114,1.200064,0.01714379,0.0,4,0.0002214,5.13
380,7.546816,1.255936,0.01714774,0.0,2,0.0002274,5.02
390,7.581676,1.037741,0.01715181,0.0,4,0.0002334,5.14
400,7.540787,1.047132,0.01715625,0.0,4,0.0002394,4.99
410,7.595249,1.039151,0.01716052,0.0,4,0.0002454,5.21
420,7.594078,1.169986,0.01716512,0.0,4,0.0002514,5.03
430,7.675769,1.055928,0.01717008,0.0,4,0.0002574,5.23
440,7.625619,1.181864,0.0171752,0.0,4,0.0002634,5.06
450,7.54685,1.005274,0.01718074,0.0,4,0.0002694,5.17
460,7.59595,1.084983,0.01718624,0.0,4,0.0002754,5.05
470,7.621671,0.985073,0.01719238,0.0,4,0.0002814,5.17
480,7.584704,1.018613,0.01719832,0.0,4,0.0002874,5.05
490,7.645454,0.978132,0.01720484,0.0,2,0.0002934,5.09
500,7.625743,0.945892,0.01721121,0.0,2,0.0002994,5.24
510,7.600333,1.097052,0.01721818,0.0,4,0.0003,20.69
520,7.525515,0.987106,0.01722568,0.0,4,0.0003,5.1
530,7.541874,0.910868,0.01723292,0.0,4,0.00029999,5.03
540,7.60525,1.041063,0.01724011,0.0,4,0.00029999,5.15
