step,train_loss,gradient_norm,q1_residual_rms,injected_noise_rms,bits_used,lr,elapsed_s
10,10.118722,8.097958,0.01710154,0.0,4,5.4e-06,5.53
20,9.608024,7.154205,0.01710159,0.0,4,1.14e-05,5.21
30,9.136314,4.595377,0.01710174,0.0,4,1.74e-05,5.13
40,8.827002,3.375433,0.01710198,0.0,2,2.34e-05,5.49
50,8.712953,3.34462,0.01710224,0.0,2,2.94e-05,5.1
60,8.538306,2.593001,0.0171025,0.0,4,3.54e-05,5.22
70,8.432649,2.419611,0.01710275,0.0,2,4.14e-05,5.07
80,8.38551,2.313004,0.01710301,0.0,4,4.74e-05,5.28
90,8.245853,2.00483,0.01710326,0.0,2,5.34e-05,5.18
100,8.154492,2.075653,0.01710364,0.0,2,5.94e-05,5.15
110,7.988775,1.708487,0.01710405,0.0,4,6.54e-05,5.41
120,7.8614,1.403314,0.01710444,0.0,2,7.14e-05,5.06
130,7.806657,1.614885,0.01710483,0.0,4,7.74e-05,5.27
140,7.717645,1.511565,0.01710524,0.0,4,8.34e-05,5.42
150,7.667931,1.205822,0.01710566,0.0,4,8.94e-05,5.36
160,7.581814,1.23602,0.01710617,0.0,2,9.54e-05,5.23
170,7.559772,1.230633,0.01710676,0.0,2,0.0001014,5.28
180,7.587094,1.270975,0.01710751,0.0,2,0.0001074,5.11
190,7.55716,1.237978,0.01710833,0.0,4,0.0001134,5.67
200,7.599617,1.152246,0.01710924,0.0,4,0.0001194,5.19
210,7.614371,1.285017,0.01711014,0.0,4,0.0001254,5.2
220,7.557238,1.264762,0.01711109,0.0,2,0.0001314,5.1
230,7.565168,1.187876,0.01711212,0.0,4,0.0001374,5.25
240,7.574161,1.341048,0.0171132,0.0,4,0.0001434,5.1
250,7.580986,1.149757,0.01711455,0.0,2,0.0001494,5.1
260,7.582026,1.032723,0.01711601,0.0,2,0.0001554,5.1
270,7.517185,1.15561,0.01711761,0.0,2,0.0001614,5.15
280,7.628821,1.096853,0.01711953,0.0,4,0.0001674,5.52
290,7.553965,1.076844,0.01712158,0.0,4,0.0001734,5.11
300,7.54287,1.145347,0.01712401,0.0,2,0.0001794,5.16
310,7.577746,1.150674,0.0171265,0.0,2,0.0001854,5.05
320,7.59831,1.090891,0.01712903,0.0,2,0.0001914,5.18
330,7.574113,0.997881,0.01713173,0.0,2,0.0001974,5.11
340,7.543779,1.151743,0.0171345,0.0,2,0.0002034,5.09
350,7.562676,1.019688,0.01713778,0.0,4,0.0002094,5.09
360,7.605023,1.054307,0.0171411,0.0,4,0.0002154,5.05
370,7.609061,1.193984,0.01714472,0.0,2,0.0002214,5.12
380,7.546867,1.255024,0.01714861,0.0,4,0.0002274,5.11
390,7.58144,1.04687,0.01715267,0.0,2,0.0002334,5.12
400,7.541719,1.054254,0.01715713,0.0,2,0.0002394,5.11
410,7.595354,1.040913,0.01716148,0.0,2,0.0002454,5.01
420,7.59455,1.165545,0.01716617,0.0,2,0.0002514,5.08
430,7.67471,1.058175,0.01717107,0.0,2,0.0002574,5.02
440,7.625876,1.179327,0.0171762,0.0,2,0.0002634,5.17
450,7.546996,1.001309,0.01718181,0.0,2,0.0002694,5.11
460,7.595287,1.085918,0.01718733,0.0,2,0.0002754,5.19
470,7.622672,0.981709,0.01719347,0.0,2,0.0002814,5.0
480,7.584707,1.024019,0.01719961,0.0,2,0.0002874,5.11
490,7.6452,0.976621,0.0172063,0.0,4,0.0002934,5.09
500,7.627379,0.95104,0.01721316,0.0,4,0.0002994,5.18
510,7.601216,1.111681,0.01722195,0.0,2,0.0003,20.59
520,7.526891,0.991211,0.01723078,0.0,2,0.0003,5.05
530,7.542558,0.912594,0.01723853,0.0,2,0.00029999,5.12
540,7.606387,1.043175,0.01724521,0.0,2,0.00029999,5.08
550,7.592645,1.01163,0.01725191,0.0,4,0.00029998,5.24
560,7.620771,0.924913,0.01725928,0.0,2,0.00029997,5.04
570,7.577806,0.970584,0.01726666,0.0,2,0.00029996,5.06
580,7.553359,0.974009,0.01727517,0.0,2,0.00029995,5.15
590,7.605036,0.924786,0.01728317,0.0,2,0.00029994,5.15
600,7.62307,0.885786,0.01729023,0.0,2,0.00029992,5.04
610,7.598574,1.058206,0.01729637,0.0,4,0.0002999,5.1
620,7.620608,0.921208,0.01730314,0.0,2,0.00029988,5.09
630,7.590891,0.952052,0.01731048,0.0,1,0.00029986,5.08
640,7.622425,0.939225,0.01731832,0.0,2,0.00029984,4.99
650,7.575238,0.920335,0.0173262,0.0,2,0.00029982,5.17
660,7.556055,0.998214,0.01733294,0.0,4,0.00029979,5.23
670,7.571406,0.898325,0.01733959,0.0,4,0.00029977,5.17
680,7.593786,0.95963,0.01734597,0.0,2,0.00029974,5.24
690,7.599645,0.875007,0.01735313,0.0,4,0.00029971,5.32
700,7.627787,0.994097,0.01736056,0.0,4,0.00029968,5.16
710,7.52685,0.944199,0.01736719,0.0,4,0.00029964,5.09
720,7.566565,0.893566,0.01737434,0.0,1,0.00029961,5.06
730,7.562745,0.962481,0.01738264,0.0,2,0.00029957,5.09
740,7.543491,0.830796,0.01739082,0.0,2,0.00029953,5.1
750,7.584343,0.901527,0.01739868,0.0,2,0.00029949,5.03
760,7.593081,0.983601,0.01740535,0.0,2,0.00029945,5.06
770,7.52205,0.884311,0.01741139,0.0,2,0.00029941,5.07
780,7.655933,0.917569,0.01741808,0.0,4,0.00029936,5.09
790,7.620781,0.819169,0.01742404,0.0,4,0.00029932,5.04
800,7.533608,0.869902,0.01743031,0.0,2,0.00029927,5.09
810,7.501701,0.890231,0.01743608,0.0,2,0.00029922,5.05
820,7.595569,0.852746,0.01744176,0.0,2,0.00029917,5.09
830,7.530261,0.930676,0.01744738,0.0,4,0.00029911,5.13
840,7.528869,0.936266,0.01745376,0.0,4,0.00029906,5.2
850,7.565069,0.906982,0.01746017,0.0,4,0.000299,5.06
860,7.510516,0.939418,0.01746704,0.0,4,0.00029894,5.07
870,7.599222,0.878024,0.01747371,0.0,2,0.00029888,5.01
880,7.56575,0.854917,0.01748042,0.0,2,0.00029882,5.07
890,7.533312,0.81624,0.01748712,0.0,2,0.00029876,5.03
900,7.617437,0.829569,0.01749341,0.0,4,0.0002987,5.12
910,7.560229,0.856065,0.01749972,0.0,4,0.00029863,5.0
920,7.615104,0.927234,0.01750696,0.0,2,0.00029856,5.11
930,7.578486,0.89243,0.01751317,0.0,4,0.00029849,5.07
940,7.513587,0.897647,0.01751934,0.0,2,0.00029842,5.16
950,7.570113,0.833262,0.01752509,0.0,4,0.00029835,5.08
960,7.594973,0.848709,0.01753027,0.0,2,0.00029828,5.35
970,7.61762,0.866246,0.01753597,0.0,2,0.0002982,5.09
980,7.536297,0.884693,0.01754265,0.0,4,0.00029812,5.07
990,7.579657,0.855704,0.01754989,0.0,2,0.00029804,5.06
1000,7.544495,0.859356,0.0175562,0.0,2,0.00029796,5.15
1010,7.603786,0.958908,0.01756252,0.0,2,0.00029788,20.55
1020,7.592471,0.935307,0.01757011,0.0,4,0.0002978,5.27
1030,7.569928,0.80373,0.01757819,0.0,2,0.00029771,5.24
