timestamp_utc,campaign_status,memory_free_pct,swapusage,processes_json
2026-07-18T20:20:49.363002+00:00,running,22,vm.swapusage: total = 2048.00M  used = 611.19M  free = 1436.81M  (encrypted),"[{""pid"":""6585"",""cpu_pct"":""12.1"",""rss_kib"":""371088"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-512/env/bin/python -m src.train --config configs/campaign/generated/baseline-s31415.json""}]"
2026-07-18T20:21:49.438260+00:00,running,25,vm.swapusage: total = 2048.00M  used = 611.19M  free = 1436.81M  (encrypted),"[{""pid"":""6585"",""cpu_pct"":""21.4"",""rss_kib"":""384480"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-512/env/bin/python -m src.train --config configs/campaign/generated/baseline-s31415.json""}]"
2026-07-18T20:22:49.514756+00:00,running,24,vm.swapusage: total = 2048.00M  used = 603.19M  free = 1444.81M  (encrypted),"[{""pid"":""6585"",""cpu_pct"":""15.8"",""rss_kib"":""216080"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-512/env/bin/python -m src.train --config configs/campaign/generated/baseline-s31415.json""}]"
2026-07-18T20:23:49.587771+00:00,running,24,vm.swapusage: total = 2048.00M  used = 603.19M  free = 1444.81M  (encrypted),"[{""pid"":""6585"",""cpu_pct"":""13.8"",""rss_kib"":""239824"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-512/env/bin/python -m src.train --config configs/campaign/generated/baseline-s31415.json""}]"
2026-07-18T20:24:49.668682+00:00,running,24,vm.swapusage: total = 2048.00M  used = 603.19M  free = 1444.81M  (encrypted),"[{""pid"":""6585"",""cpu_pct"":""17.5"",""rss_kib"":""253248"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-512/env/bin/python -m src.train --config configs/campaign/generated/baseline-s31415.json""}]"
2026-07-18T20:25:49.746500+00:00,running,25,vm.swapusage: total = 2048.00M  used = 603.19M  free = 1444.81M  (encrypted),"[{""pid"":""6585"",""cpu_pct"":""16.9"",""rss_kib"":""242736"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-512/env/bin/python -m src.train --config configs/campaign/generated/baseline-s31415.json""}]"
2026-07-18T20:26:49.827859+00:00,running,25,vm.swapusage: total = 2048.00M  used = 603.19M  free = 1444.81M  (encrypted),"[{""pid"":""6585"",""cpu_pct"":""15.0"",""rss_kib"":""206544"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-512/env/bin/python -m src.train --config configs/campaign/generated/baseline-s31415.json""}]"
2026-07-18T20:27:49.905472+00:00,running,25,vm.swapusage: total = 2048.00M  used = 603.19M  free = 1444.81M  (encrypted),"[{""pid"":""6585"",""cpu_pct"":""14.4"",""rss_kib"":""219696"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-512/env/bin/python -m src.train --config configs/campaign/generated/baseline-s31415.json""}]"
2026-07-18T20:28:49.986492+00:00,running,25,vm.swapusage: total = 2048.00M  used = 603.19M  free = 1444.81M  (encrypted),"[{""pid"":""6585"",""cpu_pct"":""13.9"",""rss_kib"":""230464"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-512/env/bin/python -m src.train --config configs/campaign/generated/baseline-s31415.json""}]"
2026-07-18T20:29:50.063421+00:00,running,25,vm.swapusage: total = 2048.00M  used = 603.19M  free = 1444.81M  (encrypted),"[{""pid"":""6585"",""cpu_pct"":""17.5"",""rss_kib"":""241056"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-512/env/bin/python -m src.train --config configs/campaign/generated/baseline-s31415.json""}]"
