step,train_loss,bits_used,lr,elapsed_s
10,10.035848,16,5.4e-06,5.3
20,9.509505,16,1.14e-05,4.31
30,9.037989,16,1.74e-05,4.28
40,8.820142,16,2.34e-05,4.27
50,8.635604,16,2.94e-05,4.29
60,8.543823,16,3.54e-05,4.26
70,8.428052,16,4.14e-05,4.27
80,8.330257,16,4.74e-05,4.27
90,8.238516,16,5.34e-05,4.27
100,8.059792,16,5.94e-05,4.28
110,7.97516,16,6.54e-05,4.26
120,7.881288,16,7.14e-05,4.28
130,7.783478,16,7.74e-05,4.27
140,7.7672,16,8.34e-05,4.27
150,7.656662,16,8.94e-05,4.26
160,7.588728,16,9.54e-05,4.28
170,7.597025,16,0.0001014,4.28
180,7.557162,16,0.0001074,4.27
190,7.605058,16,0.0001134,4.29
200,7.554513,16,0.0001194,4.27
210,7.603468,16,0.0001254,4.27
220,7.588815,16,0.0001314,4.28
230,7.53148,16,0.0001374,4.27
240,7.590666,16,0.0001434,4.29
250,7.609507,16,0.0001494,4.26
260,7.622738,16,0.0001554,4.29
270,7.606344,16,0.0001614,4.27
280,7.574002,16,0.0001674,4.3
290,7.587957,16,0.0001734,4.28
300,7.647969,16,0.0001794,4.27
310,7.616551,16,0.0001854,4.29
320,7.575016,16,0.0001914,4.29
330,7.542905,16,0.0001974,4.29
340,7.711422,16,0.0002034,4.27
350,7.631728,16,0.0002094,4.3
360,7.576224,16,0.0002154,4.26
370,7.572889,16,0.0002214,4.28
380,7.563057,16,0.0002274,4.29
390,7.615533,16,0.0002334,4.28
400,7.588695,16,0.0002394,4.28
410,7.615943,16,0.0002454,4.27
420,7.545375,16,0.0002514,4.29
430,7.615953,16,0.0002574,4.26
440,7.603139,16,0.0002634,4.28
450,7.632365,16,0.0002694,4.29
460,7.554055,16,0.0002754,4.27
470,7.604119,16,0.0002814,4.3
480,7.579796,16,0.0002874,4.27
490,7.65883,16,0.0002934,4.29
500,7.562323,16,0.0002994,4.27
510,7.612284,16,0.0003,15.46
520,7.599199,16,0.0003,4.28
530,7.562915,16,0.00029999,4.26
540,7.615378,16,0.00029999,4.3
550,7.629974,16,0.00029998,4.28
560,7.60638,16,0.00029997,4.28
570,7.579563,16,0.00029996,4.28
580,7.62884,16,0.00029995,4.29
590,7.585429,16,0.00029994,4.28
600,7.580049,16,0.00029992,4.27
610,7.545499,16,0.0002999,4.28
620,7.570076,16,0.00029988,4.28
