step,train_loss,bits_used,lr,elapsed_s
10,10.207482,1,5.4e-06,4.61
20,9.819677,1,1.14e-05,4.55
30,9.324078,1,1.74e-05,4.56
40,8.9638,1,2.34e-05,4.55
50,8.81265,1,2.94e-05,4.56
60,8.573001,1,3.54e-05,4.53
70,8.45443,1,4.14e-05,4.55
80,8.342535,1,4.74e-05,4.56
90,8.224822,1,5.34e-05,4.55
100,8.102674,1,5.94e-05,4.55
110,8.006935,1,6.54e-05,4.55
120,7.88409,1,7.14e-05,4.57
130,7.873051,1,7.74e-05,4.55
140,7.753657,1,8.34e-05,4.57
150,7.705295,1,8.94e-05,4.54
160,7.58981,1,9.54e-05,4.54
170,7.592485,1,0.0001014,4.54
180,7.621493,1,0.0001074,4.54
190,7.568504,1,0.0001134,4.55
200,7.590422,1,0.0001194,4.55
210,7.510227,1,0.0001254,4.56
220,7.519891,1,0.0001314,4.54
230,7.548483,1,0.0001374,4.54
240,7.610658,1,0.0001434,4.55
250,7.575079,1,0.0001494,4.54
260,7.607182,1,0.0001554,4.54
270,7.571452,1,0.0001614,4.56
280,7.634485,1,0.0001674,4.54
290,7.571116,1,0.0001734,4.56
300,7.579926,1,0.0001794,4.54
310,7.66641,1,0.0001854,4.56
320,7.530403,1,0.0001914,4.56
330,7.523686,1,0.0001974,4.55
340,7.556952,1,0.0002034,4.57
350,7.58363,1,0.0002094,4.56
360,7.601628,1,0.0002154,4.57
370,7.57681,1,0.0002214,4.55
380,7.562745,1,0.0002274,4.57
390,7.635344,1,0.0002334,4.56
400,7.629456,1,0.0002394,4.57
410,7.529936,1,0.0002454,4.55
420,7.592131,1,0.0002514,4.56
430,7.611146,1,0.0002574,4.55
440,7.533889,1,0.0002634,4.54
450,7.625367,1,0.0002694,4.56
460,7.548039,1,0.0002754,4.55
470,7.592703,1,0.0002814,4.55
480,7.610533,1,0.0002874,4.55
490,7.65441,1,0.0002934,4.56
500,7.676004,1,0.0002994,4.55
510,7.562427,1,0.0003,18.08
520,7.562876,1,0.0003,4.55
530,7.707082,1,0.00029999,4.56
540,7.607219,1,0.00029999,4.54
550,7.557135,1,0.00029998,4.55
560,7.596586,1,0.00029997,4.55
570,7.563672,1,0.00029996,4.57
580,7.573323,1,0.00029995,4.54
590,7.602578,1,0.00029994,4.56
600,7.651488,1,0.00029992,4.56
610,7.616919,1,0.0002999,4.63
620,7.587332,1,0.00029988,4.67
630,7.512166,1,0.00029986,4.56
640,7.603493,1,0.00029984,4.57
650,7.616793,1,0.00029982,4.55
660,7.585964,1,0.00029979,4.55
670,7.552376,1,0.00029977,4.55
680,7.589748,1,0.00029974,4.55
690,7.609566,1,0.00029971,4.54
700,7.616572,1,0.00029968,4.54
710,7.610064,1,0.00029964,4.54
720,7.63961,1,0.00029961,4.55
730,7.568648,1,0.00029957,4.55
740,7.567589,1,0.00029953,4.55
750,7.543374,1,0.00029949,4.56
760,7.581768,1,0.00029945,4.56
770,7.602636,1,0.00029941,4.56
780,7.587094,1,0.00029936,4.55
790,7.679094,1,0.00029932,4.56
800,7.638659,1,0.00029927,4.55
810,7.540943,1,0.00029922,4.56
820,7.558752,1,0.00029917,4.56
830,7.584057,1,0.00029911,4.57
840,7.554051,1,0.00029906,4.55
850,7.546099,1,0.000299,4.54
860,7.508504,1,0.00029894,4.56
870,7.578966,1,0.00029888,4.54
880,7.607612,1,0.00029882,4.55
890,7.481563,1,0.00029876,4.55
900,7.609585,1,0.0002987,4.59
910,7.593265,1,0.00029863,4.55
920,7.596394,1,0.00029856,4.57
930,7.522021,1,0.00029849,4.55
940,7.543503,1,0.00029842,4.56
950,7.564064,1,0.00029835,4.55
960,7.564795,1,0.00029828,4.55
970,7.496568,1,0.0002982,4.57
980,7.575005,1,0.00029812,4.56
990,7.578361,1,0.00029804,4.57
1000,7.569344,1,0.00029796,4.55
1010,7.549304,1,0.00029788,18.1
1020,7.540965,1,0.0002978,4.56
1030,7.55905,1,0.00029771,4.56
1040,7.563064,1,0.00029762,4.55
1050,7.507948,1,0.00029753,4.56
1060,7.513297,1,0.00029744,4.55
1070,7.565809,1,0.00029735,4.58
1080,7.554557,1,0.00029726,4.54
1090,7.55554,1,0.00029716,4.58
1100,7.589403,1,0.00029707,4.54
1110,7.592781,1,0.00029697,4.57
1120,7.458705,1,0.00029687,4.56
1130,7.528146,1,0.00029677,4.58
1140,7.547465,1,0.00029666,4.55
1150,7.569984,1,0.00029656,4.54
1160,7.591914,1,0.00029645,4.58
1170,7.6422,1,0.00029634,4.56
1180,7.631172,1,0.00029623,4.58
1190,7.530376,1,0.00029612,4.55
1200,7.516391,1,0.00029601,4.56
1210,7.600238,1,0.0002959,4.56
1220,7.526079,1,0.00029578,4.57
1230,7.538638,1,0.00029566,4.54
1240,7.563313,1,0.00029554,4.57
1250,7.567631,1,0.00029542,4.55
1260,7.573989,1,0.0002953,4.57
1270,7.529543,1,0.00029518,4.57
1280,7.545116,1,0.00029505,4.56
1290,7.622634,1,0.00029492,4.57
1300,7.520639,1,0.00029479,4.55
1310,7.53813,1,0.00029466,4.55
1320,7.478976,1,0.00029453,4.54
1330,7.512015,1,0.0002944,4.56
1340,7.501965,1,0.00029426,4.56
1350,7.491552,1,0.00029413,4.56
1360,7.606825,1,0.00029399,4.56
1370,7.510525,1,0.00029385,4.55
1380,7.551426,1,0.00029371,4.55
1390,7.543398,1,0.00029356,4.54
1400,7.559773,1,0.00029342,4.58
1410,7.538327,1,0.00029327,4.54
1420,7.518426,1,0.00029313,4.57
1430,7.521206,1,0.00029298,4.55
1440,7.539006,1,0.00029283,4.57
1450,7.609055,1,0.00029267,4.54
1460,7.544557,1,0.00029252,4.56
1470,7.568654,1,0.00029236,4.54
1480,7.529606,1,0.00029221,4.56
1490,7.508206,1,0.00029205,4.55
1500,7.459793,1,0.00029189,4.54
1510,7.59137,1,0.00029173,17.98
1520,7.510621,1,0.00029156,4.57
1530,7.616825,1,0.0002914,4.56
1540,7.513799,1,0.00029123,4.57
1550,7.494599,1,0.00029106,4.56
1560,7.536334,1,0.0002909,4.56
1570,7.525827,1,0.00029072,4.57
1580,7.543231,1,0.00029055,4.57
1590,7.448434,1,0.00029038,4.58
1600,7.515309,1,0.0002902,4.56
1610,7.544014,1,0.00029003,4.58
1620,7.609566,1,0.00028985,4.55
1630,7.534956,1,0.00028967,4.59
1640,7.524579,1,0.00028948,4.55
1650,7.536363,1,0.0002893,4.57
