step,train_loss,bits_used,lr,elapsed_s
10,10.149369,1,5.4e-06,4.7
20,9.751631,2,1.14e-05,4.73
30,9.343198,2,1.74e-05,4.68
40,8.968568,2,2.34e-05,4.71
50,8.819512,2,2.94e-05,4.67
60,8.623215,2,3.54e-05,4.65
70,8.476049,2,4.14e-05,4.68
80,8.363384,2,4.74e-05,4.68
90,8.253837,2,5.34e-05,4.66
100,8.121356,2,5.94e-05,4.7
110,8.030804,2,6.54e-05,4.71
120,7.904819,2,7.14e-05,4.68
130,7.900179,1,7.74e-05,4.67
140,7.78327,1,8.34e-05,4.67
150,7.743226,1,8.94e-05,4.7
160,7.633862,1,9.54e-05,4.64
170,7.626075,2,0.0001014,4.71
180,7.635647,2,0.0001074,4.67
190,7.579751,2,0.0001134,4.68
200,7.591393,2,0.0001194,4.69
210,7.513374,1,0.0001254,4.65
220,7.52871,1,0.0001314,4.65
230,7.552034,2,0.0001374,4.72
240,7.614299,1,0.0001434,4.69
250,7.577276,2,0.0001494,4.71
260,7.605153,2,0.0001554,4.73
270,7.570628,2,0.0001614,4.73
280,7.633649,2,0.0001674,4.72
290,7.578796,1,0.0001734,4.63
300,7.577712,1,0.0001794,4.71
310,7.669746,1,0.0001854,4.64
320,7.533162,2,0.0001914,4.72
330,7.516787,1,0.0001974,4.61
340,7.55576,4,0.0002034,4.71
350,7.580751,2,0.0002094,4.68
360,7.59858,2,0.0002154,4.7
370,7.572532,4,0.0002214,4.73
380,7.560212,2,0.0002274,4.69
390,7.635879,2,0.0002334,4.67
400,7.63472,2,0.0002394,4.69
410,7.535224,2,0.0002454,4.68
420,7.591716,2,0.0002514,4.73
430,7.612044,2,0.0002574,4.73
440,7.53743,2,0.0002634,4.71
450,7.628852,1,0.0002694,4.69
460,7.549587,2,0.0002754,4.66
470,7.597564,2,0.0002814,4.64
480,7.609125,2,0.0002874,4.69
490,7.653649,2,0.0002934,4.71
500,7.674854,1,0.0002994,4.68
510,7.561182,2,0.0003,19.55
520,7.561128,2,0.0003,4.66
530,7.706072,2,0.00029999,4.66
540,7.605358,2,0.00029999,4.65
550,7.560875,2,0.00029998,4.68
560,7.601936,1,0.00029997,4.62
570,7.571953,2,0.00029996,4.76
580,7.579819,1,0.00029995,4.67
590,7.606924,2,0.00029994,4.7
600,7.661416,4,0.00029992,4.67
610,7.621546,1,0.0002999,4.63
620,7.58803,2,0.00029988,4.7
630,7.519484,2,0.00029986,4.69
640,7.610442,1,0.00029984,4.68
650,7.624151,2,0.00029982,4.71
660,7.596091,1,0.00029979,4.69
670,7.56203,2,0.00029977,4.7
680,7.594264,2,0.00029974,4.73
690,7.618655,2,0.00029971,4.71
700,7.624701,1,0.00029968,4.66
710,7.61893,2,0.00029964,4.69
720,7.646981,2,0.00029961,4.67
730,7.578671,1,0.00029957,4.7
740,7.579598,1,0.00029953,4.68
750,7.551823,2,0.00029949,4.67
760,7.588459,2,0.00029945,4.73
770,7.607706,2,0.00029941,4.7
780,7.597084,2,0.00029936,4.72
790,7.690652,2,0.00029932,4.67
800,7.647928,2,0.00029927,4.7
810,7.549915,2,0.00029922,4.67
820,7.569475,2,0.00029917,4.72
830,7.593744,2,0.00029911,4.7
840,7.559465,1,0.00029906,4.7
850,7.557343,2,0.000299,4.68
860,7.518129,1,0.00029894,4.67
870,7.588329,2,0.00029888,4.7
880,7.623556,2,0.00029882,4.64
890,7.494112,1,0.00029876,4.69
900,7.624822,2,0.0002987,4.67
910,7.605342,1,0.00029863,4.66
920,7.608484,2,0.00029856,4.67
930,7.534743,2,0.00029849,4.74
940,7.554433,1,0.00029842,4.65
950,7.571964,1,0.00029835,4.7
960,7.575094,2,0.00029828,4.7
970,7.510451,2,0.0002982,4.74
980,7.582671,1,0.00029812,4.64
990,7.588629,2,0.00029804,4.7
1000,7.579571,2,0.00029796,4.69
1010,7.558947,2,0.00029788,19.65
1020,7.550052,2,0.0002978,4.72
1030,7.569628,1,0.00029771,4.64
1040,7.575182,2,0.00029762,4.69
1050,7.518059,2,0.00029753,4.73
1060,7.522251,2,0.00029744,4.62
1070,7.576838,2,0.00029735,4.69
1080,7.568867,1,0.00029726,4.64
1090,7.566503,2,0.00029716,4.69
1100,7.603773,1,0.00029707,4.69
1110,7.60371,2,0.00029697,4.75
1120,7.467812,2,0.00029687,4.61
1130,7.538254,2,0.00029677,4.7
1140,7.552274,2,0.00029666,4.69
1150,7.580178,2,0.00029656,4.71
1160,7.599499,2,0.00029645,4.63
1170,7.652884,2,0.00029634,4.7
1180,7.639265,2,0.00029623,4.69
1190,7.540996,2,0.00029612,4.71
1200,7.523813,1,0.00029601,4.72
1210,7.60871,2,0.0002959,4.69
1220,7.53504,2,0.00029578,4.69
1230,7.54766,2,0.00029566,4.68
1240,7.572236,2,0.00029554,4.71
1250,7.577929,2,0.00029542,4.73
1260,7.583861,2,0.0002953,4.73
1270,7.538894,2,0.00029518,4.66
1280,7.554704,2,0.00029505,4.69
1290,7.63374,2,0.00029492,4.7
1300,7.524982,1,0.00029479,4.68
1310,7.547201,1,0.00029466,4.68
1320,7.486043,2,0.00029453,4.69
1330,7.520637,2,0.0002944,4.71
1340,7.509467,1,0.00029426,4.67
1350,7.499335,1,0.00029413,4.68
1360,7.616437,2,0.00029399,4.66
1370,7.519458,2,0.00029385,4.66
1380,7.560262,2,0.00029371,4.71
1390,7.549871,2,0.00029356,4.73
1400,7.566039,2,0.00029342,4.64
1410,7.5485,2,0.00029327,4.71
1420,7.525638,2,0.00029313,4.64
1430,7.527093,1,0.00029298,4.7
1440,7.545846,2,0.00029283,4.71
1450,7.617549,1,0.00029267,4.67
1460,7.554226,2,0.00029252,4.67
1470,7.577861,2,0.00029236,4.68
1480,7.536977,1,0.00029221,4.68
1490,7.516984,1,0.00029205,4.67
1500,7.466625,4,0.00029189,4.68
1510,7.598647,2,0.00029173,19.53
1520,7.517913,1,0.00029156,4.69
1530,7.626392,1,0.0002914,4.67
1540,7.522106,2,0.00029123,4.7
1550,7.500443,2,0.00029106,4.7
1560,7.543549,2,0.0002909,4.66
1570,7.536749,2,0.00029072,4.72
1580,7.552592,2,0.00029055,4.71
1590,7.454926,2,0.00029038,4.72
1600,7.522639,2,0.0002902,4.71
1610,7.549516,2,0.00029003,4.71
1620,7.61851,2,0.00028985,4.72
1630,7.540722,1,0.00028967,4.66
1640,7.532989,2,0.00028948,4.68
1650,7.54646,2,0.0002893,4.69
1660,7.526938,2,0.00028912,4.71
1670,7.55732,2,0.00028893,4.66
1680,7.559782,2,0.00028874,4.7
1690,7.557043,2,0.00028855,4.69
1700,7.562365,1,0.00028836,4.66
1710,7.54114,2,0.00028817,4.74
1720,7.543458,2,0.00028798,4.74
1730,7.466788,2,0.00028778,4.72
1740,7.531768,2,0.00028758,4.7
1750,7.496099,1,0.00028739,4.66
1760,7.496582,2,0.00028719,4.76
1770,7.520936,1,0.00028698,4.67
1780,7.538469,1,0.00028678,4.68
1790,7.50238,2,0.00028658,4.74
1800,7.498107,1,0.00028637,4.69
1810,7.570889,1,0.00028616,4.72
1820,7.561115,1,0.00028596,4.67
1830,7.576002,2,0.00028575,4.67
1840,7.510436,2,0.00028553,4.71
1850,7.548547,2,0.00028532,4.79
1860,7.500622,1,0.00028511,4.82
1870,7.556011,1,0.00028489,4.72
1880,7.514117,1,0.00028467,4.68
1890,7.470663,2,0.00028445,4.73
1900,7.501548,1,0.00028423,4.68
1910,7.491514,2,0.00028401,4.69
1920,7.489811,2,0.00028379,4.67
1930,7.550429,1,0.00028356,4.67
1940,7.550046,2,0.00028333,4.66
1950,7.476484,1,0.00028311,4.7
1960,7.561171,1,0.00028288,4.64
1970,7.554346,2,0.00028265,4.67
1980,7.547225,2,0.00028241,4.69
1990,7.522061,2,0.00028218,4.66
2000,7.542906,2,0.00028194,4.67
2010,7.525214,2,0.00028171,19.59
2020,7.560082,1,0.00028147,4.69
2030,7.515698,2,0.00028123,4.73
2040,7.631865,2,0.00028099,4.67
2050,7.477176,2,0.00028075,4.69
2060,7.524531,2,0.0002805,4.68
2070,7.49861,2,0.00028026,4.69
2080,7.508059,2,0.00028001,4.69
2090,7.476071,2,0.00027976,4.71
2100,7.523477,2,0.00027951,4.69
2110,7.506767,2,0.00027926,4.72
