step,train_loss,gradient_norm,q1_residual_rms,injected_noise_rms,bits_used,lr,elapsed_s
10,10.038865,8.23006,0.01710145,0.0,16,5.4e-06,4.75
20,9.600514,6.200849,0.01710148,0.0,16,1.14e-05,4.69
30,9.093097,4.370251,0.01710161,0.0,16,1.74e-05,4.74
40,8.803454,3.743173,0.01710184,0.0,16,2.34e-05,4.67
50,8.624152,3.125395,0.0171021,0.0,16,2.94e-05,4.7
60,8.574922,2.896316,0.01710235,0.0,16,3.54e-05,4.69
70,8.415377,2.432211,0.01710255,0.0,16,4.14e-05,4.69
80,8.327371,2.524211,0.01710273,0.0,16,4.74e-05,4.7
90,8.199847,1.980521,0.01710288,0.0,16,5.34e-05,4.75
100,8.093555,1.969152,0.01710306,0.0,16,5.94e-05,4.68
110,8.055391,1.837894,0.01710329,0.0,16,6.54e-05,4.7
120,7.926282,1.498025,0.01710359,0.0,16,7.14e-05,4.68
130,7.797845,1.459202,0.01710392,0.0,16,7.74e-05,4.69
140,7.737622,1.412389,0.01710431,0.0,16,8.34e-05,4.7
150,7.697098,1.357837,0.01710478,0.0,16,8.94e-05,4.7
160,7.580773,1.308666,0.01710533,0.0,16,9.54e-05,4.7
170,7.598543,1.384935,0.01710597,0.0,16,0.0001014,4.69
180,7.592089,1.260754,0.01710663,0.0,16,0.0001074,4.7
190,7.568251,1.253209,0.01710734,0.0,16,0.0001134,4.7
200,7.599434,1.227917,0.01710806,0.0,16,0.0001194,4.69
210,7.529764,1.141168,0.01710884,0.0,16,0.0001254,4.69
220,7.568875,1.130486,0.01710983,0.0,16,0.0001314,4.71
230,7.58172,1.101034,0.01711096,0.0,16,0.0001374,4.69
240,7.622557,1.33449,0.01711223,0.0,16,0.0001434,4.71
250,7.56398,1.179958,0.0171137,0.0,16,0.0001494,4.68
260,7.611542,1.207694,0.01711541,0.0,16,0.0001554,4.71
270,7.591836,1.018514,0.01711718,0.0,16,0.0001614,4.7
280,7.59198,1.140326,0.01711891,0.0,16,0.0001674,4.75
290,7.593061,1.084232,0.01712074,0.0,16,0.0001734,4.7
300,7.574316,1.145358,0.01712274,0.0,16,0.0001794,4.7
310,7.58729,1.09561,0.01712494,0.0,16,0.0001854,4.69
320,7.512012,1.056436,0.01712747,0.0,16,0.0001914,4.69
330,7.636564,0.994362,0.01713012,0.0,16,0.0001974,4.71
340,7.646308,1.058974,0.01713303,0.0,16,0.0002034,4.69
350,7.607195,1.091693,0.01713594,0.0,16,0.0002094,4.72
360,7.658794,1.028681,0.01713923,0.0,16,0.0002154,4.7
370,7.612768,1.063139,0.01714239,0.0,16,0.0002214,4.7
380,7.632852,1.0414,0.0171456,0.0,16,0.0002274,4.68
390,7.637828,1.063594,0.01714924,0.0,16,0.0002334,4.71
400,7.550605,1.008122,0.01715307,0.0,16,0.0002394,4.69
