step,train_loss,gradient_norm,q1_residual_rms,injected_noise_rms,bits_used,lr,elapsed_s
10,10.092208,9.479278,0.01710145,0.0,1,5.4e-06,5.01
20,9.721815,7.879296,0.01710148,0.0,1,1.14e-05,4.99
30,9.22289,5.140165,0.01710165,0.0,1,1.74e-05,4.97
40,8.891332,4.460032,0.01710202,0.0,1,2.34e-05,4.99
50,8.692851,3.815097,0.01710249,0.0,1,2.94e-05,4.96
60,8.61306,3.684738,0.01710298,0.0,1,3.54e-05,4.99
70,8.442822,3.060229,0.01710342,0.0,1,4.14e-05,4.96
80,8.350982,3.236054,0.01710382,0.0,1,4.74e-05,4.99
90,8.220623,2.607394,0.01710421,0.0,1,5.34e-05,4.97
100,8.113378,2.633896,0.0171046,0.0,1,5.94e-05,4.97
110,8.07557,2.577529,0.01710501,0.0,1,6.54e-05,4.95
120,7.945095,1.982667,0.01710547,0.0,1,7.14e-05,4.99
130,7.814706,1.928701,0.01710603,0.0,1,7.74e-05,4.97
140,7.747824,1.856784,0.01710671,0.0,1,8.34e-05,4.97
150,7.704886,1.73991,0.01710748,0.0,1,8.94e-05,4.97
160,7.586673,1.640739,0.01710834,0.0,1,9.54e-05,4.97
170,7.597733,1.717005,0.01710932,0.0,1,0.0001014,4.97
180,7.589565,1.510046,0.01711032,0.0,1,0.0001074,4.98
190,7.568574,1.491143,0.01711137,0.0,1,0.0001134,5.0
200,7.59967,1.460344,0.01711243,0.0,1,0.0001194,5.0
210,7.52765,1.329232,0.01711357,0.0,1,0.0001254,4.97
220,7.569167,1.31319,0.01711491,0.0,1,0.0001314,4.99
230,7.58204,1.258044,0.01711641,0.0,1,0.0001374,4.97
240,7.625894,1.528629,0.01711818,0.0,1,0.0001434,5.0
250,7.567329,1.315853,0.01712017,0.0,1,0.0001494,4.98
260,7.614002,1.330619,0.0171224,0.0,1,0.0001554,4.99
270,7.594481,1.128215,0.01712474,0.0,1,0.0001614,4.97
280,7.596976,1.239742,0.01712694,0.0,1,0.0001674,4.98
290,7.594222,1.178383,0.01712942,0.0,1,0.0001734,4.98
300,7.574037,1.224137,0.01713221,0.0,1,0.0001794,4.98
310,7.591081,1.17818,0.01713514,0.0,1,0.0001854,4.98
320,7.515236,1.129831,0.01713841,0.0,1,0.0001914,4.98
330,7.638711,1.056783,0.01714173,0.0,1,0.0001974,4.98
340,7.647479,1.120601,0.01714523,0.0,1,0.0002034,5.0
350,7.607972,1.136928,0.01714879,0.0,1,0.0002094,4.98
360,7.659896,1.07393,0.01715285,0.0,1,0.0002154,5.0
370,7.611969,1.110909,0.01715688,0.0,1,0.0002214,4.97
380,7.635975,1.09825,0.01716107,0.0,1,0.0002274,4.98
390,7.638155,1.121061,0.01716546,0.0,1,0.0002334,4.97
400,7.551966,1.052427,0.01716999,0.0,1,0.0002394,4.96
410,7.605631,1.062692,0.01717483,0.0,1,0.0002454,4.96
420,7.557949,0.99334,0.01717981,0.0,1,0.0002514,4.97
430,7.5846,1.033527,0.01718493,0.0,1,0.0002574,4.96
440,7.59734,1.112215,0.01719052,0.0,1,0.0002634,4.98
450,7.571613,1.010946,0.01719657,0.0,1,0.0002694,4.98
460,7.607486,1.1059,0.01720325,0.0,1,0.0002754,4.99
470,7.577145,1.032246,0.01721029,0.0,1,0.0002814,4.96
480,7.584873,1.152225,0.01721767,0.0,1,0.0002874,5.0
490,7.586546,1.168481,0.01722481,0.0,1,0.0002934,4.96
500,7.518494,1.037398,0.0172324,0.0,1,0.0002994,5.01
510,7.618188,1.096657,0.01724025,0.0,1,0.0003,18.77
520,7.730289,1.065175,0.01724847,0.0,1,0.0003,4.98
530,7.561676,1.029341,0.01725589,0.0,1,0.00029999,4.97
540,7.583146,0.931743,0.01726296,0.0,1,0.00029999,4.98
550,7.584977,1.053978,0.01727099,0.0,1,0.00029998,4.96
560,7.629322,1.059411,0.01727949,0.0,1,0.00029997,4.97
570,7.566186,0.973089,0.01728797,0.0,1,0.00029996,4.98
580,7.541892,1.003869,0.01729571,0.0,1,0.00029995,4.99
590,7.592494,1.075153,0.01730344,0.0,1,0.00029994,5.0
600,7.595744,0.874638,0.01731085,0.0,1,0.00029992,4.97
610,7.640319,1.012144,0.01731797,0.0,1,0.0002999,4.99
620,7.600848,0.878933,0.01732566,0.0,1,0.00029988,4.99
630,7.67564,1.045347,0.01733347,0.0,1,0.00029986,4.99
640,7.572554,0.893337,0.01734067,0.0,1,0.00029984,4.98
650,7.587823,0.89802,0.01734799,0.0,1,0.00029982,4.98
660,7.602607,0.954208,0.01735468,0.0,1,0.00029979,4.98
670,7.586566,0.878614,0.01736166,0.0,1,0.00029977,4.98
680,7.565272,0.905806,0.01736899,0.0,1,0.00029974,4.99
690,7.574479,0.941178,0.01737622,0.0,1,0.00029971,5.0
700,7.598899,0.92522,0.01738388,0.0,1,0.00029968,4.99
710,7.585399,0.954439,0.01739075,0.0,1,0.00029964,4.99
720,7.601411,0.90957,0.01739826,0.0,1,0.00029961,5.0
730,7.636696,0.949996,0.01740617,0.0,1,0.00029957,4.97
740,7.609164,0.898513,0.01741397,0.0,1,0.00029953,5.0
750,7.539826,0.880055,0.0174201,0.0,1,0.00029949,4.98
760,7.551249,0.847528,0.01742545,0.0,1,0.00029945,5.01
770,7.596198,0.895444,0.01743102,0.0,1,0.00029941,4.99
780,7.557654,0.88955,0.01743626,0.0,1,0.00029936,4.98
790,7.520459,0.803612,0.01744194,0.0,1,0.00029932,4.98
800,7.484987,0.948899,0.01744817,0.0,1,0.00029927,4.99
810,7.503304,0.861252,0.01745526,0.0,1,0.00029922,4.97
820,7.529228,0.856219,0.01746262,0.0,1,0.00029917,5.0
830,7.590779,0.897552,0.01746943,0.0,1,0.00029911,4.98
840,7.525565,0.936759,0.01747636,0.0,1,0.00029906,4.98
850,7.537243,0.922806,0.01748271,0.0,1,0.000299,4.98
860,7.527668,0.89862,0.01748918,0.0,1,0.00029894,4.97
870,7.567815,0.822934,0.01749684,0.0,1,0.00029888,4.96
880,7.533097,0.859896,0.0175027,0.0,1,0.00029882,4.98
890,7.602217,0.952473,0.01750728,0.0,1,0.00029876,4.96
900,7.486489,0.799763,0.01751297,0.0,1,0.0002987,4.98
910,7.554656,0.821485,0.01751864,0.0,1,0.00029863,4.98
920,7.513719,0.831655,0.01752498,0.0,1,0.00029856,4.98
930,7.545617,0.797941,0.01752989,0.0,1,0.00029849,5.0
940,7.563926,1.010364,0.01753504,0.0,1,0.00029842,5.0
950,7.623064,0.919283,0.01754112,0.0,1,0.00029835,4.97
960,7.609558,0.872964,0.01754724,0.0,1,0.00029828,4.99
970,7.505788,0.796338,0.01755386,0.0,1,0.0002982,4.99
980,7.572147,0.83185,0.0175599,0.0,1,0.00029812,5.0
990,7.58147,0.827955,0.0175664,0.0,1,0.00029804,4.98
1000,7.549097,0.84564,0.01757224,0.0,1,0.00029796,4.99
1010,7.505195,0.817014,0.01757708,0.0,1,0.00029788,18.78
1020,7.560298,0.814854,0.01758194,0.0,1,0.0002978,4.96
1030,7.494923,0.795321,0.01758747,0.0,1,0.00029771,5.0
1040,7.561701,0.871566,0.01759361,0.0,1,0.00029762,4.96
1050,7.590279,0.911737,0.01759943,0.0,1,0.00029753,4.97
1060,7.564493,0.801808,0.0176064,0.0,1,0.00029744,4.97
1070,7.542647,0.76167,0.01761221,0.0,1,0.00029735,4.98
1080,7.523178,0.76138,0.01761732,0.0,1,0.00029726,4.97
1090,7.553489,0.79222,0.01762236,0.0,1,0.00029716,4.97
1100,7.546973,0.788255,0.01762799,0.0,1,0.00029707,4.97
1110,7.545838,0.860226,0.01763378,0.0,1,0.00029697,4.98
