step,train_loss,gradient_norm,q1_residual_rms,injected_noise_rms,bits_used,lr,elapsed_s
10,10.107002,8.461284,0.01710145,0.01710242,16,5.4e-06,5.38
20,9.933963,7.657557,0.01710146,0.01710132,16,1.14e-05,5.33
30,9.667439,6.545517,0.0171015,0.01710101,16,1.74e-05,5.35
40,9.316267,5.173548,0.01710163,0.01710099,16,2.34e-05,5.32
50,9.047072,3.98652,0.01710187,0.01710172,16,2.94e-05,5.34
60,8.898798,2.965188,0.01710224,0.01710216,16,3.54e-05,5.33
70,8.685682,2.410097,0.0171027,0.01710436,16,4.14e-05,5.33
80,8.546609,2.191634,0.01710329,0.01710512,16,4.74e-05,5.34
90,8.39577,1.757636,0.01710393,0.0171041,16,5.34e-05,5.31
100,8.279536,1.806105,0.01710461,0.01710508,16,5.94e-05,5.31
110,8.218776,1.534123,0.01710536,0.01710638,16,6.54e-05,5.3
120,8.065549,1.296764,0.01710618,0.01710633,16,7.14e-05,5.33
130,7.917398,1.357937,0.01710712,0.01710593,16,7.74e-05,5.29
140,7.836906,1.27525,0.0171081,0.01710729,16,8.34e-05,5.33
150,7.772887,1.327226,0.01710915,0.0171095,16,8.94e-05,5.33
160,7.635527,1.288094,0.01711032,0.0171099,16,9.54e-05,5.33
170,7.637545,1.415895,0.01711151,0.01711373,16,0.0001014,5.32
180,7.622294,1.260448,0.01711274,0.01711149,16,0.0001074,5.34
190,7.586223,1.194814,0.01711405,0.01711467,16,0.0001134,5.34
200,7.612625,1.23118,0.01711538,0.01711555,16,0.0001194,5.33
210,7.538777,1.108555,0.01711676,0.01711555,16,0.0001254,5.34
220,7.565374,1.055703,0.0171183,0.01711764,16,0.0001314,5.33
230,7.579532,1.06577,0.01711993,0.01712009,16,0.0001374,5.33
240,7.611108,1.266434,0.0171217,0.01712154,16,0.0001434,5.33
250,7.559594,1.19234,0.01712363,0.01712282,16,0.0001494,5.38
260,7.608789,1.17302,0.01712566,0.01712487,16,0.0001554,5.31
270,7.587219,1.019638,0.01712793,0.01713005,16,0.0001614,5.32
280,7.587689,1.091174,0.01713026,0.01713008,16,0.0001674,5.31
290,7.588262,1.051164,0.01713275,0.01713232,16,0.0001734,5.34
300,7.565939,1.132407,0.01713537,0.01713478,16,0.0001794,5.31
310,7.586449,1.10852,0.01713816,0.01713837,16,0.0001854,5.3
320,7.511848,1.092748,0.01714132,0.0171414,16,0.0001914,5.32
330,7.638453,1.015915,0.01714469,0.01714556,16,0.0001974,5.34
340,7.644891,1.08049,0.01714815,0.01714707,16,0.0002034,5.31
350,7.605341,1.086171,0.01715174,0.01715164,16,0.0002094,5.3
360,7.656464,1.022453,0.01715568,0.01715558,16,0.0002154,5.37
370,7.614695,1.102632,0.01715989,0.01715999,16,0.0002214,5.34
380,7.631993,1.053314,0.01716419,0.01716353,16,0.0002274,5.34
390,7.632988,1.034335,0.01716884,0.01716762,16,0.0002334,5.32
400,7.551227,1.027722,0.01717352,0.01717232,16,0.0002394,5.32
410,7.602732,1.004722,0.01717867,0.01717885,16,0.0002454,5.32
420,7.559961,0.947199,0.01718401,0.01718379,16,0.0002514,5.33
430,7.585929,1.005462,0.01718984,0.01718874,16,0.0002574,5.29
440,7.59649,1.094783,0.01719602,0.01719251,16,0.0002634,5.33
450,7.574476,0.996313,0.01720241,0.01720227,16,0.0002694,5.32
460,7.611585,1.084811,0.01720884,0.01720697,16,0.0002754,5.33
470,7.578493,0.995571,0.01721568,0.01721445,16,0.0002814,5.3
480,7.589149,1.132743,0.01722286,0.01722205,16,0.0002874,5.35
490,7.59333,1.180819,0.01723035,0.0172278,16,0.0002934,5.31
500,7.523646,1.048379,0.01723818,0.01723702,16,0.0002994,5.34
510,7.622753,1.076002,0.01724591,0.01724495,16,0.0003,16.44
520,7.739164,1.058523,0.01725417,0.0172529,16,0.0003,5.3
530,7.564533,1.025912,0.01726259,0.01726183,16,0.00029999,5.34
540,7.590146,0.922912,0.01727081,0.01726851,16,0.00029999,5.33
550,7.592148,1.045526,0.0172793,0.01727796,16,0.00029998,5.33
560,7.632768,1.026943,0.0172876,0.01728788,16,0.00029997,5.33
570,7.569247,0.956326,0.01729573,0.01729479,16,0.00029996,5.35
580,7.544718,1.003998,0.01730352,0.01730212,16,0.00029995,5.32
590,7.595167,1.074961,0.01731163,0.01731092,16,0.00029994,5.34
600,7.59881,0.861514,0.0173197,0.01731886,16,0.00029992,5.34
610,7.64214,0.998667,0.01732742,0.01732653,16,0.0002999,5.32
620,7.606472,0.8726,0.01733526,0.01733466,16,0.00029988,5.33
630,7.677076,1.02998,0.01734355,0.01734368,16,0.00029986,5.34
640,7.57843,0.884505,0.01735152,0.01735103,16,0.00029984,5.33
650,7.592926,0.89783,0.01735941,0.01735752,16,0.00029982,5.31
660,7.610337,0.956066,0.0173667,0.01736775,16,0.00029979,5.31
670,7.590964,0.880407,0.01737432,0.0173732,16,0.00029977,5.32
680,7.570423,0.901292,0.01738195,0.01738186,16,0.00029974,5.34
690,7.583442,0.933954,0.01738956,0.01738867,16,0.00029971,5.32
700,7.608494,0.919562,0.01739701,0.01739454,16,0.00029968,5.33
710,7.595337,0.960076,0.01740399,0.01740258,16,0.00029964,5.33
720,7.608249,0.891325,0.01741119,0.01741032,16,0.00029961,5.34
730,7.644453,0.94615,0.01741845,0.01741839,16,0.00029957,5.33
740,7.614576,0.892906,0.0174258,0.01742573,16,0.00029953,5.34
750,7.544156,0.885893,0.01743298,0.0174329,16,0.00029949,5.33
760,7.557874,0.845325,0.01743978,0.01744019,16,0.00029945,5.34
770,7.600318,0.898144,0.01744644,0.01744455,16,0.00029941,5.33
780,7.563981,0.89292,0.01745316,0.01745152,16,0.00029936,5.33
790,7.524948,0.806521,0.01746032,0.01745964,16,0.00029932,5.36
800,7.493394,0.947171,0.01746739,0.01746741,16,0.00029927,5.32
810,7.509228,0.853107,0.0174746,0.01747427,16,0.00029922,5.34
820,7.535629,0.854874,0.01748168,0.01748023,16,0.00029917,5.32
830,7.59888,0.899125,0.01748789,0.01748575,16,0.00029911,5.33
840,7.531319,0.945918,0.01749487,0.01749601,16,0.00029906,5.32
850,7.542596,0.930119,0.0175019,0.01750187,16,0.000299,5.34
860,7.533466,0.907656,0.01750848,0.01750782,16,0.00029894,5.33
870,7.575983,0.82863,0.0175157,0.01751711,16,0.00029888,5.33
