step,train_loss,gradient_norm,q1_residual_rms,injected_noise_rms,bits_used,lr,elapsed_s
10,10.114256,8.511712,0.01710145,0.01710199,16,5.4e-06,5.32
20,9.946264,7.785701,0.01710146,0.0171015,16,1.14e-05,5.24
30,9.678664,6.578178,0.0171015,0.01710085,16,1.74e-05,5.26
40,9.316253,5.178877,0.01710163,0.01710071,16,2.34e-05,5.29
50,9.046226,4.018685,0.01710187,0.01710218,16,2.94e-05,5.24
60,8.896334,2.944021,0.01710224,0.01710247,16,3.54e-05,5.26
70,8.687205,2.447382,0.01710271,0.01710362,16,4.14e-05,5.25
80,8.5467,2.223191,0.01710329,0.01710389,16,4.74e-05,5.29
90,8.399111,1.7919,0.01710393,0.01710451,16,5.34e-05,5.26
100,8.279149,1.79693,0.01710461,0.0171047,16,5.94e-05,5.27
110,8.220947,1.538413,0.01710536,0.01710643,16,6.54e-05,5.26
120,8.067975,1.325935,0.0171062,0.01710587,16,7.14e-05,5.27
130,7.917758,1.358968,0.01710714,0.01710605,16,7.74e-05,5.28
140,7.837412,1.271636,0.01710813,0.01710793,16,8.34e-05,5.25
150,7.772829,1.326339,0.01710919,0.01710897,16,8.94e-05,5.26
160,7.635783,1.293966,0.01711035,0.01711005,16,9.54e-05,5.26
170,7.638749,1.426059,0.01711156,0.01711263,16,0.0001014,5.26
180,7.622968,1.257036,0.01711279,0.01711208,16,0.0001074,5.27
190,7.587031,1.194695,0.01711411,0.01711497,16,0.0001134,5.26
200,7.611997,1.231496,0.01711544,0.01711593,16,0.0001194,5.27
210,7.539238,1.107146,0.01711681,0.01711592,16,0.0001254,5.27
220,7.565275,1.056124,0.01711833,0.01711786,16,0.0001314,5.24
230,7.580202,1.060884,0.01711996,0.01712015,16,0.0001374,5.26
240,7.611452,1.259713,0.01712174,0.01712112,16,0.0001434,5.27
250,7.561012,1.195004,0.01712368,0.01712328,16,0.0001494,5.26
260,7.608177,1.164871,0.01712573,0.01712543,16,0.0001554,5.24
270,7.587563,1.024368,0.01712799,0.01712918,16,0.0001614,5.28
280,7.588446,1.105649,0.01713033,0.01713031,16,0.0001674,5.26
290,7.58852,1.046923,0.01713282,0.01713184,16,0.0001734,5.25
300,7.565895,1.124429,0.01713544,0.01713488,16,0.0001794,5.26
310,7.586878,1.105232,0.01713822,0.01713808,16,0.0001854,5.29
320,7.51167,1.088741,0.0171414,0.01714108,16,0.0001914,5.25
330,7.637892,1.014732,0.01714478,0.01714536,16,0.0001974,5.28
340,7.645329,1.084169,0.01714824,0.01714784,16,0.0002034,5.27
350,7.606549,1.092357,0.01715186,0.01715175,16,0.0002094,5.27
360,7.656794,1.018587,0.01715581,0.01715493,16,0.0002154,5.27
370,7.614508,1.10009,0.01716007,0.01716009,16,0.0002214,5.24
380,7.632434,1.060066,0.01716439,0.0171634,16,0.0002274,5.26
390,7.632693,1.037014,0.01716902,0.01716842,16,0.0002334,5.26
400,7.550732,1.029423,0.0171737,0.01717295,16,0.0002394,5.26
410,7.602981,1.01048,0.01717888,0.01717924,16,0.0002454,5.27
420,7.559989,0.945625,0.0171843,0.01718419,16,0.0002514,5.29
430,7.585249,1.003485,0.01719021,0.01718898,16,0.0002574,5.25
440,7.595981,1.094039,0.01719641,0.01719436,16,0.0002634,5.26
450,7.573838,0.991692,0.01720283,0.01720281,16,0.0002694,5.24
460,7.611177,1.084465,0.01720929,0.01720773,16,0.0002754,5.27
470,7.578409,0.993556,0.01721619,0.01721481,16,0.0002814,5.26
480,7.588728,1.126348,0.01722341,0.01722278,16,0.0002874,5.27
490,7.593631,1.180873,0.01723088,0.01722893,16,0.0002934,5.25
500,7.523634,1.049827,0.01723869,0.01723756,16,0.0002994,5.28
510,7.622632,1.075301,0.01724649,0.01724566,16,0.0003,16.32
520,7.739469,1.055822,0.01725486,0.01725368,16,0.0003,5.29
530,7.564059,1.024228,0.01726328,0.01726251,16,0.00029999,5.25
540,7.589839,0.922727,0.01727137,0.01726946,16,0.00029999,5.27
550,7.591797,1.043732,0.01727984,0.01727886,16,0.00029998,5.29
560,7.632721,1.032744,0.0172881,0.01728797,16,0.00029997,5.26
570,7.569466,0.960229,0.01729617,0.01729531,16,0.00029996,5.25
580,7.544663,1.005938,0.01730387,0.01730322,16,0.00029995,5.25
590,7.595024,1.072053,0.01731193,0.0173107,16,0.00029994,5.27
600,7.598865,0.863897,0.01731999,0.01731939,16,0.00029992,5.26
610,7.642169,0.99895,0.01732778,0.01732661,16,0.0002999,5.26
620,7.6064,0.87093,0.01733568,0.01733532,16,0.00029988,5.26
630,7.67699,1.029727,0.01734399,0.01734378,16,0.00029986,5.28
640,7.578471,0.884298,0.0173519,0.0173517,16,0.00029984,5.26
650,7.592957,0.898645,0.01735965,0.01735844,16,0.00029982,5.29
660,7.610282,0.956492,0.01736682,0.01736705,16,0.00029979,5.26
670,7.590876,0.879134,0.01737445,0.01737287,16,0.00029977,5.28
680,7.570509,0.90103,0.01738218,0.01738138,16,0.00029974,5.27
690,7.583351,0.933675,0.01738989,0.0173892,16,0.00029971,5.27
700,7.608884,0.921027,0.01739739,0.01739585,16,0.00029968,5.27
710,7.595126,0.958495,0.01740439,0.01740326,16,0.00029964,5.3
720,7.608397,0.892661,0.01741161,0.01741118,16,0.00029961,5.24
730,7.644638,0.946569,0.0174189,0.01741833,16,0.00029957,5.28
740,7.614859,0.894344,0.01742645,0.01742661,16,0.00029953,5.29
750,7.544135,0.884614,0.01743378,0.01743342,16,0.00029949,5.27
760,7.557813,0.845483,0.01744065,0.01744047,16,0.00029945,5.28
770,7.600177,0.896959,0.01744734,0.01744604,16,0.00029941,5.26
780,7.563895,0.890052,0.01745396,0.01745311,16,0.00029936,5.27
