step,train_loss,gradient_norm,q1_residual_rms,injected_noise_rms,bits_used,lr,elapsed_s
10,10.010422,7.544796,0.01710306,0.0,16,5.4e-06,4.7
20,9.56025,5.690362,0.0171031,0.0,16,1.14e-05,4.59
30,9.043427,3.872864,0.01710326,0.0,16,1.74e-05,4.59
40,8.852488,3.098772,0.0171035,0.0,16,2.34e-05,4.58
50,8.705179,3.114697,0.01710377,0.0,16,2.94e-05,4.59
60,8.559582,3.007718,0.01710402,0.0,16,3.54e-05,4.57
70,8.501691,2.325965,0.01710424,0.0,16,4.14e-05,4.6
80,8.290812,2.101162,0.01710441,0.0,16,4.74e-05,4.59
90,8.2423,1.966494,0.01710458,0.0,16,5.34e-05,4.59
100,8.065264,1.801141,0.01710475,0.0,16,5.94e-05,4.61
110,8.010233,1.662915,0.01710498,0.0,16,6.54e-05,4.57
120,7.861623,1.646655,0.01710525,0.0,16,7.14e-05,4.59
130,7.806216,1.409543,0.01710552,0.0,16,7.74e-05,4.6
140,7.763674,1.465852,0.01710586,0.0,16,8.34e-05,4.59
150,7.648517,1.24975,0.01710628,0.0,16,8.94e-05,4.58
160,7.615908,1.247466,0.01710673,0.0,16,9.54e-05,4.59
170,7.560181,1.156535,0.01710724,0.0,16,0.0001014,4.59
180,7.614818,1.377288,0.01710776,0.0,16,0.0001074,4.6
190,7.595009,1.228471,0.0171084,0.0,16,0.0001134,4.6
200,7.549738,1.137008,0.01710918,0.0,16,0.0001194,4.6
210,7.573267,1.068764,0.01711014,0.0,16,0.0001254,4.6
220,7.544635,1.136851,0.0171112,0.0,16,0.0001314,4.59
230,7.598477,1.169941,0.01711242,0.0,16,0.0001374,4.6
240,7.506231,1.223161,0.01711375,0.0,16,0.0001434,4.58
250,7.551911,1.126181,0.01711521,0.0,16,0.0001494,4.59
260,7.523405,1.031568,0.01711674,0.0,16,0.0001554,4.59
270,7.58386,1.156148,0.01711823,0.0,16,0.0001614,4.59
280,7.576057,1.139831,0.01711972,0.0,16,0.0001674,4.6
290,7.540159,1.015053,0.01712159,0.0,16,0.0001734,4.6
300,7.626508,1.04357,0.01712371,0.0,16,0.0001794,4.6
310,7.580147,1.114287,0.01712593,0.0,16,0.0001854,4.6
320,7.633025,0.989491,0.01712835,0.0,16,0.0001914,4.58
330,7.610564,1.020305,0.01713108,0.0,16,0.0001974,4.6
340,7.645687,1.24895,0.01713375,0.0,16,0.0002034,4.61
350,7.601339,1.113501,0.01713674,0.0,16,0.0002094,4.59
360,7.574822,1.003399,0.01714021,0.0,16,0.0002154,4.59
370,7.593818,1.178819,0.01714399,0.0,16,0.0002214,4.58
380,7.575764,1.023332,0.01714769,0.0,16,0.0002274,4.6
390,7.605642,1.052214,0.01715161,0.0,16,0.0002334,4.59
400,7.629889,1.04059,0.01715582,0.0,16,0.0002394,4.6
410,7.559435,1.028208,0.01716017,0.0,16,0.0002454,4.58
420,7.606516,0.972781,0.01716477,0.0,16,0.0002514,4.61
430,7.576725,0.972716,0.01716941,0.0,16,0.0002574,4.58
440,7.640198,1.054465,0.01717468,0.0,16,0.0002634,4.59
450,7.596682,1.064544,0.0171801,0.0,16,0.0002694,4.58
460,7.618115,1.019088,0.01718552,0.0,16,0.0002754,4.59
470,7.587448,1.122039,0.01719113,0.0,16,0.0002814,4.61
480,7.567448,1.044284,0.01719664,0.0,16,0.0002874,4.57
490,7.629897,1.060076,0.01720235,0.0,16,0.0002934,4.61
500,7.56977,1.020931,0.01720843,0.0,16,0.0002994,4.58
510,7.601704,0.937254,0.01721492,0.0,16,0.0003,15.41
520,7.614577,0.968687,0.01722182,0.0,16,0.0003,4.59
530,7.542263,1.044551,0.01722932,0.0,16,0.00029999,4.6
540,7.589479,0.960719,0.01723678,0.0,16,0.00029999,4.59
550,7.625378,0.951548,0.01724335,0.0,16,0.00029998,4.59
560,7.61148,0.993933,0.01724988,0.0,16,0.00029997,4.58
570,7.561728,1.114861,0.01725718,0.0,16,0.00029996,4.61
580,7.559766,1.039197,0.01726496,0.0,16,0.00029995,4.59
590,7.599035,0.88825,0.01727263,0.0,16,0.00029994,4.58
600,7.655867,0.977601,0.01727983,0.0,16,0.00029992,4.6
610,7.621434,0.939064,0.01728698,0.0,16,0.0002999,4.58
620,7.558416,0.96908,0.017294,0.0,16,0.00029988,4.58
630,7.53319,0.838808,0.01730065,0.0,16,0.00029986,4.58
640,7.594567,0.917301,0.01730662,0.0,16,0.00029984,4.59
650,7.66383,0.877611,0.01731271,0.0,16,0.00029982,4.59
660,7.593095,0.880181,0.01731917,0.0,16,0.00029979,4.59
670,7.629544,0.838589,0.01732519,0.0,16,0.00029977,4.58
680,7.597738,0.842447,0.01733147,0.0,16,0.00029974,4.59
690,7.573172,0.950153,0.01733806,0.0,16,0.00029971,4.58
700,7.560635,0.911885,0.01734545,0.0,16,0.00029968,4.62
710,7.491089,1.077179,0.01735303,0.0,16,0.00029964,4.62
720,7.562593,1.005645,0.01736084,0.0,16,0.00029961,4.61
730,7.542416,0.944578,0.01736733,0.0,16,0.00029957,4.61
740,7.562977,0.868744,0.01737345,0.0,16,0.00029953,4.61
750,7.495257,0.984902,0.01737964,0.0,16,0.00029949,4.6
760,7.596026,0.887919,0.01738515,0.0,16,0.00029945,4.6
