step,train_loss,gradient_norm,q1_residual_rms,injected_noise_rms,bits_used,lr,elapsed_s
10,10.154183,7.898078,0.01710306,0.0,1,5.4e-06,4.89
20,9.777162,6.945856,0.01710311,0.0,1,1.14e-05,4.9
30,9.267376,5.056252,0.01710333,0.0,1,1.74e-05,4.86
40,8.990406,3.633567,0.01710378,0.0,1,2.34e-05,4.88
50,8.804409,3.906068,0.01710432,0.0,1,2.94e-05,4.87
60,8.636861,3.724872,0.01710487,0.0,1,3.54e-05,4.87
70,8.549567,2.990452,0.01710541,0.0,1,4.14e-05,4.87
80,8.329981,2.79145,0.0171059,0.0,1,4.74e-05,4.88
90,8.276095,2.655287,0.01710634,0.0,1,5.34e-05,4.86
100,8.093757,2.405951,0.01710675,0.0,1,5.94e-05,4.88
110,8.031238,2.222914,0.0171072,0.0,1,6.54e-05,4.87
120,7.885796,2.218044,0.01710769,0.0,1,7.14e-05,4.9
130,7.821889,1.82025,0.01710817,0.0,1,7.74e-05,4.85
140,7.768321,1.917602,0.01710875,0.0,1,8.34e-05,4.88
150,7.649659,1.571969,0.01710941,0.0,1,8.94e-05,4.87
160,7.622351,1.58317,0.01711012,0.0,1,9.54e-05,4.87
170,7.56063,1.442962,0.01711092,0.0,1,0.0001014,4.87
180,7.617072,1.682103,0.01711177,0.0,1,0.0001074,4.86
190,7.593051,1.483089,0.01711279,0.0,1,0.0001134,4.87
200,7.549321,1.37083,0.01711398,0.0,1,0.0001194,4.85
210,7.574347,1.253483,0.01711526,0.0,1,0.0001254,4.88
220,7.544083,1.307517,0.01711669,0.0,1,0.0001314,4.86
230,7.598604,1.328686,0.01711829,0.0,1,0.0001374,4.88
240,7.507957,1.383998,0.0171199,0.0,1,0.0001434,4.86
250,7.551153,1.25544,0.01712165,0.0,1,0.0001494,4.87
260,7.523576,1.133326,0.01712344,0.0,1,0.0001554,4.86
270,7.588979,1.281899,0.01712544,0.0,1,0.0001614,4.88
280,7.578765,1.24913,0.01712749,0.0,1,0.0001674,4.86
290,7.543919,1.103163,0.0171298,0.0,1,0.0001734,4.86
300,7.630576,1.140924,0.01713228,0.0,1,0.0001794,4.86
310,7.581831,1.190269,0.01713501,0.0,1,0.0001854,4.88
320,7.637502,1.073187,0.01713789,0.0,1,0.0001914,4.85
330,7.612603,1.090815,0.01714104,0.0,1,0.0001974,4.87
340,7.645654,1.332964,0.01714416,0.0,1,0.0002034,4.85
350,7.603351,1.182619,0.01714771,0.0,1,0.0002094,4.87
360,7.574989,1.064238,0.01715185,0.0,1,0.0002154,4.83
