step,train_loss,gradient_norm,q1_residual_rms,injected_noise_rms,bits_used,lr,elapsed_s
10,10.14277,8.358268,0.01710146,0.01710192,16,5.4e-06,5.27
20,9.976886,7.811249,0.01710148,0.0171015,16,1.14e-05,5.2
30,9.638561,6.531529,0.01710154,0.01710248,16,1.74e-05,5.21
40,9.287756,4.947005,0.01710167,0.01710257,16,2.34e-05,5.19
50,9.048182,3.584668,0.01710191,0.01710115,16,2.94e-05,5.2
60,8.846364,2.831789,0.01710225,0.01710109,16,3.54e-05,5.19
70,8.698371,2.34843,0.01710269,0.01710277,16,4.14e-05,5.19
80,8.54851,2.131739,0.01710321,0.01710241,16,4.74e-05,5.19
90,8.396935,2.02743,0.01710378,0.01710557,16,5.34e-05,5.21
100,8.293715,1.615318,0.01710444,0.01710394,16,5.94e-05,5.22
110,8.198153,1.500097,0.01710517,0.0171062,16,6.54e-05,5.21
120,8.034047,1.452089,0.01710595,0.01710574,16,7.14e-05,5.22
130,7.926064,1.345436,0.01710682,0.0171062,16,7.74e-05,5.19
140,7.867153,1.350547,0.0171078,0.01710685,16,8.34e-05,5.21
150,7.726222,1.120585,0.01710882,0.0171092,16,8.94e-05,5.19
160,7.689993,1.375334,0.01710989,0.01711008,16,9.54e-05,5.2
170,7.639464,1.357011,0.01711108,0.01710998,16,0.0001014,5.19
180,7.58032,1.179076,0.01711231,0.01711175,16,0.0001074,5.21
190,7.587221,1.293443,0.0171136,0.01711529,16,0.0001134,5.19
200,7.62204,1.127609,0.01711494,0.01711537,16,0.0001194,5.21
210,7.618316,1.201533,0.01711639,0.0171159,16,0.0001254,5.17
220,7.524819,1.10118,0.01711787,0.01711808,16,0.0001314,5.2
230,7.590144,1.135356,0.01711952,0.01711929,16,0.0001374,5.2
240,7.598756,1.132987,0.0171213,0.01712194,16,0.0001434,5.22
250,7.560837,1.143487,0.01712322,0.01712387,16,0.0001494,5.2
260,7.596228,1.189537,0.01712531,0.01712347,16,0.0001554,5.19
270,7.58623,1.286112,0.01712741,0.01712844,16,0.0001614,5.2
280,7.573841,1.052024,0.01712961,0.01712961,16,0.0001674,5.21
290,7.653424,1.091822,0.01713205,0.01713173,16,0.0001734,5.18
300,7.632759,1.104812,0.01713461,0.01713476,16,0.0001794,5.19
310,7.579201,1.046061,0.01713752,0.01713652,16,0.0001854,5.19
320,7.598847,1.092302,0.0171407,0.01714039,16,0.0001914,5.19
330,7.647414,1.074665,0.0171441,0.0171427,16,0.0001974,5.2
340,7.596198,1.073929,0.01714751,0.01714864,16,0.0002034,5.2
350,7.596225,1.102261,0.01715104,0.01715006,16,0.0002094,5.21
360,7.58878,1.02076,0.01715467,0.01715193,16,0.0002154,5.21
370,7.544796,1.257403,0.01715861,0.01715834,16,0.0002214,5.22
380,7.547388,0.990829,0.01716278,0.01716168,16,0.0002274,5.21
390,7.555584,1.035845,0.01716725,0.01716536,16,0.0002334,5.2
400,7.577626,1.053939,0.01717208,0.01717162,16,0.0002394,5.2
410,7.51813,1.032718,0.01717699,0.01717526,16,0.0002454,5.21
420,7.581696,0.957692,0.0171821,0.01718176,16,0.0002514,5.21
430,7.603827,1.12533,0.01718756,0.01718674,16,0.0002574,5.2
440,7.578353,0.999126,0.01719297,0.01719127,16,0.0002634,5.2
450,7.637315,0.952537,0.0171988,0.01719881,16,0.0002694,5.21
460,7.569159,1.018644,0.01720496,0.0172025,16,0.0002754,5.2
470,7.57183,0.98736,0.0172114,0.01720956,16,0.0002814,5.22
480,7.572953,1.080644,0.01721849,0.01721867,16,0.0002874,5.2
490,7.534593,1.028898,0.01722552,0.01722558,16,0.0002934,5.21
500,7.608279,0.971135,0.0172332,0.017231,16,0.0002994,5.2
510,7.612224,0.970367,0.01724118,0.01724088,16,0.0003,16.07
520,7.562337,0.97802,0.01724876,0.01724832,16,0.0003,5.21
530,7.555226,1.078856,0.01725678,0.01725486,16,0.00029999,5.21
