step,train_loss,gradient_norm,q1_residual_rms,injected_noise_rms,bits_used,lr,elapsed_s
10,10.136665,8.426238,0.01710146,0.01710207,16,5.4e-06,5.19
20,9.96999,7.683744,0.01710148,0.01710159,16,1.14e-05,5.16
30,9.645715,6.635927,0.01710154,0.01710237,16,1.74e-05,5.15
40,9.290575,4.929751,0.01710167,0.01710191,16,2.34e-05,5.14
50,9.051127,3.630167,0.01710191,0.01710103,16,2.94e-05,5.15
60,8.852481,2.847264,0.01710226,0.01710188,16,3.54e-05,5.17
70,8.695856,2.346645,0.01710269,0.01710264,16,4.14e-05,5.13
80,8.544603,2.112528,0.01710322,0.01710257,16,4.74e-05,5.15
90,8.396823,2.035571,0.01710379,0.0171048,16,5.34e-05,5.16
100,8.290118,1.582204,0.01710443,0.01710378,16,5.94e-05,5.15
110,8.198381,1.494641,0.01710516,0.01710637,16,6.54e-05,5.14
120,8.030559,1.430063,0.01710594,0.01710668,16,7.14e-05,5.15
130,7.924113,1.345427,0.0171068,0.01710608,16,7.74e-05,5.12
140,7.866284,1.35302,0.01710776,0.01710705,16,8.34e-05,5.15
150,7.725058,1.115117,0.01710878,0.01710911,16,8.94e-05,5.14
160,7.690222,1.381221,0.01710984,0.01710941,16,9.54e-05,5.14
170,7.640043,1.357075,0.01711102,0.01711059,16,0.0001014,5.14
180,7.579643,1.174504,0.01711225,0.01711181,16,0.0001074,5.16
190,7.587053,1.287646,0.01711354,0.01711486,16,0.0001134,5.14
200,7.623293,1.140137,0.01711488,0.01711515,16,0.0001194,5.17
210,7.61733,1.18911,0.01711635,0.01711577,16,0.0001254,5.14
220,7.525843,1.115678,0.01711783,0.01711761,16,0.0001314,5.14
230,7.589484,1.1432,0.01711948,0.01711896,16,0.0001374,5.14
240,7.599514,1.137327,0.01712125,0.01712137,16,0.0001434,5.15
250,7.561252,1.146644,0.01712317,0.01712351,16,0.0001494,5.15
260,7.596454,1.189746,0.01712525,0.01712445,16,0.0001554,5.17
270,7.58569,1.287843,0.01712735,0.01712818,16,0.0001614,5.15
280,7.572975,1.046344,0.01712956,0.01712895,16,0.0001674,5.16
