step,train_loss,gradient_norm,q1_residual_rms,injected_noise_rms,bits_used,lr,elapsed_s
10,10.128293,7.842149,0.01710558,0.0,16,5.4e-06,4.68
20,9.702199,6.120357,0.01710562,0.0,16,1.14e-05,4.66
30,9.113868,4.112159,0.01710578,0.0,16,1.74e-05,4.65
40,8.814493,3.215437,0.01710605,0.0,16,2.34e-05,4.68
50,8.658228,3.392578,0.01710633,0.0,16,2.94e-05,4.65
60,8.59205,2.636829,0.01710655,0.0,16,3.54e-05,4.67
70,8.445245,2.584692,0.01710672,0.0,16,4.14e-05,4.67
80,8.354347,2.194815,0.01710687,0.0,16,4.74e-05,4.65
90,8.230825,2.11301,0.01710703,0.0,16,5.34e-05,4.65
100,8.106428,1.909806,0.01710719,0.0,16,5.94e-05,4.63
110,7.987794,1.788907,0.01710743,0.0,16,6.54e-05,4.66
120,7.829494,1.656359,0.01710772,0.0,16,7.14e-05,4.65
130,7.798778,1.626886,0.01710806,0.0,16,7.74e-05,4.64
140,7.704982,1.62868,0.01710846,0.0,16,8.34e-05,4.65
150,7.712108,1.600773,0.01710893,0.0,16,8.94e-05,4.66
160,7.642505,1.310377,0.01710948,0.0,16,9.54e-05,4.66
170,7.643292,1.234305,0.01711007,0.0,16,0.0001014,4.68
180,7.599235,1.079611,0.01711068,0.0,16,0.0001074,4.66
190,7.588605,1.155103,0.01711132,0.0,16,0.0001134,4.67
200,7.557166,1.158209,0.01711203,0.0,16,0.0001194,4.66
210,7.509905,1.033762,0.01711276,0.0,16,0.0001254,4.64
220,7.564482,1.206738,0.0171137,0.0,16,0.0001314,4.64
230,7.52543,1.174878,0.01711475,0.0,16,0.0001374,4.66
240,7.57986,1.139838,0.01711584,0.0,16,0.0001434,4.66
250,7.602648,1.138586,0.01711708,0.0,16,0.0001494,4.65
260,7.566599,1.045071,0.01711851,0.0,16,0.0001554,4.63
270,7.644611,1.05054,0.01712013,0.0,16,0.0001614,4.67
280,7.613314,1.035717,0.01712169,0.0,16,0.0001674,4.66
290,7.621227,1.029248,0.01712344,0.0,16,0.0001734,4.64
300,7.608392,0.954928,0.01712517,0.0,16,0.0001794,4.67
310,7.546855,1.09634,0.01712715,0.0,16,0.0001854,4.65
320,7.596814,1.190314,0.01712962,0.0,16,0.0001914,4.65
330,7.583969,1.179468,0.01713249,0.0,16,0.0001974,4.65
340,7.549823,1.019452,0.01713538,0.0,16,0.0002034,4.67
350,7.615088,1.011794,0.01713819,0.0,16,0.0002094,4.66
360,7.581278,1.038062,0.01714097,0.0,16,0.0002154,4.67
370,7.607135,1.112134,0.01714383,0.0,16,0.0002214,4.66
380,7.626998,1.125973,0.01714711,0.0,16,0.0002274,4.66
390,7.611214,1.046954,0.01715068,0.0,16,0.0002334,4.67
400,7.631691,1.058888,0.01715469,0.0,16,0.0002394,4.66
410,7.587864,0.941663,0.01715895,0.0,16,0.0002454,4.66
420,7.605792,1.061505,0.01716315,0.0,16,0.0002514,4.65
430,7.59746,1.000498,0.01716761,0.0,16,0.0002574,4.64
440,7.602872,1.099303,0.01717255,0.0,16,0.0002634,4.64
450,7.625048,1.092588,0.01717796,0.0,16,0.0002694,4.66
460,7.584576,0.992217,0.01718365,0.0,16,0.0002754,4.66
470,7.608841,1.004012,0.01718917,0.0,16,0.0002814,4.68
