step,train_loss,gradient_norm,q1_residual_rms,injected_noise_rms,bits_used,lr,elapsed_s
10,10.125739,8.02995,0.01710154,0.0,2,5.4e-06,5.13
20,9.567761,6.954683,0.01710159,0.0,2,1.14e-05,5.11
30,9.031206,4.010011,0.01710176,0.0,2,1.74e-05,5.1
40,8.793594,3.43359,0.01710202,0.0,2,2.34e-05,5.1
50,8.670809,3.304476,0.01710228,0.0,2,2.94e-05,5.09
60,8.515947,2.710974,0.01710252,0.0,2,3.54e-05,5.11
70,8.412083,2.475159,0.01710272,0.0,2,4.14e-05,5.1
80,8.367376,2.488703,0.01710291,0.0,2,4.74e-05,5.12
90,8.231599,2.108948,0.01710311,0.0,2,5.34e-05,5.08
100,8.106214,1.869062,0.01710335,0.0,2,5.94e-05,5.1
110,7.969779,1.771682,0.01710361,0.0,2,6.54e-05,5.1
120,7.849286,1.466314,0.01710388,0.0,2,7.14e-05,5.1
130,7.794112,1.649108,0.01710418,0.0,2,7.74e-05,5.08
140,7.705569,1.51065,0.01710458,0.0,2,8.34e-05,5.11
150,7.662575,1.23964,0.01710504,0.0,2,8.94e-05,5.09
160,7.576444,1.246012,0.01710558,0.0,2,9.54e-05,5.1
170,7.557999,1.257177,0.01710614,0.0,2,0.0001014,5.09
180,7.584236,1.253879,0.01710687,0.0,2,0.0001074,5.09
190,7.557227,1.212633,0.01710769,0.0,2,0.0001134,5.08
200,7.599164,1.150061,0.01710858,0.0,2,0.0001194,5.1
210,7.614771,1.28476,0.01710951,0.0,2,0.0001254,5.08
220,7.5621,1.298372,0.01711046,0.0,2,0.0001314,5.1
230,7.565112,1.201057,0.01711148,0.0,2,0.0001374,5.09
240,7.578138,1.392055,0.01711262,0.0,2,0.0001434,5.11
250,7.583962,1.178464,0.01711404,0.0,2,0.0001494,5.08
260,7.583844,1.053813,0.01711553,0.0,2,0.0001554,5.13
270,7.516388,1.131048,0.0171171,0.0,2,0.0001614,5.12
280,7.62877,1.085464,0.017119,0.0,2,0.0001674,5.11
290,7.551694,1.059085,0.01712105,0.0,2,0.0001734,5.27
300,7.543885,1.133072,0.01712336,0.0,2,0.0001794,5.1
310,7.576131,1.109733,0.01712572,0.0,2,0.0001854,5.1
320,7.600025,1.083781,0.01712811,0.0,2,0.0001914,5.1
330,7.573544,0.99491,0.01713065,0.0,2,0.0001974,5.1
340,7.544765,1.145128,0.01713327,0.0,2,0.0002034,5.08
350,7.561891,1.008994,0.01713636,0.0,2,0.0002094,5.1
360,7.605704,1.039713,0.01713953,0.0,2,0.0002154,5.1
370,7.606641,1.139957,0.01714294,0.0,2,0.0002214,5.1
380,7.547932,1.247169,0.01714669,0.0,2,0.0002274,5.1
390,7.583062,1.048053,0.01715072,0.0,2,0.0002334,5.12
400,7.542282,1.046616,0.01715505,0.0,2,0.0002394,5.11
410,7.597027,1.035489,0.01715925,0.0,2,0.0002454,5.1
420,7.594754,1.179726,0.01716381,0.0,2,0.0002514,5.12
430,7.674502,1.051006,0.01716866,0.0,2,0.0002574,5.12
440,7.625364,1.178164,0.01717372,0.0,2,0.0002634,5.09
450,7.547084,1.004544,0.01717911,0.0,2,0.0002694,5.11
460,7.595975,1.084375,0.0171845,0.0,2,0.0002754,5.08
470,7.621527,0.975154,0.01719057,0.0,2,0.0002814,5.11
480,7.58382,1.016326,0.01719635,0.0,2,0.0002874,5.1
490,7.645626,0.977403,0.01720275,0.0,2,0.0002934,5.12
500,7.626443,0.937265,0.01720909,0.0,2,0.0002994,5.11
510,7.599324,1.091038,0.0172158,0.0,2,0.0003,20.56
520,7.526315,0.97472,0.01722323,0.0,2,0.0003,5.13
530,7.542517,0.906675,0.01723042,0.0,2,0.00029999,5.09
540,7.605225,1.039049,0.01723737,0.0,2,0.00029999,5.13
550,7.593752,1.013589,0.01724429,0.0,2,0.00029998,5.1
560,7.619286,0.913894,0.01725177,0.0,2,0.00029997,5.13
570,7.576111,0.951013,0.01725909,0.0,2,0.00029996,5.11
580,7.551668,0.94539,0.01726668,0.0,2,0.00029995,5.11
590,7.605817,0.925202,0.01727369,0.0,2,0.00029994,5.11
600,7.622659,0.8721,0.01728035,0.0,2,0.00029992,5.13
610,7.596985,1.044685,0.01728685,0.0,2,0.0002999,5.1
620,7.620454,0.914913,0.01729384,0.0,2,0.00029988,5.11
630,7.593013,0.979092,0.01730106,0.0,2,0.00029986,5.08
640,7.620044,0.917175,0.01730848,0.0,2,0.00029984,5.11
650,7.575505,0.93322,0.01731526,0.0,2,0.00029982,5.11
660,7.556857,1.005864,0.01732155,0.0,2,0.00029979,5.11
670,7.5709,0.901408,0.01732852,0.0,2,0.00029977,5.1
680,7.593112,0.956089,0.01733539,0.0,2,0.00029974,5.12
690,7.599671,0.872244,0.01734176,0.0,2,0.00029971,5.11
700,7.624891,0.994066,0.01734798,0.0,2,0.00029968,5.1
710,7.526363,0.936733,0.0173543,0.0,2,0.00029964,5.1
720,7.564795,0.873417,0.017361,0.0,2,0.00029961,5.13
730,7.561108,0.941826,0.01736745,0.0,2,0.00029957,5.11
740,7.541936,0.827745,0.01737397,0.0,2,0.00029953,5.1
750,7.584103,0.899376,0.01738103,0.0,2,0.00029949,5.1
760,7.592218,0.971262,0.01738746,0.0,2,0.00029945,5.1
770,7.521531,0.879885,0.01739378,0.0,2,0.00029941,5.12
780,7.655682,0.912634,0.01740006,0.0,2,0.00029936,5.11
790,7.618873,0.812358,0.01740565,0.0,2,0.00029932,5.11
800,7.533291,0.872191,0.01741146,0.0,2,0.00029927,5.09
810,7.499312,0.877276,0.01741692,0.0,2,0.00029922,5.09
820,7.596019,0.855197,0.01742138,0.0,2,0.00029917,5.1
830,7.531318,0.9363,0.01742609,0.0,2,0.00029911,5.12
840,7.528236,0.933434,0.01743233,0.0,2,0.00029906,5.09
850,7.564669,0.905998,0.01743924,0.0,2,0.000299,5.11
860,7.510139,0.939578,0.01744643,0.0,2,0.00029894,5.1
870,7.599371,0.880137,0.01745333,0.0,2,0.00029888,5.1
880,7.564226,0.851583,0.01746021,0.0,2,0.00029882,5.1
890,7.532756,0.823696,0.01746608,0.0,2,0.00029876,5.1
900,7.616863,0.828379,0.01747156,0.0,2,0.0002987,5.09
910,7.559398,0.84865,0.01747732,0.0,2,0.00029863,5.1
920,7.614144,0.924521,0.01748406,0.0,2,0.00029856,5.09
930,7.578044,0.890097,0.01749,0.0,2,0.00029849,5.1
940,7.512888,0.891921,0.01749567,0.0,2,0.00029842,5.11
950,7.569706,0.830384,0.01750104,0.0,2,0.00029835,5.13
960,7.59375,0.849243,0.0175062,0.0,2,0.00029828,5.08
970,7.61743,0.866836,0.01751236,0.0,2,0.0002982,5.12
980,7.534497,0.865409,0.01751865,0.0,2,0.00029812,5.11
990,7.578588,0.84759,0.01752502,0.0,2,0.00029804,5.13
1000,7.542873,0.850519,0.01753108,0.0,2,0.00029796,5.11
1010,7.60232,0.955524,0.01753722,0.0,2,0.00029788,20.53
1020,7.593501,0.937695,0.0175445,0.0,2,0.0002978,5.1
1030,7.568575,0.797405,0.01755103,0.0,2,0.00029771,5.11
1040,7.578408,0.875001,0.01755762,0.0,2,0.00029762,5.11
1050,7.546971,0.781245,0.01756335,0.0,2,0.00029753,5.1
1060,7.608903,0.795795,0.01756839,0.0,2,0.00029744,5.12
1070,7.518652,0.804191,0.01757313,0.0,2,0.00029735,5.09
1080,7.57519,0.882147,0.01757797,0.0,2,0.00029726,5.12
1090,7.640402,0.804761,0.01758393,0.0,2,0.00029716,5.11
1100,7.570747,0.797899,0.01758975,0.0,2,0.00029707,5.12
1110,7.524564,0.753194,0.01759543,0.0,2,0.00029697,5.12
1120,7.589212,0.833041,0.01760117,0.0,2,0.00029687,5.13
1130,7.534954,0.82106,0.01760714,0.0,2,0.00029677,5.11
1140,7.555644,0.838316,0.01761259,0.0,2,0.00029666,5.11
1150,7.588193,0.746077,0.01761821,0.0,2,0.00029656,5.12
1160,7.561123,0.753036,0.01762432,0.0,2,0.00029645,5.11
1170,7.560558,0.815147,0.01763044,0.0,2,0.00029634,5.12
1180,7.509456,0.863601,0.01763651,0.0,2,0.00029623,5.11
1190,7.579319,0.748713,0.01764272,0.0,2,0.00029612,5.13
1200,7.538248,0.783167,0.01764852,0.0,2,0.00029601,5.09
1210,7.512007,0.729924,0.01765346,0.0,2,0.0002959,5.12
1220,7.582388,0.81358,0.01765919,0.0,2,0.00029578,5.1
1230,7.577819,0.770848,0.01766554,0.0,2,0.00029566,5.11
1240,7.549286,0.905236,0.01767128,0.0,2,0.00029554,5.1
1250,7.575365,0.803449,0.01767805,0.0,2,0.00029542,5.12
1260,7.523919,0.749613,0.01768439,0.0,2,0.0002953,5.12
1270,7.508773,0.753818,0.01769034,0.0,2,0.00029518,5.12
1280,7.499711,0.740811,0.01769627,0.0,2,0.00029505,5.1
1290,7.55918,0.768458,0.01770293,0.0,2,0.00029492,5.12
1300,7.539608,0.702042,0.01770885,0.0,2,0.00029479,5.12
1310,7.605922,0.825429,0.017715,0.0,2,0.00029466,5.12
1320,7.500522,0.747204,0.01772155,0.0,2,0.00029453,5.1
1330,7.581692,0.748858,0.01772843,0.0,2,0.0002944,5.11
1340,7.583314,0.807686,0.01773513,0.0,2,0.00029426,5.1
1350,7.571444,0.811184,0.01774157,0.0,2,0.00029413,5.11
1360,7.513907,0.753283,0.01774757,0.0,2,0.00029399,5.1
