step,train_loss,gradient_norm,q1_residual_rms,injected_noise_rms,bits_used,lr,elapsed_s
10,10.152561,7.740119,0.01710558,0.0,4,5.4e-06,5.17
20,9.732849,6.170448,0.01710561,0.0,4,1.14e-05,5.16
30,9.213355,4.461767,0.01710577,0.0,2,1.74e-05,5.11
40,8.885612,3.36266,0.01710604,0.0,2,2.34e-05,5.13
50,8.69356,3.262889,0.01710636,0.0,2,2.94e-05,5.12
60,8.610856,2.461167,0.01710666,0.0,4,3.54e-05,5.14
70,8.458475,2.410074,0.01710689,0.0,4,4.14e-05,5.15
80,8.380819,2.248897,0.0171071,0.0,4,4.74e-05,5.16
90,8.250528,2.102347,0.01710733,0.0,4,5.34e-05,5.1
100,8.123437,1.871914,0.01710757,0.0,2,5.94e-05,5.14
110,7.999863,1.702836,0.01710787,0.0,4,6.54e-05,5.14
120,7.848449,1.645506,0.01710824,0.0,4,7.14e-05,5.12
130,7.809405,1.616178,0.01710869,0.0,4,7.74e-05,5.12
140,7.71428,1.632976,0.01710918,0.0,4,8.34e-05,5.15
150,7.710661,1.457331,0.01710969,0.0,4,8.94e-05,5.14
160,7.644394,1.283281,0.01711024,0.0,4,9.54e-05,5.13
170,7.646219,1.238424,0.01711083,0.0,4,0.0001014,5.13
180,7.601736,1.100002,0.01711144,0.0,4,0.0001074,5.15
190,7.588025,1.178209,0.01711211,0.0,2,0.0001134,5.12
200,7.55622,1.141095,0.01711289,0.0,2,0.0001194,5.14
210,7.509462,1.021474,0.01711369,0.0,4,0.0001254,5.13
220,7.565169,1.251956,0.0171147,0.0,4,0.0001314,5.13
230,7.526527,1.185465,0.01711591,0.0,8,0.0001374,5.13
240,7.577605,1.12159,0.01711717,0.0,2,0.0001434,5.13
250,7.601787,1.122927,0.01711848,0.0,4,0.0001494,5.13
260,7.565507,1.029607,0.01711991,0.0,4,0.0001554,5.13
270,7.643461,1.04637,0.01712155,0.0,4,0.0001614,5.12
280,7.611632,1.026282,0.01712322,0.0,4,0.0001674,5.13
290,7.622622,1.036514,0.01712506,0.0,4,0.0001734,5.13
300,7.609831,0.972779,0.01712688,0.0,2,0.0001794,5.14
310,7.549006,1.113167,0.01712895,0.0,4,0.0001854,5.15
320,7.597105,1.203105,0.01713145,0.0,4,0.0001914,5.12
330,7.584557,1.172665,0.01713442,0.0,4,0.0001974,5.14
340,7.552273,1.033655,0.01713753,0.0,4,0.0002034,5.12
350,7.619874,1.060703,0.01714066,0.0,2,0.0002094,5.15
360,7.582899,1.056022,0.01714377,0.0,2,0.0002154,5.13
370,7.606645,1.10137,0.01714706,0.0,4,0.0002214,5.14
380,7.62709,1.152023,0.0171506,0.0,4,0.0002274,5.12
390,7.611828,1.060464,0.01715445,0.0,4,0.0002334,5.12
400,7.631223,1.039378,0.0171586,0.0,2,0.0002394,5.11
410,7.587668,0.952204,0.01716294,0.0,4,0.0002454,5.14
420,7.604044,1.054118,0.01716719,0.0,2,0.0002514,5.1
430,7.596433,0.99392,0.0171717,0.0,4,0.0002574,5.15
440,7.60379,1.10999,0.01717681,0.0,4,0.0002634,5.12
450,7.625371,1.09471,0.01718222,0.0,2,0.0002694,5.13
460,7.58535,0.990657,0.01718797,0.0,4,0.0002754,5.14
470,7.609334,1.008647,0.0171934,0.0,4,0.0002814,5.15
480,7.614179,1.083983,0.01719909,0.0,4,0.0002874,5.13
490,7.615057,0.969023,0.01720584,0.0,2,0.0002934,5.14
500,7.6014,0.935109,0.01721295,0.0,4,0.0002994,5.14
510,7.53404,1.130974,0.01722052,0.0,4,0.0003,20.9
520,7.538916,1.05573,0.01722778,0.0,4,0.0003,5.15
530,7.573936,1.067161,0.01723498,0.0,4,0.00029999,5.15
540,7.560325,0.990234,0.01724195,0.0,2,0.00029999,5.14
550,7.547135,0.991222,0.01724925,0.0,2,0.00029998,5.14
560,7.557293,0.934373,0.01725683,0.0,4,0.00029997,5.21
570,7.61411,0.925387,0.01726346,0.0,4,0.00029996,5.15
580,7.621406,0.924763,0.01726996,0.0,2,0.00029995,5.15
590,7.550287,0.954918,0.01727655,0.0,4,0.00029994,5.15
600,7.632815,0.958395,0.01728339,0.0,4,0.00029992,5.14
610,7.5883,0.883832,0.0172904,0.0,4,0.0002999,5.14
620,7.617261,0.978515,0.01729781,0.0,2,0.00029988,5.13
630,7.583255,0.928541,0.01730485,0.0,4,0.00029986,5.15
640,7.589197,0.997938,0.017312,0.0,2,0.00029984,5.13
650,7.573375,0.924914,0.0173204,0.0,8,0.00029982,5.16
660,7.551143,0.965596,0.01732856,0.0,2,0.00029979,5.13
670,7.641373,0.926554,0.0173359,0.0,2,0.00029977,5.15
680,7.593164,0.880015,0.01734322,0.0,4,0.00029974,5.16
690,7.569154,0.916316,0.01735103,0.0,4,0.00029971,5.14
700,7.610423,1.051055,0.01735885,0.0,4,0.00029968,5.14
710,7.58425,0.837661,0.01736613,0.0,4,0.00029964,5.13
720,7.597207,0.888115,0.0173734,0.0,2,0.00029961,5.15
730,7.579858,0.886203,0.01738021,0.0,4,0.00029957,5.16
740,7.585203,0.818358,0.01738728,0.0,4,0.00029953,5.14
750,7.532399,0.971353,0.01739304,0.0,2,0.00029949,5.14
760,7.583906,0.974233,0.01739874,0.0,4,0.00029945,5.14
770,7.595907,0.8635,0.01740423,0.0,2,0.00029941,5.15
780,7.555297,0.848889,0.01740974,0.0,4,0.00029936,5.14
790,7.556703,0.882968,0.0174153,0.0,4,0.00029932,5.11
800,7.558583,0.826812,0.01742097,0.0,4,0.00029927,5.15
810,7.577871,0.832546,0.01742737,0.0,4,0.00029922,5.14
820,7.560076,0.82481,0.01743401,0.0,4,0.00029917,5.14
830,7.564745,0.923429,0.01743945,0.0,2,0.00029911,5.08
840,7.584825,0.89333,0.01744457,0.0,4,0.00029906,5.13
850,7.567857,0.875574,0.01744977,0.0,4,0.000299,5.15
860,7.587197,0.883367,0.01745507,0.0,4,0.00029894,5.13
870,7.569039,0.937346,0.01746139,0.0,4,0.00029888,5.13
880,7.654953,0.902369,0.01746735,0.0,4,0.00029882,5.15
890,7.577622,0.907905,0.0174735,0.0,2,0.00029876,5.13
900,7.564644,0.94954,0.01747938,0.0,2,0.0002987,5.12
910,7.633815,0.990963,0.01748499,0.0,4,0.00029863,5.1
920,7.5516,0.813405,0.01748981,0.0,4,0.00029856,5.13
930,7.549545,0.934896,0.01749548,0.0,4,0.00029849,5.13
940,7.652238,0.906745,0.01750168,0.0,4,0.00029842,5.14
950,7.611789,0.866707,0.01750718,0.0,4,0.00029835,5.16
960,7.586585,0.830562,0.01751308,0.0,2,0.00029828,5.15
970,7.614912,0.824498,0.01751876,0.0,2,0.0002982,5.14
980,7.526156,0.869546,0.01752458,0.0,2,0.00029812,5.15
990,7.581095,0.878441,0.01753032,0.0,4,0.00029804,5.14
1000,7.51938,0.941461,0.01753544,0.0,2,0.00029796,5.14
1010,7.530115,0.838158,0.01754126,0.0,4,0.00029788,20.85
1020,7.614145,0.865105,0.01754693,0.0,2,0.0002978,5.12
1030,7.52434,0.91512,0.01755383,0.0,2,0.00029771,5.15
1040,7.710309,0.980377,0.01756064,0.0,4,0.00029762,5.13
1050,7.568306,0.807518,0.0175666,0.0,4,0.00029753,5.16
1060,7.54174,0.840608,0.0175726,0.0,4,0.00029744,5.14
1070,7.537083,0.86736,0.01757759,0.0,4,0.00029735,5.14
1080,7.54613,0.85545,0.01758267,0.0,4,0.00029726,5.14
1090,7.587966,0.831399,0.01758845,0.0,4,0.00029716,5.14
1100,7.512319,0.801465,0.0175943,0.0,4,0.00029707,5.16
1110,7.533568,0.841851,0.01759985,0.0,2,0.00029697,5.15
1120,7.513618,0.832255,0.01760524,0.0,4,0.00029687,5.12
1130,7.536816,0.780444,0.01761012,0.0,4,0.00029677,5.17
1140,7.624413,0.799054,0.01761518,0.0,2,0.00029666,5.14
1150,7.525757,0.818164,0.01761984,0.0,4,0.00029656,5.14
1160,7.542719,0.762307,0.01762611,0.0,2,0.00029645,5.14
1170,7.515873,0.873035,0.01763287,0.0,2,0.00029634,5.14
1180,7.52646,0.860309,0.01763977,0.0,2,0.00029623,5.13
1190,7.560204,0.799033,0.01764522,0.0,2,0.00029612,5.17
1200,7.53468,0.773883,0.01765148,0.0,2,0.00029601,5.12
1210,7.568178,0.809918,0.017657,0.0,2,0.0002959,5.14
1220,7.570272,0.712832,0.01766277,0.0,4,0.00029578,5.15
1230,7.581577,0.712012,0.01766876,0.0,4,0.00029566,5.15
1240,7.483664,0.704291,0.01767373,0.0,2,0.00029554,5.13
1250,7.526499,0.761514,0.01767934,0.0,4,0.00029542,5.14
1260,7.54876,0.755073,0.01768524,0.0,4,0.0002953,5.14
1270,7.600385,0.742627,0.01769094,0.0,4,0.00029518,5.15
1280,7.553054,0.900067,0.0176973,0.0,2,0.00029505,5.15
1290,7.543741,0.81613,0.01770377,0.0,2,0.00029492,5.15
1300,7.545492,0.742727,0.01770912,0.0,4,0.00029479,5.16
1310,7.604976,0.75063,0.01771484,0.0,2,0.00029466,5.13
1320,7.562949,0.782689,0.01772147,0.0,4,0.00029453,5.14
1330,7.5719,0.770389,0.01772771,0.0,4,0.0002944,5.13
1340,7.572476,0.755229,0.01773416,0.0,4,0.00029426,5.14
1350,7.496834,0.7198,0.01773982,0.0,2,0.00029413,5.16
1360,7.548477,0.740163,0.01774595,0.0,2,0.00029399,5.14
1370,7.494015,0.75015,0.01775126,0.0,4,0.00029385,5.15
1380,7.541789,0.797992,0.01775629,0.0,4,0.00029371,5.15
1390,7.513586,0.745503,0.01776264,0.0,2,0.00029356,5.12
1400,7.570779,0.703998,0.01776868,0.0,2,0.00029342,5.14
1410,7.508978,0.6998,0.01777415,0.0,4,0.00029327,5.15
1420,7.542552,0.718337,0.01777927,0.0,4,0.00029313,5.15
1430,7.490114,0.738287,0.01778409,0.0,4,0.00029298,5.13
1440,7.549799,0.708807,0.01778974,0.0,4,0.00029283,5.15
1450,7.533628,0.68955,0.01779483,0.0,4,0.00029267,5.13
1460,7.556892,0.72184,0.01779903,0.0,4,0.00029252,5.14
1470,7.600635,0.711807,0.01780425,0.0,4,0.00029236,5.13
1480,7.548196,0.802123,0.01781106,0.0,2,0.00029221,5.14
1490,7.564757,0.771441,0.01781682,0.0,4,0.00029205,5.15
1500,7.526171,0.675317,0.01782192,0.0,2,0.00029189,5.15
1510,7.533052,0.690234,0.01782707,0.0,4,0.00029173,20.82
1520,7.513799,0.667223,0.01783234,0.0,4,0.00029156,5.12
1530,7.566195,0.77626,0.01783697,0.0,2,0.0002914,5.15
1540,7.567128,0.757184,0.01784181,0.0,2,0.00029123,5.15
1550,7.58399,0.800528,0.01784595,0.0,4,0.00029106,5.13
1560,7.522454,0.719793,0.01785096,0.0,4,0.0002909,5.15
1570,7.500803,0.707396,0.01785608,0.0,4,0.00029072,5.14
1580,7.504081,0.708338,0.01786107,0.0,4,0.00029055,5.16
1590,7.585816,0.685458,0.01786618,0.0,4,0.00029038,5.14
1600,7.549773,0.782872,0.01787079,0.0,2,0.0002902,5.15
1610,7.558433,0.68588,0.01787616,0.0,2,0.00029003,5.15
1620,7.499962,0.677949,0.01788189,0.0,2,0.00028985,5.16
1630,7.557656,0.731469,0.01788836,0.0,4,0.00028967,5.15
1640,7.600187,0.738407,0.01789376,0.0,4,0.00028948,5.16
1650,7.526461,0.702178,0.01789864,0.0,2,0.0002893,5.15
1660,7.51482,0.72801,0.01790379,0.0,2,0.00028912,5.13
1670,7.53728,0.724148,0.01790886,0.0,4,0.00028893,5.13
1680,7.525879,0.684929,0.01791524,0.0,2,0.00028874,5.14
1690,7.534963,0.665621,0.01792119,0.0,4,0.00028855,5.16
1700,7.558359,0.668569,0.01792514,0.0,4,0.00028836,5.16
1710,7.421834,0.802078,0.0179291,0.0,4,0.00028817,5.12
1720,7.537366,0.684019,0.01793464,0.0,4,0.00028798,5.13
1730,7.514268,0.734699,0.01793987,0.0,4,0.00028778,5.15
1740,7.491495,0.64077,0.01794532,0.0,4,0.00028758,5.17
1750,7.553166,0.692102,0.01795162,0.0,2,0.00028739,5.16
1760,7.550006,0.690548,0.01795818,0.0,4,0.00028719,5.15
1770,7.562612,0.686913,0.01796762,0.0,4,0.00028698,5.13
1780,7.520627,0.694318,0.01797525,0.0,2,0.00028678,5.16
1790,7.530048,0.641774,0.01798254,0.0,4,0.00028658,5.15
1800,7.44434,0.755566,0.01798849,0.0,2,0.00028637,5.15
1810,7.572318,0.684681,0.01799439,0.0,4,0.00028616,5.14
1820,7.492946,0.693857,0.01800005,0.0,4,0.00028596,5.14
1830,7.526361,0.720853,0.01800599,0.0,2,0.00028575,5.14
1840,7.518127,0.619963,0.01801131,0.0,4,0.00028553,5.15
1850,7.49166,0.641587,0.01801625,0.0,4,0.00028532,5.16
1860,7.552219,0.703237,0.01802104,0.0,4,0.00028511,5.17
1870,7.568591,0.656543,0.01802636,0.0,4,0.00028489,5.13
1880,7.577467,0.676543,0.01803281,0.0,2,0.00028467,5.14
1890,7.448069,0.616817,0.01803784,0.0,4,0.00028445,5.14
1900,7.492034,0.651393,0.01804274,0.0,4,0.00028423,5.16
1910,7.493659,0.620335,0.01804679,0.0,4,0.00028401,5.14
1920,7.497664,0.638097,0.01805113,0.0,4,0.00028379,5.13
1930,7.508466,0.756821,0.01805513,0.0,2,0.00028356,5.18
1940,7.519569,0.593937,0.01805983,0.0,4,0.00028333,5.14
1950,7.524881,0.655439,0.01806473,0.0,4,0.00028311,5.14
1960,7.548997,0.645271,0.01807067,0.0,4,0.00028288,5.14
1970,7.516062,0.657316,0.01807599,0.0,2,0.00028265,5.15
1980,7.528742,0.671083,0.01808254,0.0,4,0.00028241,5.17
1990,7.547476,0.620437,0.01808858,0.0,4,0.00028218,5.15
2000,7.583949,0.718202,0.01809428,0.0,4,0.00028194,5.12
2010,7.505654,0.661488,0.01809865,0.0,8,0.00028171,20.82
2020,7.504688,0.639552,0.01810459,0.0,4,0.00028147,5.14
2030,7.507672,0.611836,0.01811052,0.0,2,0.00028123,5.13
2040,7.538331,0.634055,0.01811562,0.0,4,0.00028099,5.14
2050,7.474567,0.680986,0.01812222,0.0,4,0.00028075,5.12
2060,7.543816,0.623765,0.01812838,0.0,4,0.0002805,5.15
2070,7.522643,0.598893,0.01813382,0.0,4,0.00028026,5.14
2080,7.490106,0.606138,0.01813907,0.0,2,0.00028001,5.12
2090,7.503615,0.573161,0.01814329,0.0,4,0.00027976,5.14
2100,7.519891,0.623106,0.01814807,0.0,4,0.00027951,5.15
2110,7.523439,0.6677,0.01815339,0.0,2,0.00027926,5.12
2120,7.458137,0.610062,0.01815856,0.0,4,0.00027901,5.15
2130,7.541708,0.573419,0.01816412,0.0,2,0.00027876,5.15
2140,7.550712,0.646557,0.01817044,0.0,4,0.0002785,5.15
2150,7.556761,0.673022,0.01817651,0.0,4,0.00027824,5.15
2160,7.548237,0.626374,0.01818291,0.0,2,0.00027799,5.14
2170,7.500629,0.553963,0.01818919,0.0,4,0.00027773,5.15
2180,7.499938,0.641105,0.01819641,0.0,4,0.00027747,5.15
2190,7.469065,0.598491,0.01820095,0.0,4,0.0002772,5.15
2200,7.497081,0.537792,0.01820586,0.0,4,0.00027694,5.14
2210,7.565381,0.620663,0.01821127,0.0,4,0.00027668,5.15
2220,7.485258,0.640788,0.01821579,0.0,2,0.00027641,5.15
2230,7.469961,0.55295,0.0182208,0.0,4,0.00027614,5.15
2240,7.474353,0.593958,0.01822569,0.0,4,0.00027587,5.13
