step,train_loss,gradient_norm,q1_residual_rms,injected_noise_rms,bits_used,lr,elapsed_s
10,10.165977,7.500466,0.01710558,0.0,2,5.4e-06,5.46
20,9.792614,5.953895,0.01710562,0.0,2,1.14e-05,5.12
30,9.243561,4.486773,0.01710578,0.0,4,1.74e-05,5.13
40,8.887521,3.26904,0.01710605,0.0,4,2.34e-05,5.13
50,8.703435,3.206432,0.01710638,0.0,4,2.94e-05,5.14
60,8.623882,2.566937,0.01710669,0.0,2,3.54e-05,5.12
70,8.568137,3.526678,0.01710703,0.0,2,4.14e-05,5.11
80,8.394726,2.195923,0.01710742,0.0,2,4.74e-05,5.09
90,8.261549,1.940321,0.01710773,0.0,2,5.34e-05,5.14
100,8.130709,1.773566,0.01710801,0.0,4,5.94e-05,5.12
110,8.021782,1.851352,0.01710834,0.0,2,6.54e-05,5.11
120,7.844827,1.526357,0.01710884,0.0,2,7.14e-05,5.14
130,7.80712,1.546042,0.01710935,0.0,2,7.74e-05,5.14
140,7.712806,1.569955,0.01710987,0.0,2,8.34e-05,5.11
150,7.709989,1.45372,0.01711038,0.0,2,8.94e-05,5.12
160,7.643695,1.266312,0.01711093,0.0,2,9.54e-05,5.12
170,7.645732,1.227967,0.01711154,0.0,2,0.0001014,5.13
180,7.602455,1.088254,0.01711219,0.0,2,0.0001074,5.12
190,7.58723,1.148358,0.01711285,0.0,4,0.0001134,5.15
200,7.556167,1.132252,0.01711364,0.0,4,0.0001194,5.13
210,7.512364,1.032806,0.01711445,0.0,2,0.0001254,5.13
220,7.566229,1.255363,0.01711548,0.0,2,0.0001314,5.14
230,7.529512,1.218387,0.01711662,0.0,1,0.0001374,5.12
240,7.578079,1.123388,0.01711808,0.0,4,0.0001434,5.12
250,7.601063,1.131121,0.01711974,0.0,2,0.0001494,5.15
260,7.567446,1.080227,0.0171214,0.0,2,0.0001554,5.1
270,7.641604,1.026113,0.01712334,0.0,2,0.0001614,5.11
280,7.610411,1.007778,0.01712511,0.0,2,0.0001674,5.13
290,7.622387,1.051477,0.01712693,0.0,2,0.0001734,5.11
300,7.607643,0.982738,0.0171288,0.0,4,0.0001794,5.1
310,7.548566,1.110091,0.01713095,0.0,2,0.0001854,5.1
320,7.599868,1.212702,0.01713352,0.0,2,0.0001914,5.15
330,7.586058,1.174266,0.01713654,0.0,2,0.0001974,5.13
340,7.554721,1.02202,0.01713975,0.0,2,0.0002034,5.14
350,7.61832,1.049322,0.01714299,0.0,4,0.0002094,5.12
360,7.582581,1.04963,0.01714662,0.0,4,0.0002154,5.16
