step,train_loss,gradient_norm,q1_residual_rms,injected_noise_rms,bits_used,lr,elapsed_s
10,10.208356,8.301278,0.01710239,0.0,16,5.4e-06,3.01
20,9.663159,7.017977,0.01710243,0.0,16,1.14e-05,2.87
30,9.100283,4.381886,0.01710258,0.0,16,1.74e-05,2.86
40,8.813559,3.718639,0.01710284,0.0,16,2.34e-05,2.91
50,8.676676,3.225262,0.01710311,0.0,16,2.94e-05,2.89
60,8.495719,2.640092,0.01710336,0.0,16,3.54e-05,2.92
70,8.443301,2.576854,0.01710357,0.0,16,4.14e-05,2.94
80,8.356189,2.278895,0.01710373,0.0,16,4.74e-05,2.93
90,8.173599,2.05399,0.01710389,0.0,16,5.34e-05,2.92
100,8.118809,1.865731,0.01710409,0.0,16,5.94e-05,2.9
110,7.989989,1.777091,0.01710431,0.0,16,6.54e-05,2.87
120,7.860403,1.488216,0.01710457,0.0,16,7.14e-05,2.87
130,7.811049,1.429749,0.0171049,0.0,16,7.74e-05,2.87
140,7.74445,1.399183,0.01710528,0.0,16,8.34e-05,2.88
150,7.671581,1.358852,0.01710569,0.0,16,8.94e-05,2.87
160,7.609712,1.36162,0.01710624,0.0,16,9.54e-05,2.88
170,7.66955,1.305038,0.01710684,0.0,16,0.0001014,2.88
180,7.586242,1.149161,0.01710748,0.0,16,0.0001074,2.89
190,7.591504,1.377601,0.01710823,0.0,16,0.0001134,2.88
200,7.657546,1.501444,0.01710918,0.0,16,0.0001194,2.89
210,7.537796,1.112867,0.01711025,0.0,16,0.0001254,2.9
220,7.563189,1.108727,0.01711136,0.0,16,0.0001314,2.89
230,7.501809,1.158811,0.01711242,0.0,16,0.0001374,2.89
240,7.559675,1.036132,0.0171137,0.0,16,0.0001434,2.88
250,7.553566,1.043734,0.01711517,0.0,16,0.0001494,2.89
260,7.576392,1.073673,0.01711663,0.0,16,0.0001554,2.9
270,7.606248,1.076595,0.01711815,0.0,16,0.0001614,2.9
280,7.609129,1.062848,0.01711992,0.0,16,0.0001674,2.9
290,7.613635,1.133597,0.01712166,0.0,16,0.0001734,2.89
300,7.569623,1.125511,0.01712368,0.0,16,0.0001794,2.89
310,7.545206,1.076503,0.01712602,0.0,16,0.0001854,2.89
320,7.618031,1.139088,0.01712855,0.0,16,0.0001914,2.89
330,7.539808,0.956024,0.01713107,0.0,16,0.0001974,2.91
340,7.65873,1.115929,0.01713375,0.0,16,0.0002034,2.93
350,7.587444,0.94589,0.01713669,0.0,16,0.0002094,2.92
360,7.591325,0.98362,0.01713988,0.0,16,0.0002154,2.89
370,7.586859,1.150576,0.01714331,0.0,16,0.0002214,2.9
380,7.574093,0.986492,0.01714687,0.0,16,0.0002274,2.89
390,7.55822,1.137449,0.01715054,0.0,16,0.0002334,2.89
400,7.598777,0.929139,0.01715459,0.0,16,0.0002394,2.88
410,7.580067,1.014998,0.01715858,0.0,16,0.0002454,2.89
420,7.629804,0.934134,0.01716294,0.0,16,0.0002514,2.9
430,7.649408,1.022303,0.01716778,0.0,16,0.0002574,2.9
440,7.621524,1.091629,0.01717321,0.0,16,0.0002634,2.9
450,7.620406,1.048868,0.01717898,0.0,16,0.0002694,2.89
460,7.645545,1.079328,0.01718457,0.0,16,0.0002754,2.89
470,7.621242,1.057422,0.01719074,0.0,16,0.0002814,2.9
480,7.563342,0.962871,0.01719728,0.0,16,0.0002874,2.9
490,7.60605,1.052163,0.01720378,0.0,16,0.0002934,2.89
500,7.543812,1.054952,0.01721081,0.0,16,0.0002994,2.9
510,7.592351,0.975436,0.01721765,0.0,16,0.0003,9.74
520,7.566895,0.982049,0.01722443,0.0,16,0.0003,2.89
530,7.511702,1.07735,0.01723135,0.0,16,0.00029999,2.93
540,7.574162,1.237839,0.0172387,0.0,16,0.00029999,2.91
550,7.577005,0.954092,0.01724596,0.0,16,0.00029998,2.89
560,7.627276,0.885696,0.01725253,0.0,16,0.00029997,2.89
570,7.593174,0.908167,0.01725977,0.0,16,0.00029996,2.9
580,7.692755,0.971868,0.01726797,0.0,16,0.00029995,2.89
590,7.623181,0.958043,0.01727628,0.0,16,0.00029994,2.95
600,7.666218,0.973541,0.01728482,0.0,16,0.00029992,2.93
610,7.543524,1.004132,0.01729339,0.0,16,0.0002999,2.94
620,7.561233,1.150192,0.01730064,0.0,16,0.00029988,2.97
630,7.574322,0.892246,0.01730714,0.0,16,0.00029986,2.99
640,7.584098,0.86858,0.01731381,0.0,16,0.00029984,3.0
650,7.579792,0.952349,0.01732113,0.0,16,0.00029982,3.02
660,7.589754,0.987392,0.01732853,0.0,16,0.00029979,3.01
670,7.525679,0.876392,0.01733606,0.0,16,0.00029977,3.03
680,7.572772,0.825036,0.01734314,0.0,16,0.00029974,3.04
690,7.506985,0.915897,0.01734989,0.0,16,0.00029971,3.06
700,7.576108,1.03635,0.01735667,0.0,16,0.00029968,3.08
710,7.609428,0.875683,0.01736337,0.0,16,0.00029964,3.06
720,7.563417,0.955722,0.01737017,0.0,16,0.00029961,3.06
730,7.563206,0.962337,0.0173756,0.0,16,0.00029957,3.07
740,7.569039,0.932884,0.01738102,0.0,16,0.00029953,3.12
750,7.615183,0.870976,0.01738718,0.0,16,0.00029949,3.09
760,7.578964,0.922195,0.01739336,0.0,16,0.00029945,3.09
770,7.593792,0.831681,0.0173995,0.0,16,0.00029941,3.1
780,7.579095,0.910555,0.01740455,0.0,16,0.00029936,3.14
790,7.533009,0.956039,0.01741016,0.0,16,0.00029932,3.1
800,7.62205,0.951295,0.01741747,0.0,16,0.00029927,3.12
810,7.500163,0.921759,0.01742679,0.0,16,0.00029922,3.08
820,7.570879,1.002475,0.01743561,0.0,16,0.00029917,3.61
830,7.611981,0.925329,0.01744325,0.0,16,0.00029911,3.66
840,7.555042,0.894305,0.01745047,0.0,16,0.00029906,3.33
850,7.628001,0.991437,0.01745657,0.0,16,0.000299,3.43
860,7.603844,0.838403,0.01746267,0.0,16,0.00029894,3.35
870,7.539628,0.917661,0.01746862,0.0,16,0.00029888,3.19
880,7.503903,0.884074,0.01747467,0.0,16,0.00029882,3.22
890,7.552997,0.939823,0.01748144,0.0,16,0.00029876,3.11
900,7.562573,0.834932,0.01748841,0.0,16,0.0002987,3.14
910,7.579627,0.837243,0.01749476,0.0,16,0.00029863,3.14
920,7.515974,0.885394,0.01750083,0.0,16,0.00029856,3.13
930,7.566944,0.868897,0.01750761,0.0,16,0.00029849,3.17
940,7.615907,0.894072,0.01751451,0.0,16,0.00029842,3.17
950,7.588258,0.884377,0.01752121,0.0,16,0.00029835,3.18
960,7.580329,0.800229,0.01752743,0.0,16,0.00029828,3.19
970,7.554585,0.823479,0.01753296,0.0,16,0.0002982,3.21
980,7.588995,0.879798,0.01753846,0.0,16,0.00029812,3.27
990,7.58628,0.800059,0.01754386,0.0,16,0.00029804,3.17
1000,7.538928,0.769103,0.01754981,0.0,16,0.00029796,3.2
1010,7.592285,0.793353,0.0175568,0.0,16,0.00029788,11.27
1020,7.492135,0.798337,0.01756198,0.0,16,0.0002978,3.19
1030,7.569673,0.769128,0.01756559,0.0,16,0.00029771,3.18
1040,7.525584,0.802221,0.01757122,0.0,16,0.00029762,3.19
1050,7.530901,0.825175,0.01757813,0.0,16,0.00029753,3.18
1060,7.574421,0.858311,0.0175854,0.0,16,0.00029744,3.2
1070,7.574676,0.761078,0.01759139,0.0,16,0.00029735,3.19
1080,7.510107,0.871079,0.01759633,0.0,16,0.00029726,3.2
1090,7.530866,0.84113,0.01760117,0.0,16,0.00029716,3.22
1100,7.501221,0.771147,0.01760618,0.0,16,0.00029707,3.23
1110,7.572225,0.813286,0.0176116,0.0,16,0.00029697,3.21
1120,7.533183,0.809774,0.01761588,0.0,16,0.00029687,3.21
1130,7.549726,0.899545,0.0176216,0.0,16,0.00029677,3.21
1140,7.516408,0.758563,0.01762874,0.0,16,0.00029666,3.24
1150,7.559001,0.804946,0.01763459,0.0,16,0.00029656,3.25
