step,train_loss,gradient_norm,q1_residual_rms,injected_noise_rms,bits_used,lr,elapsed_s
10,10.096338,9.192648,0.0171061,0.0,1,5.4e-06,3.53
20,9.680232,8.060951,0.01710612,0.0,1,1.14e-05,3.91
30,9.221403,5.135693,0.01710626,0.0,1,1.74e-05,4.25
40,8.88161,4.453111,0.01710656,0.0,1,2.34e-05,4.24
50,8.745962,3.535156,0.017107,0.0,1,2.94e-05,3.81
60,8.555163,3.322495,0.0171075,0.0,1,3.54e-05,3.79
70,8.419191,3.483574,0.01710798,0.0,1,4.14e-05,3.81
80,8.33201,3.012591,0.01710843,0.0,1,4.74e-05,3.86
90,8.267293,2.925173,0.01710883,0.0,1,5.34e-05,3.88
100,8.12762,2.423227,0.01710926,0.0,1,5.94e-05,3.81
110,8.005325,2.825438,0.01710974,0.0,1,6.54e-05,3.8
120,7.897139,2.239915,0.0171102,0.0,1,7.14e-05,3.82
130,7.805651,2.119513,0.01711074,0.0,1,7.74e-05,3.77
140,7.782723,2.032363,0.01711136,0.0,1,8.34e-05,3.8
150,7.720561,1.801643,0.01711204,0.0,1,8.94e-05,3.84
160,7.631272,1.716917,0.01711291,0.0,1,9.54e-05,3.81
170,7.630509,1.726081,0.01711388,0.0,1,0.0001014,3.83
180,7.595674,1.527106,0.01711492,0.0,1,0.0001074,3.93
190,7.58975,1.44648,0.01711599,0.0,1,0.0001134,3.86
200,7.56981,1.385312,0.01711714,0.0,1,0.0001194,3.75
210,7.53591,1.311283,0.01711837,0.0,1,0.0001254,4.19
220,7.535957,1.267076,0.01711972,0.0,1,0.0001314,3.7
230,7.614652,1.30578,0.01712124,0.0,1,0.0001374,3.91
240,7.660533,1.260259,0.01712298,0.0,1,0.0001434,3.84
250,7.517212,1.577362,0.01712488,0.0,1,0.0001494,4.34
260,7.569964,1.292765,0.01712693,0.0,1,0.0001554,4.21
270,7.577026,1.363814,0.01712891,0.0,1,0.0001614,3.76
280,7.543682,1.054042,0.017131,0.0,1,0.0001674,3.77
290,7.588347,1.08879,0.01713308,0.0,1,0.0001734,3.91
300,7.607634,1.219611,0.01713541,0.0,1,0.0001794,4.03
310,7.56906,1.077361,0.01713794,0.0,1,0.0001854,4.63
320,7.618978,1.177229,0.01714068,0.0,1,0.0001914,3.74
330,7.5677,1.151858,0.01714348,0.0,1,0.0001974,3.75
340,7.574249,1.174364,0.0171465,0.0,1,0.0002034,3.71
350,7.686131,1.087879,0.01714985,0.0,1,0.0002094,3.72
360,7.581679,1.145058,0.0171534,0.0,1,0.0002154,3.71
370,7.621692,1.079493,0.01715713,0.0,1,0.0002214,3.81
380,7.567439,1.164748,0.01716118,0.0,1,0.0002274,3.72
390,7.647169,1.142841,0.01716573,0.0,1,0.0002334,3.74
400,7.650404,1.111761,0.01717083,0.0,1,0.0002394,3.81
410,7.59241,1.090189,0.0171759,0.0,1,0.0002454,3.72
420,7.637408,1.055929,0.01718085,0.0,1,0.0002514,3.76
430,7.611314,1.125703,0.0171859,0.0,1,0.0002574,3.8
440,7.651135,1.074413,0.01719152,0.0,1,0.0002634,3.85
450,7.593535,1.039999,0.01719714,0.0,1,0.0002694,4.5
460,7.575322,1.042937,0.0172033,0.0,1,0.0002754,3.85
470,7.627325,1.080534,0.01721013,0.0,1,0.0002814,4.12
480,7.620865,1.063245,0.01721685,0.0,1,0.0002874,4.17
490,7.59426,1.119827,0.01722334,0.0,1,0.0002934,3.89
500,7.641008,1.162168,0.01723025,0.0,1,0.0002994,3.76
510,7.653368,1.006153,0.01723771,0.0,1,0.0003,15.97
520,7.539283,1.078416,0.01724528,0.0,1,0.0003,3.71
530,7.53154,1.031189,0.01725287,0.0,1,0.00029999,3.82
540,7.55187,0.966938,0.01726066,0.0,1,0.00029999,3.69
550,7.610499,0.985144,0.0172679,0.0,1,0.00029998,3.75
560,7.517497,0.98936,0.01727511,0.0,1,0.00029997,3.7
570,7.566459,1.108411,0.01728221,0.0,1,0.00029996,3.72
580,7.569046,1.055159,0.01728955,0.0,1,0.00029995,3.73
590,7.529868,0.97923,0.01729612,0.0,1,0.00029994,3.73
600,7.548472,0.948607,0.01730245,0.0,1,0.00029992,3.77
610,7.594356,0.993847,0.01730899,0.0,1,0.0002999,3.69
620,7.530576,1.083357,0.01731593,0.0,1,0.00029988,3.94
630,7.597425,0.932366,0.0173224,0.0,1,0.00029986,3.75
640,7.636244,0.949794,0.0173292,0.0,1,0.00029984,3.75
650,7.642555,0.971928,0.01733643,0.0,1,0.00029982,3.74
660,7.595898,0.852058,0.01734359,0.0,1,0.00029979,3.73
670,7.574108,0.919536,0.01735086,0.0,1,0.00029977,3.71
680,7.547491,0.923933,0.01735759,0.0,1,0.00029974,3.76
690,7.626988,1.045148,0.01736357,0.0,1,0.00029971,3.73
700,7.562181,0.956279,0.0173699,0.0,1,0.00029968,3.86
710,7.64683,0.875403,0.01737673,0.0,1,0.00029964,4.03
720,7.560881,0.972614,0.01738306,0.0,1,0.00029961,3.72
730,7.624972,0.930378,0.01738991,0.0,1,0.00029957,3.78
740,7.578062,0.866925,0.01739703,0.0,1,0.00029953,3.85
750,7.587171,0.95602,0.01740348,0.0,1,0.00029949,3.83
760,7.559115,0.938741,0.01740907,0.0,1,0.00029945,3.98
770,7.542653,0.871088,0.01741473,0.0,1,0.00029941,3.82
780,7.604189,1.046392,0.01742085,0.0,1,0.00029936,4.13
790,7.565917,0.830096,0.017427,0.0,1,0.00029932,4.08
800,7.584389,0.877796,0.01743242,0.0,1,0.00029927,3.74
810,7.518638,0.897705,0.01743771,0.0,1,0.00029922,4.21
820,7.504798,1.024307,0.0174432,0.0,1,0.00029917,3.95
830,7.496973,1.056508,0.01744975,0.0,1,0.00029911,4.13
840,7.473073,0.86166,0.01745609,0.0,1,0.00029906,3.94
850,7.603394,0.934303,0.01746207,0.0,1,0.000299,3.82
860,7.549603,0.941223,0.01746746,0.0,1,0.00029894,4.03
870,7.549648,0.915614,0.01747327,0.0,1,0.00029888,3.8
880,7.537621,0.917928,0.01747847,0.0,1,0.00029882,4.19
890,7.567502,0.820092,0.01748382,0.0,1,0.00029876,4.06
900,7.508164,0.879814,0.01748942,0.0,1,0.0002987,4.98
910,7.571678,0.830931,0.01749447,0.0,1,0.00029863,5.52
920,7.456987,0.838662,0.01749894,0.0,1,0.00029856,4.82
930,7.558327,0.852285,0.01750386,0.0,1,0.00029849,4.13
940,7.561449,0.912721,0.01750874,0.0,1,0.00029842,4.37
950,7.599962,0.791467,0.01751334,0.0,1,0.00029835,4.73
960,7.555384,0.810328,0.01751922,0.0,1,0.00029828,5.09
970,7.528829,0.809439,0.01752535,0.0,1,0.0002982,4.56
980,7.538622,0.839934,0.01753078,0.0,1,0.00029812,4.37
990,7.554866,0.76508,0.0175358,0.0,1,0.00029804,4.13
1000,7.592656,0.782883,0.01754092,0.0,1,0.00029796,4.29
1010,7.514581,0.910549,0.01754743,0.0,1,0.00029788,16.07
1020,7.574758,0.806395,0.01755412,0.0,1,0.0002978,3.98
1030,7.533804,0.772635,0.0175597,0.0,1,0.00029771,3.85
1040,7.53628,0.86562,0.01756458,0.0,1,0.00029762,3.92
1050,7.514097,0.789449,0.01757061,0.0,1,0.00029753,3.92
1060,7.499326,0.801246,0.01757568,0.0,1,0.00029744,3.87
1070,7.594502,0.886842,0.01758046,0.0,1,0.00029735,3.84
1080,7.492186,0.803351,0.01758569,0.0,1,0.00029726,3.89
1090,7.582767,0.773138,0.01759086,0.0,1,0.00029716,3.84
1100,7.579823,0.853942,0.01759712,0.0,1,0.00029707,3.84
1110,7.550084,0.821409,0.01760271,0.0,1,0.00029697,3.81
1120,7.571981,0.789411,0.017608,0.0,1,0.00029687,3.81
1130,7.561009,0.792297,0.01761324,0.0,1,0.00029677,4.1
1140,7.545302,0.809196,0.01761766,0.0,1,0.00029666,4.04
1150,7.571153,0.770111,0.01762252,0.0,1,0.00029656,4.11
1160,7.579262,0.887172,0.01762799,0.0,1,0.00029645,4.01
1170,7.546873,0.860068,0.0176338,0.0,1,0.00029634,4.14
1180,7.494123,0.805781,0.01763923,0.0,1,0.00029623,4.41
1190,7.596037,0.830877,0.01764425,0.0,1,0.00029612,5.9
1200,7.528015,0.707645,0.01764975,0.0,1,0.00029601,5.24
1210,7.541502,0.75615,0.01765492,0.0,1,0.0002959,4.1
1220,7.618575,0.782399,0.01766042,0.0,1,0.00029578,4.02
1230,7.512111,0.764311,0.01766564,0.0,1,0.00029566,3.97
1240,7.575403,0.77467,0.01767138,0.0,1,0.00029554,4.02
1250,7.559468,0.76178,0.0176773,0.0,1,0.00029542,4.07
1260,7.513483,0.814266,0.01768254,0.0,1,0.0002953,3.83
1270,7.527071,0.823285,0.01768777,0.0,1,0.00029518,3.73
1280,7.463155,0.850228,0.01769329,0.0,1,0.00029505,3.76
1290,7.513417,0.828176,0.01769962,0.0,1,0.00029492,3.81
1300,7.499055,0.849706,0.01770478,0.0,1,0.00029479,3.76
1310,7.572597,0.850569,0.01770987,0.0,1,0.00029466,3.81
1320,7.538476,0.778715,0.01771592,0.0,1,0.00029453,4.06
1330,7.522339,0.747388,0.01772087,0.0,1,0.0002944,3.82
1340,7.456534,0.784634,0.01772623,0.0,1,0.00029426,3.9
1350,7.506173,0.745899,0.01773122,0.0,1,0.00029413,4.2
1360,7.523432,0.723935,0.01773695,0.0,1,0.00029399,4.43
1370,7.496383,0.675033,0.01774209,0.0,1,0.00029385,3.78
1380,7.506763,0.719482,0.01774731,0.0,1,0.00029371,4.26
1390,7.501108,0.719123,0.01775243,0.0,1,0.00029356,3.76
1400,7.483058,0.80012,0.01775665,0.0,1,0.00029342,3.96
1410,7.576387,0.807475,0.01776023,0.0,1,0.00029327,3.81
1420,7.550125,0.750485,0.01776516,0.0,1,0.00029313,3.96
1430,7.560479,0.746697,0.01777046,0.0,1,0.00029298,4.21
1440,7.541146,0.748525,0.01777574,0.0,1,0.00029283,4.26
1450,7.564713,0.699821,0.01778162,0.0,1,0.00029267,3.9
1460,7.522433,0.736575,0.01778674,0.0,1,0.00029252,3.98
1470,7.55199,0.760229,0.01779122,0.0,1,0.00029236,3.79
1480,7.531359,0.83575,0.01779678,0.0,1,0.00029221,3.76
1490,7.49664,0.719507,0.01780213,0.0,1,0.00029205,3.8
1500,7.514685,0.718975,0.01780713,0.0,1,0.00029189,4.26
1510,7.526534,0.74623,0.01781199,0.0,1,0.00029173,16.58
1520,7.503752,0.656827,0.01781574,0.0,1,0.00029156,4.22
1530,7.515783,0.67569,0.01781953,0.0,1,0.0002914,4.21
1540,7.51745,0.726642,0.01782494,0.0,1,0.00029123,3.82
1550,7.515071,0.674835,0.01783089,0.0,1,0.00029106,4.11
1560,7.512948,0.674663,0.01783593,0.0,1,0.0002909,4.08
1570,7.519484,0.720494,0.01784133,0.0,1,0.00029072,5.01
1580,7.509593,0.771699,0.01784623,0.0,1,0.00029055,3.93
1590,7.469647,0.71405,0.01785023,0.0,1,0.00029038,3.89
1600,7.486862,0.845107,0.01785553,0.0,1,0.0002902,3.87
1610,7.534752,0.674541,0.01786206,0.0,1,0.00029003,3.87
1620,7.496749,0.711938,0.01786905,0.0,1,0.00028985,3.87
1630,7.517515,0.67177,0.01787544,0.0,1,0.00028967,3.88
1640,7.458242,0.648332,0.01788035,0.0,1,0.00028948,3.91
1650,7.539422,0.709165,0.01788567,0.0,1,0.0002893,3.9
1660,7.52646,0.665794,0.0178922,0.0,1,0.00028912,3.98
1670,7.585523,0.736595,0.01789859,0.0,1,0.00028893,3.83
1680,7.497401,0.705735,0.01790479,0.0,1,0.00028874,4.06
1690,7.490143,0.699453,0.01791079,0.0,1,0.00028855,3.96
1700,7.515936,0.699125,0.01791621,0.0,1,0.00028836,4.36
1710,7.468277,0.647545,0.01792079,0.0,1,0.00028817,3.86
1720,7.534581,0.67454,0.0179259,0.0,1,0.00028798,3.89
1730,7.488866,0.670021,0.01793052,0.0,1,0.00028778,3.83
1740,7.495408,0.644481,0.01793443,0.0,1,0.00028758,3.96
1750,7.481486,0.679502,0.0179392,0.0,1,0.00028739,3.91
1760,7.475047,0.652135,0.01794413,0.0,1,0.00028719,3.8
1770,7.484156,0.650442,0.0179479,0.0,1,0.00028698,3.75
1780,7.531431,0.699473,0.01795195,0.0,1,0.00028678,3.77
1790,7.498837,0.618583,0.01795741,0.0,1,0.00028658,3.75
1800,7.540552,0.678349,0.01796282,0.0,1,0.00028637,3.8
1810,7.504731,0.627183,0.01796738,0.0,1,0.00028616,3.83
1820,7.481611,0.604702,0.01797254,0.0,1,0.00028596,3.77
1830,7.488767,0.669304,0.01797743,0.0,1,0.00028575,3.75
1840,7.538843,0.697697,0.01798152,0.0,1,0.00028553,3.8
1850,7.512867,0.647896,0.01798644,0.0,1,0.00028532,3.83
1860,7.516569,0.675824,0.01799271,0.0,1,0.00028511,3.72
1870,7.481932,0.69211,0.01799877,0.0,1,0.00028489,3.77
1880,7.492636,0.616132,0.01800425,0.0,1,0.00028467,3.77
1890,7.479925,0.657492,0.01800979,0.0,1,0.00028445,3.82
1900,7.468113,0.641944,0.0180155,0.0,1,0.00028423,3.74
1910,7.476449,0.707973,0.0180212,0.0,1,0.00028401,3.73
1920,7.438235,0.632089,0.01802594,0.0,1,0.00028379,3.73
1930,7.504366,0.615441,0.01803056,0.0,1,0.00028356,3.75
1940,7.451828,0.737093,0.01803656,0.0,1,0.00028333,3.74
1950,7.495008,0.610488,0.01804232,0.0,1,0.00028311,3.76
1960,7.486132,0.627013,0.01804705,0.0,1,0.00028288,3.75
1970,7.57535,0.649639,0.01805216,0.0,1,0.00028265,3.79
1980,7.450662,0.635386,0.01805646,0.0,1,0.00028241,3.75
1990,7.45421,0.665347,0.01806226,0.0,1,0.00028218,3.77
2000,7.481764,0.64847,0.01806729,0.0,1,0.00028194,3.81
2010,7.452306,0.614113,0.01807159,0.0,1,0.00028171,14.69
2020,7.516265,0.625586,0.01807697,0.0,1,0.00028147,3.86
2030,7.51511,0.619797,0.01808207,0.0,1,0.00028123,3.77
2040,7.48679,0.567229,0.0180882,0.0,1,0.00028099,3.76
2050,7.528008,0.670704,0.0180935,0.0,1,0.00028075,4.17
2060,7.504154,0.58413,0.01809816,0.0,1,0.0002805,4.32
2070,7.55127,0.616453,0.01810278,0.0,1,0.00028026,3.85
2080,7.505776,0.605057,0.01810642,0.0,1,0.00028001,3.87
2090,7.564356,0.648895,0.01811182,0.0,1,0.00027976,4.13
2100,7.481166,0.558693,0.01811625,0.0,1,0.00027951,3.93
2110,7.40013,0.595405,0.01812046,0.0,1,0.00027926,5.17
2120,7.504234,0.615745,0.01812595,0.0,1,0.00027901,4.75
2130,7.504852,0.636108,0.01813124,0.0,1,0.00027876,3.99
2140,7.485495,0.60433,0.01813696,0.0,1,0.0002785,3.87
2150,7.51243,0.562532,0.01814185,0.0,1,0.00027824,3.91
2160,7.537742,0.569164,0.01814656,0.0,1,0.00027799,3.9
2170,7.512462,0.599384,0.01815081,0.0,1,0.00027773,3.92
2180,7.531786,0.642775,0.01815619,0.0,1,0.00027747,3.98
2190,7.449379,0.551138,0.01816074,0.0,1,0.0002772,4.73
2200,7.525963,0.620902,0.01816588,0.0,1,0.00027694,4.73
2210,7.516823,0.642245,0.01817105,0.0,1,0.00027668,4.63
2220,7.530159,0.642438,0.01817726,0.0,1,0.00027641,4.02
2230,7.55657,0.597735,0.01818378,0.0,1,0.00027614,4.61
2240,7.579395,0.613304,0.01818928,0.0,1,0.00027587,4.61
2250,7.465607,0.658263,0.01819328,0.0,1,0.0002756,4.22
2260,7.48345,0.57766,0.01819765,0.0,1,0.00027533,3.91
2270,7.508683,0.644843,0.01820093,0.0,1,0.00027506,3.95
2280,7.520953,0.625435,0.01820485,0.0,1,0.00027478,4.58
2290,7.465074,0.594716,0.0182102,0.0,1,0.00027451,4.17
2300,7.581228,0.592178,0.01821763,0.0,1,0.00027423,4.01
2310,7.52966,0.555603,0.01822395,0.0,1,0.00027395,4.04
2320,7.430947,0.584759,0.0182275,0.0,1,0.00027367,4.26
2330,7.52061,0.571507,0.01823341,0.0,1,0.00027339,4.01
2340,7.457018,0.587923,0.01823794,0.0,1,0.00027311,3.94
2350,7.464564,0.560258,0.01824254,0.0,1,0.00027282,3.92
2360,7.502063,0.592356,0.01824729,0.0,1,0.00027254,4.02
2370,7.55595,0.600364,0.0182541,0.0,1,0.00027225,3.87
2380,7.47414,0.553894,0.01825934,0.0,1,0.00027196,4.46
2390,7.517232,0.556378,0.01826568,0.0,1,0.00027167,5.06
2400,7.514024,0.557388,0.01827151,0.0,1,0.00027138,3.92
2410,7.479774,0.547761,0.01827653,0.0,1,0.00027109,4.19
2420,7.500278,0.554441,0.01828003,0.0,1,0.0002708,4.46
2430,7.531289,0.603778,0.01828464,0.0,1,0.0002705,4.34
2440,7.472011,0.525877,0.01828825,0.0,1,0.00027021,4.37
2450,7.55725,0.57199,0.01829488,0.0,1,0.00026991,4.29
2460,7.513297,0.521384,0.01829982,0.0,1,0.00026961,4.66
2470,7.512051,0.528531,0.01830417,0.0,1,0.00026931,4.18
2480,7.449213,0.667382,0.01830831,0.0,1,0.00026901,4.01
2490,7.553086,0.534832,0.01831333,0.0,1,0.00026871,4.13
