step,train_loss,gradient_norm,q1_residual_rms,injected_noise_rms,bits_used,lr,elapsed_s
10,10.1889,8.711812,0.01710239,0.01710174,16,5.4e-06,3.77
20,10.045595,8.37877,0.0171024,0.01710242,16,1.14e-05,3.8
30,9.66512,6.91367,0.01710245,0.01710214,16,1.74e-05,3.84
40,9.327912,5.42838,0.01710258,0.01710342,16,2.34e-05,3.9
50,9.114247,3.795585,0.01710282,0.0171058,16,2.94e-05,3.85
60,8.840033,2.980776,0.01710319,0.0171035,16,3.54e-05,3.85
70,8.717271,2.597375,0.01710367,0.0171036,16,4.14e-05,3.85
80,8.582716,2.007054,0.01710423,0.01710505,16,4.74e-05,3.97
90,8.352686,1.807465,0.01710489,0.01710567,16,5.34e-05,3.86
100,8.279279,1.553883,0.01710562,0.01710475,16,5.94e-05,3.95
110,8.151089,1.646581,0.01710637,0.01710517,16,6.54e-05,3.87
120,7.996802,1.302663,0.0171072,0.01710731,16,7.14e-05,3.93
130,7.930829,1.33039,0.01710809,0.01710734,16,7.74e-05,3.89
140,7.858966,1.356702,0.01710905,0.0171108,16,8.34e-05,3.87
150,7.759053,1.24397,0.0171101,0.0171096,16,8.94e-05,3.9
160,7.671784,1.289762,0.01711124,0.01711231,16,9.54e-05,3.95
170,7.70495,1.26239,0.01711244,0.01711219,16,0.0001014,3.92
180,7.615521,1.185862,0.01711369,0.01711302,16,0.0001074,3.92
190,7.614084,1.385783,0.01711501,0.01711399,16,0.0001134,3.96
200,7.649866,1.267562,0.01711639,0.01711667,16,0.0001194,3.86
210,7.540501,1.071755,0.01711787,0.01711806,16,0.0001254,3.91
220,7.563413,1.168779,0.01711943,0.01711833,16,0.0001314,3.88
230,7.499439,1.136012,0.01712102,0.01712044,16,0.0001374,3.88
240,7.552428,1.005434,0.01712272,0.01712436,16,0.0001434,3.89
250,7.55226,1.073977,0.01712455,0.01712499,16,0.0001494,3.95
260,7.573331,1.124975,0.01712651,0.01712596,16,0.0001554,3.98
270,7.609364,1.099016,0.0171287,0.0171289,16,0.0001614,3.98
280,7.610922,1.092476,0.01713111,0.01713081,16,0.0001674,3.91
290,7.609712,1.101371,0.01713364,0.01713409,16,0.0001734,3.89
300,7.564616,1.089261,0.01713635,0.01713694,16,0.0001794,3.9
310,7.542115,1.105192,0.01713925,0.01713737,16,0.0001854,3.94
320,7.616789,1.117249,0.01714241,0.01714332,16,0.0001914,3.99
330,7.537289,0.941506,0.01714562,0.01714559,16,0.0001974,3.89
340,7.656757,1.107616,0.01714908,0.01714876,16,0.0002034,3.93
350,7.590412,0.961794,0.01715273,0.01715274,16,0.0002094,3.96
360,7.590808,0.998134,0.0171567,0.01715549,16,0.0002154,3.92
370,7.586389,1.164734,0.0171609,0.01716053,16,0.0002214,3.91
380,7.573858,1.002978,0.01716512,0.01716368,16,0.0002274,3.9
390,7.559077,1.123727,0.0171696,0.01717056,16,0.0002334,3.92
400,7.602812,0.971902,0.01717444,0.01717336,16,0.0002394,3.93
410,7.582344,1.027518,0.0171794,0.01717635,16,0.0002454,3.9
420,7.633121,0.954445,0.01718481,0.01718437,16,0.0002514,3.97
430,7.650359,1.024905,0.01719052,0.01718921,16,0.0002574,3.88
440,7.621757,1.106425,0.01719659,0.0171946,16,0.0002634,3.91
450,7.622124,1.041838,0.01720303,0.01720232,16,0.0002694,3.92
460,7.646533,1.059945,0.01720947,0.01720757,16,0.0002754,3.94
470,7.622363,1.063483,0.01721611,0.01721552,16,0.0002814,3.96
480,7.568035,0.97702,0.0172232,0.0172223,16,0.0002874,3.93
490,7.605561,1.040177,0.01723039,0.01722862,16,0.0002934,3.92
500,7.543939,1.044805,0.0172378,0.01723762,16,0.0002994,4.0
510,7.595175,0.982744,0.01724508,0.01724249,16,0.0003,13.42
520,7.571672,1.019632,0.0172526,0.01725066,16,0.0003,3.88
530,7.514325,1.09793,0.01726048,0.01726068,16,0.00029999,3.89
540,7.574464,1.218945,0.01726858,0.01726844,16,0.00029999,3.91
550,7.580284,0.955775,0.01727657,0.01727456,16,0.00029998,3.97
560,7.628879,0.889131,0.01728375,0.01728352,16,0.00029997,3.98
570,7.596387,0.91794,0.01729098,0.01729066,16,0.00029996,3.96
580,7.694143,0.984308,0.01729885,0.017297,16,0.00029995,4.57
590,7.625297,0.962601,0.01730695,0.01730669,16,0.00029994,3.94
600,7.669526,0.989302,0.01731519,0.01731576,16,0.00029992,3.96
610,7.544808,1.008095,0.01732312,0.01732246,16,0.0002999,3.95
620,7.56346,1.16198,0.01733061,0.01732893,16,0.00029988,3.91
630,7.576698,0.907962,0.01733818,0.01733843,16,0.00029986,3.98
640,7.586497,0.88313,0.01734617,0.01734584,16,0.00029984,4.06
650,7.58426,0.977353,0.01735465,0.01735383,16,0.00029982,3.96
660,7.592063,0.997309,0.01736307,0.01736231,16,0.00029979,3.92
670,7.528398,0.878808,0.01737161,0.01736984,16,0.00029977,3.94
680,7.577467,0.828332,0.01737996,0.01737766,16,0.00029974,3.91
690,7.508731,0.918207,0.01738775,0.017387,16,0.00029971,4.03
700,7.578794,1.035843,0.01739561,0.01739635,16,0.00029968,4.06
710,7.612593,0.87757,0.01740368,0.01740288,16,0.00029964,4.05
720,7.565712,0.958934,0.01741174,0.01741179,16,0.00029961,3.98
730,7.564905,0.96451,0.0174189,0.0174187,16,0.00029957,3.99
740,7.571664,0.941695,0.0174262,0.01742452,16,0.00029953,4.0
750,7.618552,0.874108,0.01743361,0.01743142,16,0.00029949,4.0
760,7.580457,0.926722,0.01744074,0.01743976,16,0.00029945,3.97
770,7.595282,0.833463,0.01744814,0.01744799,16,0.00029941,3.99
780,7.583341,0.918095,0.01745528,0.01745445,16,0.00029936,3.99
790,7.536287,0.964776,0.01746241,0.01746179,16,0.00029932,3.94
800,7.623835,0.95091,0.01746984,0.01746827,16,0.00029927,3.94
810,7.503256,0.921966,0.01747831,0.0174773,16,0.00029922,3.93
820,7.57444,1.000857,0.01748671,0.01748766,16,0.00029917,3.93
830,7.614015,0.928546,0.017495,0.0174939,16,0.00029911,3.92
840,7.557216,0.89949,0.01750336,0.01750436,16,0.00029906,3.96
850,7.628785,0.988057,0.01751137,0.01751118,16,0.000299,4.01
860,7.605258,0.83817,0.01751922,0.01751928,16,0.00029894,3.91
870,7.539602,0.914982,0.01752662,0.01752523,16,0.00029888,3.97
880,7.507097,0.891058,0.01753427,0.01753322,16,0.00029882,4.01
890,7.555644,0.959929,0.01754235,0.01754109,16,0.00029876,3.96
900,7.562952,0.841542,0.01754995,0.01755078,16,0.0002987,4.0
910,7.580588,0.840482,0.01755724,0.01755757,16,0.00029863,4.14
920,7.517552,0.888272,0.01756433,0.01756203,16,0.00029856,3.98
930,7.567043,0.875668,0.01757176,0.01757201,16,0.00029849,4.03
940,7.617051,0.901799,0.01757852,0.01757756,16,0.00029842,3.95
950,7.589918,0.885953,0.01758573,0.01758589,16,0.00029835,3.94
960,7.579381,0.798343,0.01759338,0.01759233,16,0.00029828,3.93
970,7.554859,0.832338,0.01760033,0.01759827,16,0.0002982,3.95
980,7.591074,0.896688,0.01760702,0.01760687,16,0.00029812,3.91
990,7.586171,0.801698,0.01761388,0.01761257,16,0.00029804,3.93
1000,7.541833,0.779277,0.01762095,0.01761914,16,0.00029796,4.0
1010,7.594089,0.79665,0.01762836,0.01762782,16,0.00029788,13.2
1020,7.492559,0.805367,0.01763515,0.01763281,16,0.0002978,3.95
1030,7.570681,0.773849,0.01764109,0.01764073,16,0.00029771,3.94
1040,7.528123,0.808408,0.01764753,0.01764583,16,0.00029762,3.92
1050,7.531357,0.827585,0.01765417,0.01765248,16,0.00029753,3.93
1060,7.574875,0.866862,0.0176612,0.01765865,16,0.00029744,3.95
