step,train_loss,gradient_norm,q1_residual_rms,injected_noise_rms,bits_used,lr,elapsed_s
10,10.19325,8.87456,0.01710239,0.01710172,16,5.4e-06,3.79
20,10.043858,8.371136,0.0171024,0.01710265,16,1.14e-05,3.98
30,9.662406,6.835728,0.01710245,0.01710243,16,1.74e-05,3.99
40,9.333915,5.40201,0.01710258,0.01710331,16,2.34e-05,4.02
50,9.111952,3.843728,0.01710283,0.01710399,16,2.94e-05,3.99
60,8.843286,2.997638,0.01710319,0.0171037,16,3.54e-05,4.02
70,8.720374,2.639233,0.01710367,0.01710372,16,4.14e-05,4.01
80,8.584061,2.019497,0.01710423,0.01710497,16,4.74e-05,4.07
90,8.353129,1.808528,0.01710488,0.01710502,16,5.34e-05,4.07
100,8.278119,1.531353,0.01710561,0.01710466,16,5.94e-05,4.07
110,8.149842,1.660929,0.01710636,0.01710592,16,6.54e-05,4.04
120,7.996251,1.295252,0.0171072,0.01710713,16,7.14e-05,4.02
130,7.930474,1.337407,0.0171081,0.01710746,16,7.74e-05,4.06
140,7.857446,1.336696,0.01710906,0.01711008,16,8.34e-05,4.03
150,7.758232,1.242247,0.01711012,0.01710946,16,8.94e-05,4.1
160,7.670435,1.295293,0.01711127,0.01711246,16,9.54e-05,4.08
170,7.703956,1.262794,0.01711247,0.01711317,16,0.0001014,4.03
180,7.61502,1.183104,0.0171137,0.01711295,16,0.0001074,4.06
190,7.614251,1.390547,0.01711502,0.01711428,16,0.0001134,4.04
200,7.64945,1.254346,0.01711639,0.01711666,16,0.0001194,4.01
210,7.539921,1.065918,0.01711788,0.01711745,16,0.0001254,4.03
220,7.561965,1.14218,0.01711941,0.01711895,16,0.0001314,4.02
230,7.499708,1.116736,0.01712099,0.01712051,16,0.0001374,4.02
240,7.553746,1.00074,0.0171227,0.01712395,16,0.0001434,4.03
250,7.551633,1.067937,0.01712454,0.01712477,16,0.0001494,4.09
260,7.572285,1.107362,0.01712649,0.01712586,16,0.0001554,4.09
270,7.609822,1.096644,0.01712868,0.01712841,16,0.0001614,4.06
280,7.611378,1.087583,0.0171311,0.01713047,16,0.0001674,4.1
290,7.610895,1.11096,0.01713365,0.01713366,16,0.0001734,4.1
300,7.565498,1.091909,0.01713636,0.01713664,16,0.0001794,4.06
310,7.541704,1.098945,0.01713928,0.01713841,16,0.0001854,4.02
320,7.617109,1.119468,0.01714242,0.01714314,16,0.0001914,4.04
330,7.537386,0.941413,0.01714561,0.01714494,16,0.0001974,4.06
340,7.65629,1.107126,0.01714906,0.0171489,16,0.0002034,4.03
350,7.58983,0.956499,0.01715269,0.01715208,16,0.0002094,4.04
360,7.591044,0.998469,0.01715664,0.01715583,16,0.0002154,4.04
370,7.586579,1.163697,0.0171608,0.01716054,16,0.0002214,4.06
380,7.573843,0.998809,0.01716496,0.01716444,16,0.0002274,4.04
390,7.559251,1.123149,0.01716944,0.01716982,16,0.0002334,4.03
400,7.602754,0.973777,0.01717428,0.01717352,16,0.0002394,4.07
410,7.582561,1.030414,0.01717923,0.01717728,16,0.0002454,4.06
420,7.632879,0.955971,0.01718461,0.01718435,16,0.0002514,4.03
430,7.650837,1.031948,0.01719033,0.01718926,16,0.0002574,4.11
440,7.622107,1.109058,0.01719634,0.01719491,16,0.0002634,4.03
450,7.621703,1.044324,0.01720274,0.01720173,16,0.0002694,4.04
460,7.6466,1.060498,0.01720913,0.01720779,16,0.0002754,4.06
470,7.622542,1.060442,0.01721575,0.017215,16,0.0002814,4.03
480,7.568366,0.975551,0.01722287,0.0172222,16,0.0002874,4.08
490,7.60557,1.03635,0.01723006,0.01722849,16,0.0002934,4.11
500,7.544197,1.043063,0.01723743,0.01723725,16,0.0002994,4.01
510,7.596037,0.982722,0.0172447,0.01724277,16,0.0003,13.63
520,7.57209,1.016665,0.01725221,0.01725076,16,0.0003,4.0
530,7.514528,1.096153,0.01726006,0.01725982,16,0.00029999,4.1
540,7.574632,1.215835,0.01726813,0.01726771,16,0.00029999,4.03
550,7.580782,0.957299,0.01727624,0.01727526,16,0.00029998,4.03
560,7.629692,0.893003,0.01728353,0.01728285,16,0.00029997,4.06
570,7.596495,0.917752,0.01729096,0.01729037,16,0.00029996,4.04
580,7.694592,0.982077,0.01729895,0.01729746,16,0.00029995,4.03
590,7.625526,0.960408,0.01730716,0.01730672,16,0.00029994,4.03
600,7.669504,0.98585,0.01731552,0.01731561,16,0.00029992,4.07
610,7.545183,1.007277,0.01732346,0.01732297,16,0.0002999,4.02
620,7.563437,1.157112,0.01733096,0.01733026,16,0.00029988,4.02
630,7.57669,0.904924,0.0173386,0.01733811,16,0.00029986,4.02
640,7.586749,0.88116,0.01734667,0.0173459,16,0.00029984,4.08
650,7.584549,0.974297,0.01735516,0.01735359,16,0.00029982,4.02
660,7.592474,0.995439,0.01736356,0.01736274,16,0.00029979,4.11
670,7.528383,0.87995,0.0173721,0.01737091,16,0.00029977,4.16
680,7.577828,0.826589,0.01738035,0.01737854,16,0.00029974,4.05
690,7.508888,0.916299,0.01738805,0.01738784,16,0.00029971,4.04
700,7.579181,1.03568,0.01739586,0.01739573,16,0.00029968,4.03
710,7.612801,0.878813,0.01740385,0.01740352,16,0.00029964,4.03
720,7.565681,0.959442,0.01741189,0.01741171,16,0.00029961,4.04
730,7.565107,0.960922,0.01741902,0.0174186,16,0.00029957,4.01
740,7.571401,0.943865,0.01742631,0.01742518,16,0.00029953,4.02
750,7.618772,0.875876,0.01743371,0.01743236,16,0.00029949,4.06
760,7.580603,0.926279,0.01744088,0.01744012,16,0.00029945,4.02
770,7.595565,0.835286,0.01744826,0.01744731,16,0.00029941,4.03
780,7.583471,0.9191,0.01745538,0.01745498,16,0.00029936,4.04
790,7.536812,0.96876,0.01746253,0.01746183,16,0.00029932,4.03
800,7.623888,0.949502,0.01747004,0.01746869,16,0.00029927,4.04
810,7.503541,0.922237,0.01747851,0.01747746,16,0.00029922,4.03
820,7.574428,1.00205,0.01748682,0.01748706,16,0.00029917,4.06
830,7.613958,0.929651,0.0174951,0.01749398,16,0.00029911,4.03
840,7.557329,0.899365,0.01750352,0.01750397,16,0.00029906,4.02
850,7.628919,0.98916,0.01751152,0.01751097,16,0.000299,4.03
860,7.605474,0.839467,0.01751924,0.01751878,16,0.00029894,4.04
870,7.539738,0.913839,0.0175266,0.01752588,16,0.00029888,4.07
880,7.507043,0.888785,0.01753408,0.01753316,16,0.00029882,4.06
890,7.556081,0.959695,0.01754207,0.01754163,16,0.00029876,4.02
900,7.5629,0.840812,0.01754976,0.0175492,16,0.0002987,4.17
910,7.580624,0.840706,0.01755707,0.01755697,16,0.00029863,4.05
920,7.517302,0.886838,0.01756415,0.01756285,16,0.00029856,4.01
930,7.567079,0.876668,0.01757154,0.0175714,16,0.00029849,4.03
940,7.617259,0.903394,0.01757835,0.01757755,16,0.00029842,4.02
950,7.590029,0.886516,0.01758561,0.01758561,16,0.00029835,4.02
960,7.579193,0.798083,0.01759319,0.01759252,16,0.00029828,4.03
970,7.554587,0.831298,0.01760009,0.0175981,16,0.0002982,4.1
980,7.590682,0.895184,0.01760681,0.01760669,16,0.00029812,4.01
990,7.585766,0.799657,0.01761385,0.01761258,16,0.00029804,4.01
1000,7.541686,0.775588,0.01762102,0.01761959,16,0.00029796,4.07
1010,7.59384,0.794386,0.0176284,0.01762721,16,0.00029788,13.71
1020,7.492512,0.804935,0.0176351,0.01763365,16,0.0002978,4.04
1030,7.570563,0.773339,0.017641,0.01764105,16,0.00029771,4.01
1040,7.528429,0.807764,0.01764751,0.01764601,16,0.00029762,4.02
1050,7.531133,0.827059,0.01765426,0.01765389,16,0.00029753,4.08
1060,7.5745,0.865548,0.01766131,0.0176589,16,0.00029744,4.08
1070,7.573742,0.761315,0.01766827,0.01766754,16,0.00029735,4.05
1080,7.510819,0.867744,0.01767441,0.01767452,16,0.00029726,4.01
1090,7.529013,0.840693,0.01768099,0.01768081,16,0.00029716,4.08
1100,7.500058,0.773859,0.01768776,0.01768737,16,0.00029707,4.08
1110,7.572884,0.81844,0.01769458,0.01769535,16,0.00029697,4.02
1120,7.534677,0.82223,0.01770138,0.01770094,16,0.00029687,4.08
1130,7.550687,0.90548,0.01770808,0.01770685,16,0.00029677,4.06
1140,7.515785,0.755917,0.01771522,0.01771387,16,0.00029666,4.08
1150,7.559479,0.809358,0.01772212,0.01772138,16,0.00029656,3.99
1160,7.519706,0.76759,0.01772955,0.01772799,16,0.00029645,3.98
1170,7.502582,0.815947,0.01773724,0.01773668,16,0.00029634,4.05
1180,7.506899,0.858373,0.01774419,0.01774321,16,0.00029623,3.99
1190,7.576805,0.778029,0.01775069,0.01775056,16,0.00029612,3.96
1200,7.521377,0.812364,0.01775737,0.01775549,16,0.00029601,3.98
1210,7.581575,0.813844,0.01776403,0.01776286,16,0.0002959,3.97
1220,7.549192,0.803011,0.01777071,0.01777082,16,0.00029578,3.97
1230,7.492553,0.790056,0.01777735,0.01777629,16,0.00029566,3.95
1240,7.523507,0.784399,0.01778422,0.01778276,16,0.00029554,4.01
1250,7.524215,0.738142,0.01779106,0.01779082,16,0.00029542,4.02
1260,7.581407,0.816925,0.01779762,0.01779672,16,0.0002953,4.01
1270,7.525677,0.798689,0.01780405,0.01780373,16,0.00029518,3.98
1280,7.596337,0.783948,0.01781067,0.01781065,16,0.00029505,3.99
1290,7.569528,0.822536,0.01781693,0.01781662,16,0.00029492,4.04
1300,7.615251,0.853123,0.01782357,0.0178228,16,0.00029479,4.08
1310,7.513483,0.90889,0.01783034,0.01783016,16,0.00029466,4.03
1320,7.588446,0.785492,0.01783738,0.01783672,16,0.00029453,4.06
1330,7.568768,0.734258,0.01784399,0.01784339,16,0.0002944,4.0
1340,7.540315,0.736533,0.01784988,0.01784975,16,0.00029426,3.99
1350,7.556551,0.734567,0.01785621,0.01785515,16,0.00029413,4.0
1360,7.626966,0.793244,0.0178628,0.01786209,16,0.00029399,4.0
1370,7.531927,0.756824,0.01786956,0.01786942,16,0.00029385,4.01
1380,7.511574,0.827058,0.01787604,0.01787609,16,0.00029371,3.97
1390,7.536,0.810594,0.0178831,0.01788191,16,0.00029356,4.08
1400,7.530375,0.835473,0.01788998,0.01788817,16,0.00029342,4.05
1410,7.480446,0.756612,0.01789667,0.01789529,16,0.00029327,4.06
1420,7.671835,0.870822,0.01790343,0.01790353,16,0.00029313,4.06
1430,7.45648,0.779026,0.01790976,0.01790933,16,0.00029298,4.0
1440,7.545695,0.760937,0.01791658,0.01791489,16,0.00029283,4.0
1450,7.498147,0.747996,0.01792299,0.01792201,16,0.00029267,4.02
1460,7.530188,0.681647,0.01792974,0.01793006,16,0.00029252,4.11
