step,train_loss,gradient_norm,q1_residual_rms,injected_noise_rms,bits_used,lr,elapsed_s
10,10.2438,7.556106,0.01710006,0.0,16,5.4e-06,2.99
20,9.776348,6.008992,0.01710011,0.0,16,1.14e-05,2.9
30,9.125744,4.043394,0.01710031,0.0,16,1.74e-05,2.92
40,8.837883,3.190774,0.01710066,0.0,16,2.34e-05,2.93
50,8.687919,2.866255,0.01710104,0.0,16,2.94e-05,2.96
60,8.536377,2.526029,0.01710135,0.0,16,3.54e-05,2.94
70,8.403227,2.41571,0.01710157,0.0,16,4.14e-05,2.96
80,8.285224,2.100163,0.01710174,0.0,16,4.74e-05,2.98
90,8.16434,2.21539,0.01710189,0.0,16,5.34e-05,2.99
100,8.067513,1.895038,0.01710206,0.0,16,5.94e-05,3.02
110,8.002028,1.628435,0.01710229,0.0,16,6.54e-05,3.05
120,7.913518,1.480741,0.01710254,0.0,16,7.14e-05,3.07
130,7.785917,1.410735,0.0171028,0.0,16,7.74e-05,3.09
140,7.732001,1.521136,0.0171032,0.0,16,8.34e-05,3.11
150,7.647642,1.431863,0.01710364,0.0,16,8.94e-05,3.13
160,7.599485,1.366621,0.01710411,0.0,16,9.54e-05,3.16
170,7.595877,1.378664,0.01710464,0.0,16,0.0001014,3.2
180,7.609068,1.249686,0.01710527,0.0,16,0.0001074,3.26
190,7.540298,1.189073,0.01710602,0.0,16,0.0001134,3.29
200,7.613714,1.275739,0.01710685,0.0,16,0.0001194,3.34
210,7.596991,1.119622,0.01710772,0.0,16,0.0001254,3.36
220,7.683172,1.138712,0.01710864,0.0,16,0.0001314,3.44
230,7.566612,1.275306,0.01710972,0.0,16,0.0001374,3.44
240,7.561069,1.156753,0.01711092,0.0,16,0.0001434,3.58
250,7.551105,1.213613,0.01711228,0.0,16,0.0001494,3.58
260,7.562585,1.138049,0.01711374,0.0,16,0.0001554,3.67
270,7.54214,1.117127,0.01711538,0.0,16,0.0001614,3.71
280,7.57464,1.097873,0.01711715,0.0,16,0.0001674,3.77
290,7.579353,1.106425,0.01711894,0.0,16,0.0001734,3.87
300,7.583735,1.128659,0.01712111,0.0,16,0.0001794,3.9
310,7.565071,1.060484,0.01712335,0.0,16,0.0001854,3.9
320,7.623482,0.99848,0.01712577,0.0,16,0.0001914,3.96
330,7.603275,1.002228,0.01712822,0.0,16,0.0001974,4.04
340,7.602018,1.00852,0.01713116,0.0,16,0.0002034,4.01
350,7.623515,0.999536,0.0171341,0.0,16,0.0002094,4.05
360,7.585497,1.051646,0.01713707,0.0,16,0.0002154,4.08
370,7.580666,1.05224,0.01714035,0.0,16,0.0002214,4.09
380,7.574204,0.985835,0.01714389,0.0,16,0.0002274,4.12
390,7.555513,1.056476,0.01714769,0.0,16,0.0002334,4.11
400,7.586986,1.021272,0.01715149,0.0,16,0.0002394,4.23
410,7.613259,1.023923,0.01715525,0.0,16,0.0002454,4.11
420,7.574899,0.997183,0.01715952,0.0,16,0.0002514,4.15
430,7.634968,1.180571,0.01716421,0.0,16,0.0002574,4.07
440,7.603586,0.937524,0.01716933,0.0,16,0.0002634,4.1
450,7.546691,1.098703,0.01717456,0.0,16,0.0002694,4.09
460,7.679074,0.955228,0.01717972,0.0,16,0.0002754,4.06
470,7.630286,1.026508,0.01718506,0.0,16,0.0002814,4.08
480,7.615745,1.059021,0.01719106,0.0,16,0.0002874,4.04
490,7.582434,0.978435,0.01719724,0.0,16,0.0002934,4.04
500,7.563852,1.116811,0.01720403,0.0,16,0.0002994,4.01
510,7.534367,0.933872,0.01721016,0.0,16,0.0003,14.24
520,7.63546,0.984511,0.0172165,0.0,16,0.0003,3.97
530,7.58752,0.963611,0.01722348,0.0,16,0.00029999,4.0
540,7.573003,0.965013,0.01723075,0.0,16,0.00029999,3.99
550,7.543811,1.047824,0.01723764,0.0,16,0.00029998,3.98
560,7.515513,1.007728,0.0172438,0.0,16,0.00029997,3.98
570,7.578279,1.016994,0.01725066,0.0,16,0.00029996,4.0
580,7.566221,0.98135,0.01725754,0.0,16,0.00029995,4.07
590,7.578831,1.020699,0.01726408,0.0,16,0.00029994,3.95
600,7.651092,0.925044,0.01727144,0.0,16,0.00029992,3.95
610,7.58726,0.968696,0.01727847,0.0,16,0.0002999,3.99
620,7.587658,1.134713,0.01728514,0.0,16,0.00029988,4.25
