step,train_loss,gradient_norm,q1_residual_rms,injected_noise_rms,bits_used,lr,elapsed_s
10,10.258689,7.165805,0.01710006,0.0,1,5.4e-06,3.97
20,9.927334,6.612972,0.0171001,0.0,1,1.14e-05,4.07
30,9.373948,5.285817,0.01710029,0.0,1,1.74e-05,4.07
40,8.996633,3.988625,0.0171007,0.0,1,2.34e-05,4.06
50,8.770466,3.473192,0.01710126,0.0,1,2.94e-05,4.06
60,8.584034,3.246053,0.01710181,0.0,1,3.54e-05,4.06
70,8.434274,3.001381,0.01710229,0.0,1,4.14e-05,4.05
80,8.316341,2.731184,0.01710274,0.0,1,4.74e-05,4.17
90,8.183936,2.886442,0.01710315,0.0,1,5.34e-05,4.05
100,8.08918,2.427027,0.01710356,0.0,1,5.94e-05,4.03
110,8.017366,2.099801,0.01710397,0.0,1,6.54e-05,4.02
120,7.924933,1.931165,0.01710442,0.0,1,7.14e-05,4.02
130,7.79969,1.846027,0.01710491,0.0,1,7.74e-05,4.01
140,7.735163,1.907995,0.01710559,0.0,1,8.34e-05,4.0
150,7.646712,1.756097,0.01710624,0.0,1,8.94e-05,3.99
160,7.597934,1.666821,0.01710697,0.0,1,9.54e-05,4.0
170,7.592544,1.710178,0.01710779,0.0,1,0.0001014,4.0
180,7.606891,1.482825,0.01710872,0.0,1,0.0001074,4.01
190,7.538545,1.389625,0.01710969,0.0,1,0.0001134,4.01
200,7.609491,1.482691,0.01711082,0.0,1,0.0001194,4.0
210,7.596481,1.303406,0.01711204,0.0,1,0.0001254,4.0
220,7.683359,1.316625,0.01711334,0.0,1,0.0001314,3.99
230,7.565935,1.457325,0.01711497,0.0,1,0.0001374,3.98
240,7.566633,1.304023,0.01711671,0.0,1,0.0001434,4.0
250,7.551794,1.355926,0.01711853,0.0,1,0.0001494,4.2
260,7.562985,1.240591,0.0171204,0.0,1,0.0001554,4.21
270,7.542364,1.222651,0.01712252,0.0,1,0.0001614,3.98
280,7.576719,1.208607,0.01712474,0.0,1,0.0001674,3.98
290,7.583381,1.220975,0.01712713,0.0,1,0.0001734,3.99
300,7.586877,1.219067,0.01712975,0.0,1,0.0001794,3.98
310,7.571696,1.14168,0.01713251,0.0,1,0.0001854,4.0
320,7.627739,1.072188,0.01713565,0.0,1,0.0001914,4.01
330,7.607795,1.064081,0.01713877,0.0,1,0.0001974,4.01
340,7.6056,1.081212,0.01714226,0.0,1,0.0002034,4.0
350,7.629847,1.067639,0.01714581,0.0,1,0.0002094,4.0
360,7.59012,1.10505,0.01714935,0.0,1,0.0002154,4.02
370,7.588015,1.108417,0.01715309,0.0,1,0.0002214,4.0
380,7.577556,1.037725,0.01715714,0.0,1,0.0002274,4.02
390,7.560503,1.10162,0.01716147,0.0,1,0.0002334,4.03
400,7.592972,1.061805,0.01716605,0.0,1,0.0002394,4.11
410,7.621666,1.073631,0.01717103,0.0,1,0.0002454,3.99
420,7.578451,1.03903,0.01717664,0.0,1,0.0002514,4.01
430,7.641397,1.229081,0.01718263,0.0,1,0.0002574,4.0
440,7.610061,0.976451,0.01718849,0.0,1,0.0002634,4.0
450,7.550183,1.142766,0.01719432,0.0,1,0.0002694,4.01
460,7.680505,0.991007,0.01720041,0.0,1,0.0002754,4.01
470,7.634692,1.065492,0.01720739,0.0,1,0.0002814,4.01
480,7.619766,1.09681,0.01721454,0.0,1,0.0002874,4.0
490,7.585253,1.007965,0.01722177,0.0,1,0.0002934,4.11
500,7.566148,1.143064,0.0172291,0.0,1,0.0002994,3.97
510,7.53421,0.956764,0.01723701,0.0,1,0.0003,15.54
520,7.636786,1.006541,0.01724521,0.0,1,0.0003,4.02
