step,train_loss,gradient_norm,q1_residual_rms,injected_noise_rms,bits_used,lr,elapsed_s
10,10.150276,7.676602,0.01710654,0.01710635,16,5.4e-06,4.22
20,9.944296,7.457196,0.01710654,0.01710683,16,1.14e-05,4.24
30,9.688046,6.019124,0.01710657,0.01710805,16,1.74e-05,4.23
40,9.389989,5.207466,0.01710669,0.01710622,16,2.34e-05,4.23
50,9.118936,3.689934,0.01710692,0.01710689,16,2.94e-05,4.24
60,8.888865,3.044291,0.01710729,0.01710602,16,3.54e-05,4.24
70,8.735294,2.441558,0.01710777,0.01710731,16,4.14e-05,4.3
80,8.634899,2.163418,0.01710836,0.01710969,16,4.74e-05,4.24
90,8.418146,2.033128,0.01710904,0.0171097,16,5.34e-05,4.57
100,8.27091,1.66479,0.01710983,0.01710978,16,5.94e-05,4.46
110,8.164874,1.664976,0.01711068,0.0171111,16,6.54e-05,4.31
120,8.052527,1.549309,0.01711157,0.01711068,16,7.14e-05,4.33
130,7.927922,1.442108,0.0171125,0.01711215,16,7.74e-05,4.35
140,7.885556,1.348053,0.01711351,0.01711309,16,8.34e-05,4.34
150,7.751983,1.153146,0.0171146,0.01711568,16,8.94e-05,4.35
160,7.626997,1.193938,0.01711578,0.01711334,16,9.54e-05,4.33
170,7.627672,1.227482,0.01711702,0.01711705,16,0.0001014,4.34
180,7.58855,1.221751,0.01711831,0.01711932,16,0.0001074,4.37
190,7.633083,1.202128,0.0171197,0.01712022,16,0.0001134,4.34
200,7.563891,1.057514,0.0171211,0.01712069,16,0.0001194,4.36
210,7.490553,1.084633,0.0171225,0.01712295,16,0.0001254,4.35
220,7.532925,1.138377,0.01712406,0.01712442,16,0.0001314,4.35
230,7.558499,1.12972,0.01712569,0.01712612,16,0.0001374,4.43
240,7.619105,1.209892,0.01712747,0.01712765,16,0.0001434,4.34
250,7.600313,1.127221,0.01712949,0.01712984,16,0.0001494,4.34
260,7.552849,1.062434,0.01713167,0.01713124,16,0.0001554,4.36
270,7.603543,1.154938,0.01713395,0.0171336,16,0.0001614,4.37
280,7.647104,1.140831,0.01713649,0.01713665,16,0.0001674,4.34
290,7.604242,1.137698,0.01713926,0.01713878,16,0.0001734,4.35
300,7.615129,1.131038,0.01714203,0.01714165,16,0.0001794,4.35
310,7.616869,0.973994,0.01714485,0.01714399,16,0.0001854,4.35
320,7.572489,1.022096,0.0171478,0.0171471,16,0.0001914,4.33
330,7.563744,0.993877,0.01715108,0.01715167,16,0.0001974,4.31
340,7.643568,1.058892,0.01715455,0.01715394,16,0.0002034,4.32
350,7.621501,1.041075,0.01715827,0.01715612,16,0.0002094,4.31
360,7.59071,1.018269,0.01716211,0.01716105,16,0.0002154,4.32
370,7.535229,1.091308,0.01716623,0.01716577,16,0.0002214,4.41
380,7.616135,1.072046,0.01717067,0.0171689,16,0.0002274,4.32
390,7.535661,1.140843,0.01717553,0.01717431,16,0.0002334,4.33
400,7.555874,1.03589,0.01718042,0.01717923,16,0.0002394,4.37
410,7.758312,1.091058,0.01718573,0.01718507,16,0.0002454,4.33
420,7.69394,1.12574,0.01719126,0.01718954,16,0.0002514,4.31
430,7.627032,1.121613,0.017197,0.01719583,16,0.0002574,4.32
440,7.627827,0.99991,0.01720252,0.01720208,16,0.0002634,4.33
450,7.664982,0.990028,0.01720835,0.01720741,16,0.0002694,4.31
460,7.649907,1.047491,0.01721459,0.01721246,16,0.0002754,4.33
470,7.600854,1.122966,0.0172214,0.01722169,16,0.0002814,4.31
480,7.603664,1.11375,0.01722838,0.01722824,16,0.0002874,4.31
490,7.601305,1.080796,0.01723573,0.01723312,16,0.0002934,4.31
500,7.5973,1.017932,0.01724342,0.01724293,16,0.0002994,4.3
510,7.627052,0.926003,0.01725164,0.01725032,16,0.0003,14.45
520,7.632944,0.956626,0.01725954,0.01725944,16,0.0003,4.32
530,7.567652,0.926259,0.01726737,0.01726687,16,0.00029999,4.33
540,7.553669,1.041153,0.01727559,0.01727492,16,0.00029999,4.33
550,7.629983,0.976911,0.01728391,0.01728329,16,0.00029998,4.34
560,7.626256,1.01144,0.01729232,0.01729177,16,0.00029997,4.35
