step,train_loss,gradient_norm,q1_residual_rms,injected_noise_rms,bits_used,lr,elapsed_s
10,10.146748,7.637144,0.01710654,0.01710663,16,5.4e-06,4.12
20,9.945637,7.411176,0.01710654,0.01710684,16,1.14e-05,4.25
30,9.687295,5.981801,0.01710658,0.01710753,16,1.74e-05,4.25
40,9.389989,5.241193,0.0171067,0.01710613,16,2.34e-05,4.26
50,9.119078,3.727795,0.01710693,0.01710664,16,2.94e-05,4.26
60,8.892512,3.114127,0.01710729,0.0171067,16,3.54e-05,4.26
70,8.737728,2.451582,0.01710778,0.01710732,16,4.14e-05,4.26
80,8.634878,2.165688,0.01710837,0.01710899,16,4.74e-05,4.25
90,8.415861,2.00437,0.01710905,0.01710929,16,5.34e-05,4.25
100,8.270917,1.693029,0.01710984,0.0171102,16,5.94e-05,4.27
110,8.167329,1.710416,0.01711069,0.01711138,16,6.54e-05,4.33
120,8.054475,1.560461,0.01711158,0.01711128,16,7.14e-05,4.66
130,7.929848,1.445924,0.01711251,0.01711236,16,7.74e-05,4.34
140,7.886496,1.364504,0.01711353,0.01711325,16,8.34e-05,4.33
150,7.751234,1.157747,0.01711462,0.01711456,16,8.94e-05,4.27
160,7.627311,1.184757,0.01711579,0.01711456,16,9.54e-05,4.71
170,7.626873,1.224514,0.01711702,0.01711708,16,0.0001014,4.39
180,7.588537,1.231357,0.0171183,0.01711906,16,0.0001074,4.31
190,7.633258,1.198464,0.01711968,0.01712032,16,0.0001134,4.29
200,7.563187,1.053008,0.01712108,0.01712058,16,0.0001194,4.31
210,7.490897,1.087587,0.01712248,0.01712215,16,0.0001254,4.29
220,7.533183,1.136919,0.01712405,0.01712369,16,0.0001314,4.27
230,7.558798,1.138796,0.01712572,0.01712565,16,0.0001374,4.27
240,7.619515,1.220713,0.01712751,0.0171278,16,0.0001434,4.27
250,7.601143,1.122704,0.01712955,0.01713009,16,0.0001494,4.28
260,7.55342,1.059893,0.01713178,0.01713152,16,0.0001554,4.4
270,7.60361,1.154574,0.01713408,0.01713335,16,0.0001614,4.24
280,7.647449,1.138045,0.01713664,0.01713669,16,0.0001674,4.28
290,7.603611,1.130055,0.01713943,0.01713871,16,0.0001734,4.28
300,7.615687,1.137051,0.01714222,0.01714167,16,0.0001794,4.28
310,7.616165,0.972359,0.01714506,0.01714481,16,0.0001854,4.42
320,7.5718,1.019191,0.01714801,0.01714765,16,0.0001914,4.27
330,7.563091,0.985675,0.01715129,0.01715184,16,0.0001974,4.27
340,7.643304,1.053648,0.01715477,0.01715452,16,0.0002034,4.31
350,7.621487,1.040304,0.0171585,0.01715706,16,0.0002094,4.27
360,7.59074,1.021288,0.01716232,0.01716181,16,0.0002154,4.26
370,7.536495,1.093441,0.01716649,0.0171658,16,0.0002214,4.28
380,7.615708,1.070412,0.01717098,0.0171695,16,0.0002274,4.33
390,7.535655,1.135243,0.01717587,0.01717511,16,0.0002334,4.27
400,7.556182,1.037891,0.01718078,0.01717979,16,0.0002394,4.42
410,7.758636,1.093593,0.01718612,0.01718545,16,0.0002454,4.25
420,7.693946,1.125719,0.01719171,0.01719075,16,0.0002514,4.27
430,7.62676,1.125167,0.01719746,0.01719596,16,0.0002574,4.27
440,7.62756,0.998454,0.01720295,0.01720266,16,0.0002634,4.27
450,7.665294,0.991178,0.01720882,0.01720781,16,0.0002694,4.46
460,7.650629,1.048642,0.01721511,0.01721344,16,0.0002754,4.29
470,7.600366,1.120778,0.01722201,0.01722203,16,0.0002814,4.28
480,7.603557,1.113822,0.01722907,0.01722874,16,0.0002874,4.29
490,7.601658,1.085271,0.0172365,0.01723515,16,0.0002934,4.29
500,7.597301,1.017787,0.01724431,0.017244,16,0.0002994,4.3
510,7.627261,0.927445,0.01725255,0.01725068,16,0.0003,14.26
520,7.632702,0.95419,0.01726048,0.01726038,16,0.0003,4.27
530,7.567371,0.923859,0.01726837,0.01726777,16,0.00029999,4.28
540,7.553422,1.036912,0.01727662,0.01727606,16,0.00029999,4.29
550,7.630031,0.9761,0.01728496,0.01728437,16,0.00029998,4.26
560,7.626682,1.012763,0.01729334,0.01729301,16,0.00029997,4.27
570,7.604595,0.948657,0.01730154,0.01730049,16,0.00029996,4.3
580,7.621529,1.0175,0.01730969,0.01730947,16,0.00029995,4.29
590,7.645071,0.972526,0.01731744,0.01731639,16,0.00029994,4.28
600,7.582825,0.908302,0.017325,0.0173242,16,0.00029992,4.28
610,7.551343,0.995048,0.01733253,0.01733189,16,0.0002999,4.28
620,7.577196,0.994659,0.01734019,0.01733742,16,0.00029988,4.27
630,7.536529,0.968362,0.01734777,0.01734755,16,0.00029986,4.26
640,7.603578,0.934186,0.01735596,0.01735566,16,0.00029984,4.27
650,7.584111,0.91832,0.01736386,0.017363,16,0.00029982,4.26
660,7.588038,1.075269,0.01737222,0.01737269,16,0.00029979,4.26
670,7.587797,1.103964,0.01737994,0.01737898,16,0.00029977,4.26
680,7.547566,0.952587,0.01738765,0.01738731,16,0.00029974,4.38
690,7.631006,0.857785,0.01739505,0.01739361,16,0.00029971,4.66
700,7.570492,0.953385,0.01740229,0.01740169,16,0.00029968,4.27
710,7.555445,0.914865,0.0174097,0.01740858,16,0.00029964,4.29
720,7.642443,0.905417,0.01741729,0.01741689,16,0.00029961,4.29
