step,train_loss,gradient_norm,q1_residual_rms,injected_noise_rms,bits_used,lr,elapsed_s
10,10.128293,7.842149,0.01710558,0.0,16,5.4e-06,4.76
20,9.702199,6.120357,0.01710562,0.0,16,1.14e-05,5.97
30,9.113867,4.112159,0.01710578,0.0,16,1.74e-05,4.67
40,8.814494,3.215437,0.01710605,0.0,16,2.34e-05,7.48
50,8.658228,3.392578,0.01710633,0.0,16,2.94e-05,6.67
60,8.59205,2.636829,0.01710655,0.0,16,3.54e-05,6.63
70,8.445245,2.584692,0.01710672,0.0,16,4.14e-05,6.68
80,8.354348,2.194815,0.01710687,0.0,16,4.74e-05,6.62
90,8.230825,2.11301,0.01710703,0.0,16,5.34e-05,6.71
100,8.106428,1.909806,0.01710719,0.0,16,5.94e-05,5.52
110,7.987794,1.788907,0.01710743,0.0,16,6.54e-05,4.57
120,7.829495,1.656359,0.01710772,0.0,16,7.14e-05,4.95
130,7.798778,1.626886,0.01710806,0.0,16,7.74e-05,4.24
140,7.704982,1.62868,0.01710846,0.0,16,8.34e-05,4.39
150,7.712109,1.600773,0.01710893,0.0,16,8.94e-05,4.37
160,7.642505,1.310376,0.01710948,0.0,16,9.54e-05,4.71
170,7.643292,1.234305,0.01711007,0.0,16,0.0001014,5.66
180,7.599236,1.079611,0.01711068,0.0,16,0.0001074,5.59
190,7.588604,1.155103,0.01711132,0.0,16,0.0001134,7.27
200,7.557166,1.158209,0.01711203,0.0,16,0.0001194,6.05
210,7.509905,1.033762,0.01711276,0.0,16,0.0001254,6.22
220,7.564482,1.206738,0.0171137,0.0,16,0.0001314,6.38
230,7.52543,1.174878,0.01711475,0.0,16,0.0001374,6.02
240,7.57986,1.139838,0.01711584,0.0,16,0.0001434,6.22
250,7.602648,1.138586,0.01711708,0.0,16,0.0001494,6.23
260,7.566599,1.045071,0.01711851,0.0,16,0.0001554,6.09
270,7.644611,1.05054,0.01712013,0.0,16,0.0001614,5.45
280,7.613314,1.035717,0.01712169,0.0,16,0.0001674,6.86
290,7.621227,1.029248,0.01712344,0.0,16,0.0001734,5.61
300,7.608392,0.954928,0.01712517,0.0,16,0.0001794,5.84
310,7.546855,1.09634,0.01712715,0.0,16,0.0001854,6.74
320,7.596814,1.190314,0.01712962,0.0,16,0.0001914,6.1
330,7.583969,1.179468,0.01713249,0.0,16,0.0001974,5.97
340,7.549823,1.019452,0.01713538,0.0,16,0.0002034,5.8
350,7.615088,1.011794,0.01713819,0.0,16,0.0002094,5.91
360,7.581278,1.038062,0.01714097,0.0,16,0.0002154,5.82
370,7.607135,1.112134,0.01714383,0.0,16,0.0002214,5.74
380,7.626998,1.125973,0.01714711,0.0,16,0.0002274,5.72
390,7.611214,1.046954,0.01715068,0.0,16,0.0002334,5.88
400,7.631691,1.058888,0.01715469,0.0,16,0.0002394,5.48
410,7.587864,0.941663,0.01715895,0.0,16,0.0002454,5.4
420,7.605792,1.061505,0.01716315,0.0,16,0.0002514,5.87
430,7.59746,1.000498,0.01716761,0.0,16,0.0002574,4.68
440,7.602872,1.099303,0.01717255,0.0,16,0.0002634,4.69
450,7.625049,1.092588,0.01717796,0.0,16,0.0002694,4.71
460,7.584576,0.992217,0.01718365,0.0,16,0.0002754,4.52
470,7.608841,1.004013,0.01718917,0.0,16,0.0002814,4.66
480,7.613966,1.081172,0.01719496,0.0,16,0.0002874,4.76
490,7.614777,0.965094,0.01720193,0.0,16,0.0002934,4.88
500,7.601077,0.923521,0.01720927,0.0,16,0.0002994,4.71
510,7.534257,1.12769,0.01721706,0.0,16,0.0003,15.75
520,7.538444,1.057145,0.01722457,0.0,16,0.0003,4.54
530,7.573816,1.069417,0.01723195,0.0,16,0.00029999,4.83
540,7.559716,0.986803,0.01723885,0.0,16,0.00029999,4.82
550,7.546952,0.989909,0.01724625,0.0,16,0.00029998,4.88
560,7.55828,0.935417,0.01725401,0.0,16,0.00029997,4.61
570,7.613814,0.921989,0.0172606,0.0,16,0.00029996,4.44
580,7.621805,0.930554,0.0172671,0.0,16,0.00029995,4.71
590,7.550851,0.963424,0.01727382,0.0,16,0.00029994,4.43
600,7.632735,0.9564,0.0172808,0.0,16,0.00029992,4.52
610,7.587147,0.881078,0.01728787,0.0,16,0.0002999,4.68
620,7.615991,0.972242,0.01729531,0.0,16,0.00029988,4.82
630,7.582496,0.925455,0.01730209,0.0,16,0.00029986,4.63
640,7.587786,0.993313,0.01730895,0.0,16,0.00029984,4.64
650,7.572539,0.921926,0.01731711,0.0,16,0.00029982,4.67
660,7.549655,0.955504,0.01732481,0.0,16,0.00029979,4.7
670,7.640542,0.923999,0.01733199,0.0,16,0.00029977,4.77
680,7.593656,0.880631,0.01733862,0.0,16,0.00029974,4.52
690,7.56782,0.914238,0.01734571,0.0,16,0.00029971,4.62
700,7.610807,1.053435,0.01735268,0.0,16,0.00029968,4.61
710,7.58494,0.834758,0.01735884,0.0,16,0.00029964,4.64
720,7.59671,0.882709,0.0173654,0.0,16,0.00029961,4.53
730,7.578912,0.881938,0.01737189,0.0,16,0.00029957,4.48
740,7.585018,0.818371,0.01737924,0.0,16,0.00029953,4.43
750,7.532317,0.969714,0.01738523,0.0,16,0.00029949,4.7
760,7.583377,0.973301,0.01739129,0.0,16,0.00029945,4.57
770,7.595553,0.859237,0.01739664,0.0,16,0.00029941,4.62
780,7.554513,0.848289,0.01740232,0.0,16,0.00029936,4.54
790,7.555501,0.879739,0.01740815,0.0,16,0.00029932,4.45
800,7.558217,0.827814,0.01741345,0.0,16,0.00029927,4.81
810,7.577973,0.834517,0.01741957,0.0,16,0.00029922,4.34
820,7.559984,0.828746,0.01742583,0.0,16,0.00029917,4.52
830,7.562223,0.914641,0.01743138,0.0,16,0.00029911,4.41
840,7.584226,0.893667,0.01743646,0.0,16,0.00029906,4.55
850,7.567007,0.873771,0.01744163,0.0,16,0.000299,4.41
860,7.586766,0.884048,0.01744685,0.0,16,0.00029894,4.4
870,7.567694,0.936388,0.01745299,0.0,16,0.00029888,4.65
880,7.655544,0.907831,0.01745869,0.0,16,0.00029882,4.51
890,7.576102,0.907393,0.01746472,0.0,16,0.00029876,4.72
900,7.564782,0.949619,0.01747057,0.0,16,0.0002987,4.44
910,7.63284,0.98868,0.01747575,0.0,16,0.00029863,4.63
920,7.549609,0.809579,0.01748022,0.0,16,0.00029856,4.51
930,7.549518,0.934565,0.01748589,0.0,16,0.00029849,4.84
940,7.65278,0.907302,0.01749195,0.0,16,0.00029842,5.04
950,7.61059,0.861686,0.01749696,0.0,16,0.00029835,4.87
960,7.585868,0.828811,0.01750227,0.0,16,0.00029828,4.82
970,7.614047,0.817751,0.0175075,0.0,16,0.0002982,4.54
980,7.525967,0.871273,0.01751348,0.0,16,0.00029812,4.39
990,7.580876,0.877447,0.01751935,0.0,16,0.00029804,4.48
1000,7.518106,0.934849,0.01752401,0.0,16,0.00029796,4.57
1010,7.529785,0.839113,0.01752959,0.0,16,0.00029788,16.1
1020,7.612847,0.864998,0.0175345,0.0,16,0.0002978,4.45
1030,7.523731,0.915079,0.01754086,0.0,16,0.00029771,4.49
1040,7.710718,0.98085,0.0175475,0.0,16,0.00029762,4.65
1050,7.56768,0.797198,0.01755269,0.0,16,0.00029753,4.57
1060,7.540697,0.83432,0.01755856,0.0,16,0.00029744,5.19
1070,7.536284,0.864662,0.01756322,0.0,16,0.00029735,4.54
1080,7.545494,0.855692,0.01756804,0.0,16,0.00029726,4.66
1090,7.586698,0.822612,0.01757371,0.0,16,0.00029716,4.47
1100,7.511883,0.798796,0.01757869,0.0,16,0.00029707,4.63
1110,7.533894,0.836166,0.01758304,0.0,16,0.00029697,4.45
1120,7.512953,0.831877,0.01758745,0.0,16,0.00029687,4.45
1130,7.537219,0.784708,0.01759144,0.0,16,0.00029677,4.49
1140,7.623077,0.794216,0.01759556,0.0,16,0.00029666,4.67
1150,7.525449,0.817153,0.01760027,0.0,16,0.00029656,4.75
1160,7.541627,0.758523,0.01760638,0.0,16,0.00029645,4.47
1170,7.515361,0.873068,0.0176125,0.0,16,0.00029634,4.67
1180,7.52528,0.857465,0.01761921,0.0,16,0.00029623,5.01
1190,7.560411,0.796104,0.01762355,0.0,16,0.00029612,6.52
1200,7.53494,0.775704,0.01762865,0.0,16,0.00029601,7.21
1210,7.567571,0.807169,0.01763357,0.0,16,0.0002959,6.74
1220,7.571145,0.715945,0.01763863,0.0,16,0.00029578,6.73
1230,7.581381,0.712027,0.01764449,0.0,16,0.00029566,6.56
1240,7.483425,0.707453,0.01764941,0.0,16,0.00029554,6.67
1250,7.526646,0.764414,0.01765493,0.0,16,0.00029542,6.61
1260,7.548563,0.75051,0.01766083,0.0,16,0.0002953,6.51
1270,7.599575,0.741078,0.01766545,0.0,16,0.00029518,6.47
1280,7.551557,0.88892,0.01767113,0.0,16,0.00029505,6.48
1290,7.544828,0.81567,0.01767736,0.0,16,0.00029492,5.65
1300,7.546303,0.747067,0.0176818,0.0,16,0.00029479,4.83
1310,7.60434,0.750002,0.01768705,0.0,16,0.00029466,4.93
1320,7.562822,0.779817,0.01769285,0.0,16,0.00029453,4.68
1330,7.571694,0.770066,0.01769878,0.0,16,0.0002944,4.87
1340,7.572405,0.758394,0.01770463,0.0,16,0.00029426,5.45
1350,7.496875,0.715033,0.01770962,0.0,16,0.00029413,4.98
1360,7.547596,0.739673,0.01771542,0.0,16,0.00029399,6.31
1370,7.493539,0.745634,0.01772031,0.0,16,0.00029385,4.8
1380,7.541633,0.795359,0.01772472,0.0,16,0.00029371,4.74
1390,7.513078,0.741585,0.01773075,0.0,16,0.00029356,4.64
1400,7.570837,0.703728,0.01773598,0.0,16,0.00029342,4.76
1410,7.509129,0.698479,0.01774025,0.0,16,0.00029327,4.75
1420,7.542499,0.71715,0.01774451,0.0,16,0.00029313,4.62
1430,7.490116,0.737746,0.01774905,0.0,16,0.00029298,4.53
1440,7.549144,0.705661,0.0177547,0.0,16,0.00029283,4.94
1450,7.532844,0.688145,0.01775962,0.0,16,0.00029267,4.71
1460,7.556113,0.718235,0.01776328,0.0,16,0.00029252,4.6
1470,7.600727,0.711936,0.01776775,0.0,16,0.00029236,4.58
1480,7.547155,0.79899,0.01777371,0.0,16,0.00029221,4.63
1490,7.563828,0.766518,0.01777883,0.0,16,0.00029205,4.59
1500,7.526074,0.676176,0.01778357,0.0,16,0.00029189,4.73
1510,7.532115,0.689051,0.01778834,0.0,16,0.00029173,17.0
1520,7.513633,0.665862,0.01779354,0.0,16,0.00029156,4.47
1530,7.564986,0.774613,0.01779818,0.0,16,0.0002914,4.53
1540,7.566332,0.756502,0.01780365,0.0,16,0.00029123,4.46
1550,7.582303,0.799816,0.01780754,0.0,16,0.00029106,4.71
1560,7.522966,0.720948,0.01781219,0.0,16,0.0002909,4.88
1570,7.500014,0.703833,0.01781684,0.0,16,0.00029072,5.18
1580,7.504517,0.709457,0.01782183,0.0,16,0.00029055,4.65
1590,7.585724,0.684897,0.01782696,0.0,16,0.00029038,4.37
1600,7.54907,0.782673,0.01783109,0.0,16,0.0002902,5.2
1610,7.558186,0.686329,0.01783506,0.0,16,0.00029003,4.7
1620,7.498576,0.668328,0.01783949,0.0,16,0.00028985,4.62
1630,7.556783,0.729305,0.0178451,0.0,16,0.00028967,4.46
1640,7.599406,0.735863,0.01784949,0.0,16,0.00028948,4.56
1650,7.525706,0.701704,0.0178536,0.0,16,0.0002893,4.86
1660,7.513905,0.728944,0.01785858,0.0,16,0.00028912,4.63
1670,7.537143,0.722584,0.01786321,0.0,16,0.00028893,4.57
1680,7.525372,0.684157,0.01786921,0.0,16,0.00028874,4.78
1690,7.534535,0.665285,0.0178748,0.0,16,0.00028855,5.72
1700,7.558148,0.667767,0.01787849,0.0,16,0.00028836,5.16
1710,7.420538,0.796528,0.01788202,0.0,16,0.00028817,6.2
1720,7.536318,0.680208,0.01788725,0.0,16,0.00028798,5.01
1730,7.513471,0.733116,0.01789209,0.0,16,0.00028778,4.91
1740,7.491278,0.641938,0.01789718,0.0,16,0.00028758,4.9
1750,7.551798,0.689102,0.01790311,0.0,16,0.00028739,4.7
1760,7.548316,0.681208,0.01790955,0.0,16,0.00028719,4.59
1770,7.561112,0.683433,0.01791773,0.0,16,0.00028698,4.79
1780,7.518861,0.683576,0.01792349,0.0,16,0.00028678,4.82
1790,7.528474,0.63229,0.01792913,0.0,16,0.00028658,5.69
1800,7.44356,0.756119,0.0179336,0.0,16,0.00028637,5.38
1810,7.571607,0.682399,0.01793931,0.0,16,0.00028616,5.34
1820,7.492159,0.69139,0.01794487,0.0,16,0.00028596,4.81
1830,7.526222,0.722369,0.0179511,0.0,16,0.00028575,5.03
1840,7.517836,0.616985,0.01795562,0.0,16,0.00028553,4.63
1850,7.491786,0.641147,0.01795987,0.0,16,0.00028532,4.89
1860,7.551955,0.704268,0.01796457,0.0,16,0.00028511,4.59
1870,7.568255,0.658721,0.01796995,0.0,16,0.00028489,4.58
1880,7.577297,0.6756,0.01797673,0.0,16,0.00028467,4.54
1890,7.447651,0.615524,0.01798189,0.0,16,0.00028445,4.59
1900,7.491624,0.650521,0.01798627,0.0,16,0.00028423,4.53
1910,7.493329,0.619794,0.01798965,0.0,16,0.00028401,5.23
1920,7.496683,0.63718,0.01799311,0.0,16,0.00028379,4.55
1930,7.508013,0.756375,0.01799625,0.0,16,0.00028356,5.1
1940,7.518974,0.592028,0.01800022,0.0,16,0.00028333,4.45
1950,7.524269,0.655311,0.0180046,0.0,16,0.00028311,4.59
1960,7.5482,0.645537,0.01801065,0.0,16,0.00028288,4.37
1970,7.515617,0.658633,0.01801622,0.0,16,0.00028265,4.44
1980,7.527937,0.670625,0.01802318,0.0,16,0.00028241,4.42
1990,7.54746,0.622125,0.01802893,0.0,16,0.00028218,4.23
2000,7.584301,0.719129,0.01803342,0.0,16,0.00028194,4.4
2010,7.504265,0.657533,0.01803709,0.0,16,0.00028171,16.38
2020,7.504107,0.634292,0.01804192,0.0,16,0.00028147,4.62
2030,7.50724,0.611326,0.01804596,0.0,16,0.00028123,4.55
