step,train_loss,gradient_norm,q1_residual_rms,injected_noise_rms,bits_used,lr,elapsed_s
10,10.090098,8.323085,0.01710154,0.0,4,5.4e-06,4.41
20,9.530976,6.886025,0.0171016,0.0,4,1.14e-05,4.38
30,9.026744,4.078137,0.01710177,0.0,4,1.74e-05,4.39
40,8.788521,3.484008,0.01710202,0.0,4,2.34e-05,4.41
50,8.662799,3.422666,0.01710228,0.0,4,2.94e-05,4.34
60,8.506662,2.776184,0.01710251,0.0,4,3.54e-05,4.38
70,8.406355,2.466781,0.0171027,0.0,4,4.14e-05,4.38
80,8.359758,2.387555,0.01710288,0.0,4,4.74e-05,4.38
90,8.219009,2.081326,0.01710307,0.0,4,5.34e-05,4.39
100,8.099067,1.845364,0.01710329,0.0,4,5.94e-05,4.43
110,7.963942,1.755059,0.01710352,0.0,4,6.54e-05,4.33
120,7.847824,1.468668,0.0171038,0.0,4,7.14e-05,4.34
130,7.792086,1.641665,0.01710411,0.0,4,7.74e-05,4.43
140,7.70423,1.497613,0.01710448,0.0,4,8.34e-05,4.31
150,7.659538,1.233391,0.01710487,0.0,4,8.94e-05,4.35
160,7.578371,1.247407,0.01710534,0.0,4,9.54e-05,4.36
170,7.558476,1.242418,0.01710587,0.0,4,0.0001014,4.54
180,7.581867,1.24659,0.01710657,0.0,4,0.0001074,4.42
190,7.554878,1.209732,0.0171074,0.0,4,0.0001134,4.34
200,7.598499,1.152203,0.01710825,0.0,4,0.0001194,4.31
210,7.613746,1.280968,0.01710916,0.0,4,0.0001254,4.35
220,7.561451,1.299862,0.01711009,0.0,4,0.0001314,4.29
230,7.565032,1.196746,0.01711109,0.0,4,0.0001374,4.34
240,7.577281,1.390394,0.01711217,0.0,4,0.0001434,4.29
250,7.581893,1.177251,0.01711353,0.0,4,0.0001494,4.37
260,7.58541,1.058759,0.01711496,0.0,4,0.0001554,4.28
270,7.516699,1.132812,0.01711648,0.0,4,0.0001614,4.35
280,7.627796,1.089146,0.01711841,0.0,4,0.0001674,4.28
290,7.550638,1.061587,0.01712053,0.0,4,0.0001734,4.3
300,7.542272,1.13404,0.01712296,0.0,4,0.0001794,4.34
310,7.577343,1.114126,0.01712543,0.0,4,0.0001854,4.27
320,7.598048,1.082866,0.01712784,0.0,4,0.0001914,4.26
330,7.574046,0.993256,0.01713041,0.0,4,0.0001974,4.31
340,7.542741,1.149412,0.01713333,0.0,4,0.0002034,4.27
350,7.560721,1.012046,0.01713657,0.0,4,0.0002094,4.54
360,7.604297,1.038014,0.01713967,0.0,4,0.0002154,4.35
370,7.605839,1.139142,0.01714307,0.0,4,0.0002214,4.27
380,7.546969,1.245548,0.01714676,0.0,4,0.0002274,4.24
390,7.582722,1.053329,0.01715092,0.0,4,0.0002334,4.28
