step,train_loss,gradient_norm,q1_residual_rms,injected_noise_rms,bits_used,lr,elapsed_s
10,10.152561,7.740119,0.01710558,0.0,4,5.4e-06,3.73
20,9.732849,6.170452,0.01710561,0.0,4,1.14e-05,3.82
30,9.213354,4.461732,0.01710577,0.0,2,1.74e-05,3.73
40,8.885631,3.362767,0.01710604,0.0,2,2.34e-05,3.87
50,8.693651,3.264311,0.01710636,0.0,2,2.94e-05,3.74
60,8.610877,2.460959,0.01710666,0.0,4,3.54e-05,3.75
70,8.458476,2.410505,0.01710689,0.0,4,4.14e-05,3.78
80,8.380839,2.248167,0.0171071,0.0,4,4.74e-05,3.81
90,8.25067,2.103004,0.01710733,0.0,4,5.34e-05,3.8
100,8.123506,1.873842,0.01710757,0.0,2,5.94e-05,3.79
110,7.999819,1.70149,0.01710787,0.0,4,6.54e-05,3.78
120,7.848607,1.648085,0.01710824,0.0,4,7.14e-05,3.77
130,7.809514,1.616891,0.01710869,0.0,4,7.74e-05,3.78
140,7.714306,1.634398,0.01710918,0.0,4,8.34e-05,3.82
150,7.710586,1.45448,0.01710969,0.0,4,8.94e-05,3.79
160,7.644427,1.284193,0.01711025,0.0,4,9.54e-05,3.78
170,7.646101,1.237441,0.01711083,0.0,4,0.0001014,3.81
180,7.601608,1.098586,0.01711144,0.0,4,0.0001074,3.82
190,7.58802,1.178997,0.01711211,0.0,2,0.0001134,3.78
200,7.556125,1.14077,0.0171129,0.0,2,0.0001194,3.79
210,7.50942,1.022065,0.0171137,0.0,4,0.0001254,3.79
220,7.565139,1.25254,0.0171147,0.0,4,0.0001314,3.78
230,7.52648,1.185793,0.01711591,0.0,8,0.0001374,3.78
240,7.577696,1.121774,0.01711717,0.0,2,0.0001434,4.26
250,7.601936,1.123977,0.01711849,0.0,4,0.0001494,3.81
260,7.565394,1.028431,0.01711991,0.0,4,0.0001554,3.8
270,7.643473,1.047072,0.01712156,0.0,4,0.0001614,3.78
280,7.61173,1.027608,0.01712322,0.0,4,0.0001674,3.79
290,7.622709,1.036506,0.01712507,0.0,4,0.0001734,3.79
300,7.609835,0.972627,0.01712689,0.0,2,0.0001794,3.79
310,7.548927,1.113415,0.01712898,0.0,4,0.0001854,3.77
320,7.597203,1.203394,0.0171315,0.0,4,0.0001914,3.77
330,7.584531,1.17124,0.01713449,0.0,4,0.0001974,3.78
340,7.552131,1.032322,0.0171376,0.0,4,0.0002034,3.79
350,7.619798,1.059299,0.01714072,0.0,2,0.0002094,3.79
360,7.582871,1.054447,0.01714382,0.0,2,0.0002154,3.77
370,7.606772,1.101503,0.01714709,0.0,4,0.0002214,3.79
380,7.627187,1.152551,0.01715065,0.0,4,0.0002274,3.78
390,7.611865,1.061842,0.01715448,0.0,4,0.0002334,3.81
400,7.631248,1.039102,0.01715862,0.0,2,0.0002394,3.77
410,7.58763,0.954977,0.01716295,0.0,4,0.0002454,3.8
420,7.604034,1.05431,0.01716719,0.0,2,0.0002514,3.88
430,7.596327,0.993136,0.01717168,0.0,4,0.0002574,3.86
440,7.603679,1.10878,0.01717679,0.0,4,0.0002634,3.83
450,7.625326,1.094645,0.01718222,0.0,2,0.0002694,3.81
460,7.585391,0.98987,0.01718802,0.0,4,0.0002754,3.77
470,7.609298,1.008726,0.01719344,0.0,4,0.0002814,3.93
480,7.614171,1.084123,0.0171991,0.0,4,0.0002874,3.91
490,7.615054,0.969161,0.01720586,0.0,2,0.0002934,3.82
500,7.601363,0.934911,0.01721302,0.0,4,0.0002994,3.79
510,7.534034,1.130591,0.01722061,0.0,4,0.0003,15.73
520,7.53899,1.054951,0.01722789,0.0,4,0.0003,3.79
530,7.573791,1.066483,0.01723508,0.0,4,0.00029999,3.84
540,7.56029,0.9887,0.01724208,0.0,2,0.00029999,3.79
550,7.547197,0.991683,0.0172494,0.0,2,0.00029998,3.83
560,7.557195,0.934343,0.01725695,0.0,4,0.00029997,3.82
570,7.614203,0.926225,0.01726353,0.0,4,0.00029996,3.82
580,7.621346,0.925262,0.01726998,0.0,2,0.00029995,3.82
590,7.550073,0.954665,0.01727657,0.0,4,0.00029994,3.81
600,7.632645,0.956634,0.0172834,0.0,4,0.00029992,3.85
610,7.588278,0.883391,0.01729036,0.0,4,0.0002999,3.81
620,7.617347,0.979264,0.01729777,0.0,2,0.00029988,3.79
630,7.583273,0.928423,0.01730478,0.0,4,0.00029986,3.81
640,7.589267,0.998015,0.01731189,0.0,2,0.00029984,3.82
650,7.573439,0.924938,0.01732027,0.0,8,0.00029982,3.83
660,7.551204,0.965599,0.01732841,0.0,2,0.00029979,3.78
670,7.641096,0.926305,0.01733575,0.0,2,0.00029977,3.78
680,7.593178,0.879817,0.01734302,0.0,4,0.00029974,3.8
690,7.569129,0.916657,0.01735075,0.0,4,0.00029971,3.76
700,7.61035,1.051144,0.01735855,0.0,4,0.00029968,3.8
710,7.584128,0.837434,0.01736582,0.0,4,0.00029964,3.81
720,7.597191,0.88779,0.01737298,0.0,2,0.00029961,3.84
730,7.579862,0.88561,0.01737976,0.0,4,0.00029957,3.76
740,7.585152,0.817807,0.01738681,0.0,4,0.00029953,3.81
750,7.532315,0.970703,0.01739254,0.0,2,0.00029949,3.77
760,7.583977,0.974378,0.01739824,0.0,4,0.00029945,3.81
770,7.59581,0.86373,0.01740372,0.0,2,0.00029941,3.78
780,7.555156,0.848729,0.01740924,0.0,4,0.00029936,3.76
790,7.556681,0.882444,0.01741489,0.0,4,0.00029932,3.77
800,7.558452,0.826064,0.01742072,0.0,4,0.00029927,3.77
810,7.577854,0.832797,0.01742711,0.0,4,0.00029922,3.77
820,7.559946,0.824638,0.0174337,0.0,4,0.00029917,3.78
830,7.564729,0.924785,0.01743914,0.0,2,0.00029911,3.78
840,7.584569,0.891925,0.01744424,0.0,4,0.00029906,3.78
850,7.567679,0.874453,0.01744937,0.0,4,0.000299,3.81
860,7.586994,0.882273,0.01745461,0.0,4,0.00029894,3.77
870,7.568946,0.937595,0.01746097,0.0,4,0.00029888,3.75
880,7.655013,0.902867,0.01746689,0.0,4,0.00029882,3.83
890,7.577559,0.907202,0.01747296,0.0,2,0.00029876,3.74
900,7.564769,0.950591,0.0174788,0.0,2,0.0002987,3.79
910,7.633801,0.990809,0.01748441,0.0,4,0.00029863,3.76
920,7.551355,0.813299,0.01748922,0.0,4,0.00029856,3.79
930,7.549531,0.935215,0.01749497,0.0,4,0.00029849,3.82
940,7.65202,0.906242,0.01750126,0.0,4,0.00029842,3.74
950,7.611667,0.865935,0.01750688,0.0,4,0.00029835,3.77
960,7.586472,0.830314,0.01751285,0.0,2,0.00029828,3.79
970,7.614788,0.823766,0.01751851,0.0,2,0.0002982,3.76
980,7.526174,0.870054,0.0175244,0.0,2,0.00029812,3.84
990,7.581077,0.878621,0.01753027,0.0,4,0.00029804,3.79
1000,7.519377,0.94264,0.01753539,0.0,2,0.00029796,3.78
1010,7.530187,0.838383,0.01754127,0.0,4,0.00029788,15.62
1020,7.613749,0.864849,0.0175469,0.0,2,0.0002978,3.75
1030,7.524131,0.914659,0.0175537,0.0,2,0.00029771,3.78
1040,7.710024,0.980114,0.01756042,0.0,4,0.00029762,3.79
1050,7.568261,0.807209,0.01756633,0.0,4,0.00029753,3.8
1060,7.541714,0.840951,0.01757223,0.0,4,0.00029744,3.79
1070,7.537089,0.867149,0.01757714,0.0,4,0.00029735,3.79
1080,7.545996,0.855375,0.01758226,0.0,4,0.00029726,3.77
1090,7.587889,0.830745,0.01758806,0.0,4,0.00029716,3.8
1100,7.512389,0.801603,0.01759396,0.0,4,0.00029707,3.8
1110,7.533652,0.842742,0.01759961,0.0,2,0.00029697,3.82
1120,7.513676,0.832788,0.01760508,0.0,4,0.00029687,3.76
1130,7.536802,0.780375,0.01761001,0.0,4,0.00029677,3.77
1140,7.624224,0.798898,0.01761505,0.0,2,0.00029666,3.79
1150,7.525732,0.818732,0.01761983,0.0,4,0.00029656,3.79
1160,7.542699,0.762422,0.01762612,0.0,2,0.00029645,3.8
1170,7.515824,0.871256,0.01763295,0.0,2,0.00029634,3.74
1180,7.52645,0.860399,0.01763988,0.0,2,0.00029623,3.79
1190,7.560317,0.799093,0.0176453,0.0,2,0.00029612,3.78
1200,7.534828,0.774397,0.0176515,0.0,2,0.00029601,3.75
1210,7.567995,0.809817,0.01765711,0.0,2,0.0002959,3.8
1220,7.570239,0.712894,0.01766296,0.0,4,0.00029578,3.77
1230,7.581657,0.712195,0.01766893,0.0,4,0.00029566,3.76
1240,7.483546,0.704096,0.01767368,0.0,2,0.00029554,3.77
1250,7.526498,0.762176,0.01767911,0.0,4,0.00029542,3.86
1260,7.548756,0.755164,0.01768503,0.0,4,0.0002953,3.89
1270,7.600311,0.742191,0.01769066,0.0,4,0.00029518,3.82
1280,7.553089,0.900214,0.01769702,0.0,2,0.00029505,3.77
1290,7.543669,0.816215,0.01770356,0.0,2,0.00029492,3.79
1300,7.545492,0.742821,0.01770893,0.0,4,0.00029479,3.78
1310,7.604997,0.750534,0.01771475,0.0,2,0.00029466,3.77
1320,7.562843,0.782673,0.01772127,0.0,4,0.00029453,3.8
1330,7.571924,0.770453,0.01772756,0.0,4,0.0002944,3.78
1340,7.57215,0.754284,0.01773409,0.0,4,0.00029426,3.77
1350,7.496895,0.720378,0.01773968,0.0,2,0.00029413,3.79
1360,7.548373,0.739986,0.01774565,0.0,2,0.00029399,3.76
1370,7.493899,0.749245,0.01775097,0.0,4,0.00029385,3.82
1380,7.541846,0.798052,0.017756,0.0,4,0.00029371,3.8
1390,7.513638,0.745874,0.01776228,0.0,2,0.00029356,3.79
1400,7.570767,0.704111,0.01776833,0.0,2,0.00029342,3.74
1410,7.509055,0.699563,0.01777372,0.0,4,0.00029327,3.8
1420,7.542467,0.718226,0.01777879,0.0,4,0.00029313,3.75
1430,7.490027,0.73822,0.01778375,0.0,4,0.00029298,3.77
1440,7.549715,0.708591,0.01778946,0.0,4,0.00029283,3.8
1450,7.533468,0.689333,0.01779453,0.0,4,0.00029267,3.82
1460,7.556767,0.72067,0.01779878,0.0,4,0.00029252,3.73
1470,7.600663,0.711941,0.01780401,0.0,4,0.00029236,3.79
1480,7.548288,0.803699,0.01781086,0.0,2,0.00029221,3.79
1490,7.564767,0.771601,0.01781661,0.0,4,0.00029205,3.81
1500,7.526006,0.674771,0.01782175,0.0,2,0.00029189,3.81
1510,7.532816,0.690068,0.0178269,0.0,4,0.00029173,15.61
1520,7.513672,0.667278,0.01783215,0.0,4,0.00029156,3.78
1530,7.566109,0.776075,0.01783684,0.0,2,0.0002914,3.81
1540,7.566944,0.757151,0.01784164,0.0,2,0.00029123,3.8
1550,7.584047,0.800205,0.01784568,0.0,4,0.00029106,3.78
1560,7.522278,0.719168,0.01785064,0.0,4,0.0002909,3.78
1570,7.500744,0.707589,0.01785574,0.0,4,0.00029072,3.8
1580,7.504157,0.708698,0.01786062,0.0,4,0.00029055,3.78
1590,7.585863,0.685599,0.01786564,0.0,4,0.00029038,3.76
1600,7.549724,0.783188,0.01787019,0.0,2,0.0002902,3.78
1610,7.558301,0.685816,0.0178755,0.0,2,0.00029003,3.78
1620,7.499939,0.677939,0.01788117,0.0,2,0.00028985,3.82
1630,7.557488,0.731434,0.01788765,0.0,4,0.00028967,3.79
1640,7.600084,0.738834,0.01789293,0.0,4,0.00028948,3.83
1650,7.526469,0.702428,0.01789775,0.0,2,0.0002893,3.77
1660,7.514713,0.728425,0.01790274,0.0,2,0.00028912,3.8
1670,7.537398,0.7245,0.01790774,0.0,4,0.00028893,3.79
1680,7.525893,0.684828,0.01791405,0.0,2,0.00028874,3.84
1690,7.534879,0.665624,0.01791994,0.0,4,0.00028855,3.84
1700,7.558325,0.668825,0.01792395,0.0,4,0.00028836,3.73
1710,7.42174,0.802116,0.01792805,0.0,4,0.00028817,3.79
