step,train_loss,gradient_norm,q1_residual_rms,injected_noise_rms,bits_used,lr,elapsed_s
10,10.118722,8.097958,0.01710154,0.0,4,5.4e-06,3.22
20,9.608021,7.154188,0.01710159,0.0,4,1.14e-05,3.13
30,9.136308,4.595361,0.01710174,0.0,4,1.74e-05,3.13
40,8.82699,3.375097,0.01710198,0.0,2,2.34e-05,3.14
50,8.712951,3.344067,0.01710224,0.0,2,2.94e-05,3.15
60,8.538247,2.59313,0.0171025,0.0,4,3.54e-05,3.15
70,8.432725,2.421439,0.01710275,0.0,2,4.14e-05,3.16
80,8.385429,2.31351,0.01710301,0.0,4,4.74e-05,3.17
90,8.245761,2.002745,0.01710326,0.0,2,5.34e-05,3.17
100,8.154494,2.075,0.01710364,0.0,2,5.94e-05,3.15
110,7.989025,1.710073,0.01710405,0.0,4,6.54e-05,3.17
120,7.861323,1.402671,0.01710444,0.0,2,7.14e-05,3.16
130,7.806612,1.614343,0.01710483,0.0,4,7.74e-05,3.17
140,7.717772,1.51318,0.01710524,0.0,4,8.34e-05,3.17
150,7.668102,1.206588,0.01710566,0.0,4,8.94e-05,3.16
160,7.581733,1.235334,0.01710617,0.0,2,9.54e-05,3.15
170,7.559872,1.231211,0.01710676,0.0,2,0.0001014,3.16
180,7.587179,1.272969,0.01710751,0.0,2,0.0001074,3.15
190,7.556735,1.234879,0.01710834,0.0,4,0.0001134,3.16
200,7.59959,1.151258,0.01710924,0.0,4,0.0001194,3.2
210,7.614324,1.285587,0.01711015,0.0,4,0.0001254,3.22
220,7.557011,1.264357,0.0171111,0.0,2,0.0001314,3.27
230,7.56526,1.187567,0.01711214,0.0,4,0.0001374,3.33
240,7.574259,1.341173,0.01711321,0.0,4,0.0001434,3.37
250,7.580784,1.147665,0.01711456,0.0,2,0.0001494,3.41
260,7.581988,1.031956,0.01711602,0.0,2,0.0001554,3.48
270,7.517244,1.157318,0.0171176,0.0,2,0.0001614,3.52
280,7.62885,1.097739,0.01711952,0.0,4,0.0001674,3.59
