node,task,val_loss
m1-256,baseline_fp16_s201,7.463495
m1-256,baseline_fp16_s203,7.409633
m1-256,constant_1b_s201,7.461499
m1-256,constant_1b_s203,7.411264
m1-256,constant_2b_s201,7.464588
m1-256,constant_2b_s203,7.396122
m1-256,constant_4b_s201,7.463314
m1-256,constant_4b_s203,7.442847
m1-256,constant_8b_s201,7.463444
m1-256,constant_8b_s203,7.388838
m1-256,progressive_down_s201,7.463549
m1-256,progressive_down_s203,7.453905
m1-256,progressive_up_s201,7.463352
m1-256,progressive_up_s203,7.397128
m1-512,baseline_fp16_s201,7.463494
m1-512,baseline_fp16_s203,7.45014
m1-512,constant_1b_s201,7.461538
m1-512,constant_1b_s203,7.420413
m1-512,constant_2b_s201,7.464568
m1-512,constant_2b_s203,7.376057
m1-512,constant_4b_s201,7.463267
m1-512,constant_4b_s203,7.43246
m1-512,constant_8b_s201,7.463451
m1-512,constant_8b_s203,7.41867
m1-512,progressive_down_s201,7.463464
m1-512,progressive_down_s203,7.452797
m1-512,progressive_up_s201,7.463273
m1-512,progressive_up_s203,7.432372
m4-air,baseline_fp16_s201,7.463495
m4-air,baseline_fp16_s203,7.45211
m4-air,constant_1b_s201,7.461479
m4-air,constant_1b_s203,7.445246
m4-air,constant_2b_s201,7.464739
m4-air,constant_2b_s203,7.4064
m4-air,constant_4b_s201,7.463299
m4-air,constant_4b_s203,7.394615
m4-air,constant_8b_s201,7.463444
m4-air,constant_8b_s203,7.450146
m4-air,progressive_down_s201,7.463474
m4-air,progressive_down_s203,7.458107
m4-air,progressive_up_s201,7.463251
m4-air,progressive_up_s203,7.43301
