step,train_loss,bits_used,lr,elapsed_s
10,9.995366,16,5.4e-05,0.8
20,9.207071,16,0.000114,0.73
30,8.736467,16,0.000174,0.71
40,8.418999,16,0.000234,0.71
50,8.12908,16,0.000294,0.76
60,7.894744,16,0.0002997,0.7
70,7.780943,16,0.00029868,0.72
80,7.620308,16,0.00029694,0.72
90,7.582301,16,0.00029447,0.77
100,7.56754,16,0.00029131,0.72
110,7.547075,16,0.00028745,1.21
120,7.562306,16,0.00028293,0.71
130,7.607259,16,0.00027776,0.73
140,7.628625,16,0.00027197,0.76
150,7.44466,16,0.00026558,0.72
160,7.539541,16,0.00025863,0.71
170,7.581282,16,0.00025115,0.71
180,7.586225,16,0.00024317,0.8
190,7.446349,16,0.00023475,0.7
200,7.562317,16,0.00022591,0.71
210,7.430689,16,0.0002167,1.15
220,7.448499,16,0.00020716,0.72
230,7.470106,16,0.00019735,0.76
240,7.510827,16,0.0001873,0.73
250,7.46752,16,0.00017708,0.71
260,7.42177,16,0.00016672,0.72
270,7.510567,16,0.00015628,0.79
280,7.364774,16,0.00014581,0.71
290,7.399955,16,0.00013536,0.7
300,7.459171,16,0.00012498,0.73
310,7.394376,16,0.00011473,1.09
320,7.42665,16,0.00010464,0.79
330,7.469484,16,9.478e-05,0.72
340,7.442603,16,8.519e-05,0.71
350,7.447119,16,7.591e-05,0.73
360,7.427033,16,6.699e-05,0.77
370,7.48343,16,5.848e-05,0.71
380,7.403034,16,5.041e-05,0.74
390,7.381525,16,4.283e-05,0.75
400,7.409675,16,3.577e-05,0.79
410,7.31193,16,2.927e-05,1.14
420,7.432095,16,2.335e-05,0.77
430,7.416739,16,1.805e-05,0.74
440,7.445361,16,1.34e-05,0.74
450,7.332839,16,9.41e-06,0.76
460,7.342394,16,6.1e-06,0.76
470,7.369689,16,3.5e-06,0.71
480,7.343645,16,1.61e-06,0.72
490,7.328264,16,4.4e-07,0.78
500,7.357829,16,0.0,0.76
