step,train_loss,bits_used,lr,elapsed_s
10,10.024832,2,5.4e-05,0.79
20,9.39834,2,0.000114,0.81
30,8.847329,2,0.000174,0.81
40,8.46335,2,0.000234,0.76
50,8.18606,1,0.000294,0.75
60,7.918102,1,0.0002997,0.77
70,7.794874,1,0.00029868,0.81
80,7.632872,1,0.00029694,0.76
90,7.58173,2,0.00029447,0.76
100,7.564262,2,0.00029131,0.77
110,7.549184,2,0.00028745,1.28
120,7.568554,2,0.00028293,0.76
130,7.608672,2,0.00027776,0.79
140,7.630315,1,0.00027197,0.81
150,7.442525,2,0.00026558,0.76
160,7.533846,2,0.00025863,0.77
170,7.586693,2,0.00025115,0.76
180,7.586354,2,0.00024317,0.81
190,7.447236,2,0.00023475,0.77
200,7.562051,2,0.00022591,0.75
210,7.435421,2,0.0002167,1.32
220,7.445048,2,0.00020716,0.77
230,7.472593,2,0.00019735,0.77
240,7.512549,1,0.0001873,0.77
250,7.470702,2,0.00017708,0.82
260,7.42317,2,0.00016672,0.77
270,7.511621,2,0.00015628,0.76
280,7.368733,1,0.00014581,0.76
290,7.402932,2,0.00013536,0.81
300,7.461326,2,0.00012498,0.79
310,7.393864,2,0.00011473,1.21
320,7.432135,2,0.00010464,0.79
330,7.473741,1,9.478e-05,0.77
340,7.445612,2,8.519e-05,0.77
350,7.443941,2,7.591e-05,0.77
360,7.427712,2,6.699e-05,0.83
370,7.481935,2,5.848e-05,0.79
380,7.403186,2,5.041e-05,0.76
390,7.383418,1,4.283e-05,0.76
400,7.408417,2,3.577e-05,0.79
410,7.312794,2,2.927e-05,1.27
420,7.432767,2,2.335e-05,0.77
430,7.420881,2,1.805e-05,0.81
440,7.446262,2,1.34e-05,0.75
450,7.333076,2,9.41e-06,0.77
460,7.340871,2,6.1e-06,0.75
470,7.369224,2,3.5e-06,0.82
480,7.344869,1,1.61e-06,0.79
490,7.328561,2,4.4e-07,0.77
500,7.360481,2,0.0,0.77
