step,train_loss,bits_used,lr,elapsed_s
10,9.999621,3,5.4e-05,0.77
20,9.420146,3,0.000114,0.8
30,8.875993,3,0.000174,0.77
40,8.490664,3,0.000234,0.75
50,8.227783,1,0.000294,0.74
60,7.95888,1,0.0002997,0.8
70,7.819319,1,0.00029868,0.78
80,7.636885,1,0.00029694,0.75
90,7.580031,3,0.00029447,0.75
100,7.562471,3,0.00029131,0.77
110,7.55118,3,0.00028745,1.23
120,7.566654,3,0.00028293,0.78
130,7.605679,3,0.00027776,0.81
140,7.638008,1,0.00027197,0.74
150,7.448621,3,0.00026558,0.74
160,7.538673,3,0.00025863,0.74
170,7.591507,3,0.00025115,0.81
180,7.587489,3,0.00024317,0.76
190,7.450229,3,0.00023475,0.76
200,7.565111,3,0.00022591,0.77
210,7.437601,3,0.0002167,1.24
220,7.446306,3,0.00020716,0.74
230,7.472645,3,0.00019735,0.79
240,7.515524,1,0.0001873,0.79
250,7.468633,3,0.00017708,0.75
260,7.423385,3,0.00016672,0.75
270,7.513765,3,0.00015628,0.78
280,7.367411,1,0.00014581,0.81
290,7.400261,3,0.00013536,0.75
300,7.462686,3,0.00012498,0.76
310,7.392428,3,0.00011473,1.19
320,7.433342,3,0.00010464,0.78
330,7.474296,1,9.478e-05,0.75
340,7.447083,3,8.519e-05,0.81
350,7.448171,3,7.591e-05,0.75
360,7.430927,3,6.699e-05,0.75
370,7.485811,3,5.848e-05,0.75
380,7.407608,3,5.041e-05,0.8
390,7.384703,1,4.283e-05,0.77
400,7.410436,3,3.577e-05,0.75
410,7.315112,3,2.927e-05,1.29
420,7.433198,3,2.335e-05,0.75
430,7.422164,3,1.805e-05,0.75
440,7.448857,3,1.34e-05,0.77
450,7.335009,3,9.41e-06,0.81
460,7.34276,3,6.1e-06,0.75
470,7.370559,3,3.5e-06,0.76
480,7.348443,1,1.61e-06,0.76
490,7.329897,3,4.4e-07,0.82
500,7.360944,3,0.0,0.76
